"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.393562498E-2,5.089266815E0,8.896150360E0,-2.214944000E0
2.264816250E-1,4.075125732E0,7.396419067E0,-1.011746063E0
4.252526250E-1,2.054328003E0,7.730973358E0,1.221459961E-1
6.240246250E-1,8.335865479E0,8.189619598E0,-1.105451202E0
8.227967500E-1,5.568121033E0,6.929839325E0,-4.165837097E-1
1.021568750E0,2.780168610E0,9.224717102E0,3.754193115E-1
1.220340750E0,4.283342743E0,8.835526428E0,7.643106079E-1
1.419112750E0,2.895877991E0,1.006506958E1,3.935316467E-1
1.617885750E0,3.149151306E0,8.831634521E0,2.620001678E0
1.816656875E0,1.398990784E0,8.729846191E0,3.595672760E0
2.016686875E0,2.165995789E0,9.048383789E0,4.083957367E0
2.217974875E0,1.650617523E0,8.559650116E0,3.843407593E0
2.419262875E0,1.707798615E0,9.868827667E0,4.725672913E0
2.620550875E0,2.925216980E0,8.545729065E0,4.069587250E0
2.821838958E0,1.445244598E0,8.182284851E0,5.018014984E0
3.023126958E0,2.318678284E0,7.953261108E0,5.632487183E0
3.224414958E0,2.219434662E0,7.440128174E0,5.516029358E0
3.425702958E0,2.315235443E0,8.637937317E0,4.237088928E0
3.626990958E0,1.147813110E0,9.465117188E0,5.540877686E0
3.828279208E0,-1.603166199E-1,8.042625275E0,3.498524780E0
4.029567208E0,-8.909472656E-1,9.558223572E0,2.260449371E0
4.230855208E0,-3.295995941E0,9.579030304E0,1.955683136E0
4.432143208E0,-1.806293793E0,8.390352173E0,2.140698395E0
4.633431208E0,-2.382445679E0,9.231153717E0,2.609224091E0
4.834718333E0,-3.079246674E0,8.940009155E0,3.050356750E0
5.036006333E0,-2.294877777E0,8.951235809E0,2.229463806E0
5.237294333E0,-2.493365021E0,8.994645538E0,2.678529968E0
5.438581333E0,-2.408940582E0,9.067543945E0,2.420316925E0
5.639869333E0,-2.812501373E0,8.891510010E0,3.696113892E0
5.841156958E0,-2.902464294E0,8.398135986E0,3.817212067E0
6.042444958E0,-2.615061951E0,8.494236145E0,4.453538818E0
6.243732958E0,-2.766247559E0,9.458680573E0,5.248236237E0
6.445020958E0,-1.792223053E0,8.751251678E0,4.446353760E0
6.646308958E0,-1.421144714E0,8.816515961E0,4.808899841E0
6.847597083E0,-2.248923340E0,9.104666748E0,4.208348694E0
7.048885083E0,-6.764433289E-1,9.181007996E0,2.797532501E0
7.250173083E0,8.002359009E-1,8.654702454E0,2.317929840E0
7.451461083E0,2.493664398E0,1.009635452E1,1.770518188E0
7.652749083E0,3.490441589E0,9.182804260E0,3.966751099E-1
7.854036750E0,1.897903290E0,7.392676849E0,-1.916015625E-1
8.055323750E0,4.105362854E0,8.060737610E0,7.312294006E-1
8.256611750E0,4.361480255E0,9.146878967E0,-5.207670593E-1
8.457899750E0,4.335135040E0,8.657546539E0,4.400848389E-1
8.659186750E0,3.202440491E0,1.130314499E1,3.442092133E0
8.860473833E0,3.915856934E0,8.338709564E0,1.967209167E0
9.061760833E0,3.319796448E0,8.146359558E0,3.961961060E0
9.263048833E0,3.507655792E0,7.876470795E0,3.420836334E0
9.464335833E0,4.101321259E0,7.373516693E0,3.537144470E0
9.665623833E0,1.168919220E0,9.681118011E0,4.169579315E0
9.866911458E0,1.858235779E0,9.847721558E0,2.507884827E0
1.006819946E1,5.863307190E-1,1.048210236E1,1.438658295E0
1.026948646E1,-9.913883972E-1,1.139355698E1,-1.589245148E0
1.047077446E1,-4.074526978E-1,8.085436249E0,-1.657802582E0
1.067206146E1,-2.774630127E0,8.517138519E0,-1.712139587E0
1.087334908E1,-3.169808350E0,8.466244354E0,-2.801574097E0
1.107463708E1,-3.861070862E0,9.426347809E0,-3.054398346E0
1.127592408E1,-4.066443787E0,8.285121002E0,-3.316802673E0
1.147721108E1,-3.871998138E0,8.929680634E0,-3.262166290E0
1.167849908E1,-4.810696106E0,8.920549622E0,-1.457070007E0
1.187978600E1,-4.619244232E0,8.823401642E0,-1.996997223E0
1.208107300E1,-3.446732483E0,9.175170135E0,-1.924697571E0
1.228236100E1,-4.343816986E0,8.866511993E0,-8.271798706E-1
1.248364800E1,-2.937192078E0,9.015003204E0,-1.047821045E-2
1.268493600E1,-2.326611786E0,9.295819244E0,3.218307495E-2
1.288622296E1,-2.820734253E0,9.422605591E0,1.308279419E-1
1.308751096E1,-2.055375824E0,9.454189911E0,-7.972421265E-1
1.328879796E1,-2.304308167E0,9.255403290E0,-2.082020416E0
1.349008496E1,-2.523452454E0,9.066795502E0,-2.991529083E0
1.369137196E1,-2.546803894E0,9.723928986E0,-4.187841339E0
1.389265996E1,-4.423152008E0,8.529263306E0,-3.359314270E0
1.409394696E1,-5.193450165E0,7.665559387E0,-1.482666779E0
1.429523296E1,-6.040838013E0,8.346643066E0,-9.327104187E-1
1.449651996E1,-5.243446198E0,7.514673157E0,5.475613403E-1
1.469780696E1,-4.953798523E0,9.391769714E0,-4.911286926E-1
1.489909346E1,-3.457210693E0,8.596473541E0,-8.542735291E-1
1.510038046E1,-2.415077820E0,9.094936981E0,-1.446591797E0
1.530166646E1,-1.383423157E0,8.671467590E0,-1.091230774E0
1.550295346E1,-1.813179474E0,8.629105682E0,-2.627935181E0
1.570424046E1,-2.455344086E0,9.015751648E0,-3.985013123E0
1.590552721E1,-4.349954224E0,8.735534363E0,-3.810476074E0
1.610681421E1,-5.454656982E0,7.716603241E0,-1.524579620E0
1.630810121E1,-4.123175812E0,8.960516510E0,-2.740052032E0
1.650938721E1,-3.919599152E0,9.122779083E0,-2.571801910E0
1.671067421E1,-3.704496460E0,9.117240601E0,-1.012045441E0
1.691195958E1,-3.893703003E0,8.569080505E0,-4.700225830E-2
1.711324658E1,-3.813020782E0,9.555978241E0,1.191522217E0
1.731453358E1,-2.475552063E0,8.734785919E0,1.940564575E0
1.751582058E1,-9.502239990E-1,1.013497421E1,2.476300507E0
1.771710758E1,-1.183439026E0,9.274713135E0,1.764680328E0
1.791839458E1,-1.293011169E0,9.703721008E0,1.850751343E0
1.811968158E1,-1.997595978E0,9.374405823E0,1.044677582E0
1.832096858E1,-3.723207550E0,8.994795227E0,6.087840271E-1
1.852225558E1,-3.952380981E0,8.408015442E0,-1.424288177E0
1.872354258E1,-4.544399872E0,8.921447754E0,-1.673819275E0
1.892482933E1,-5.205425262E0,9.598639526E0,-3.207529907E0
1.912611633E1,-5.215304718E0,1.026535309E1,-6.831793213E-1
1.932740333E1,-2.029329987E0,8.601263580E0,1.800755310E-1
1.952868933E1,-2.718197479E0,8.557255096E0,1.962419128E-1
1.972997633E1,-4.206402740E0,8.880582733E0,3.060385895E0
1.993126196E1,-1.041085052E0,9.625733185E0,-3.198847961E-1
2.013254896E1,-2.203268280E0,9.109905853E0,5.795947266E-1
2.033383496E1,-9.406439209E-1,1.001432510E1,2.723586273E0
2.053512196E1,-2.321821747E0,9.538015594E0,2.540816345E0
2.073640796E1,-1.933080139E0,9.209299164E0,3.175945587E0
2.093769421E1,-1.459465027E0,8.946595459E0,3.404520264E0
2.113898121E1,-6.816824341E-1,8.862171021E0,3.644171906E0
2.134026721E1,-1.260828094E0,8.730145569E0,2.980152740E0
2.154155321E1,-9.535171509E-1,9.714797974E0,9.222322083E-1
2.174283921E1,-4.495152283E-1,9.434281311E0,3.942800903E-1
2.194412625E1,-5.367837524E-1,1.019440063E1,8.146060181E-1
2.214541225E1,-9.428892517E-1,1.039378601E1,3.287164307E-1
2.234669825E1,-7.286846924E-1,1.002210892E1,-1.845661926E0
2.254798425E1,-2.570155334E-1,9.625134430E0,-2.509980469E0
2.274927025E1,-1.188528442E-1,9.375603333E0,-4.139042816E0
2.295055537E1,9.472302246E-1,1.097457825E1,-5.522465973E0
2.315184137E1,-1.224453735E-1,8.234825592E0,-4.282444611E0
2.335312737E1,5.924679565E-1,9.877060547E0,-2.608775024E0
2.355441337E1,3.442840576E-2,8.884324951E0,-6.840774536E-1
2.375569937E1,-8.891510010E-1,9.835147705E0,-1.875599670E-1
2.395698646E1,-1.688039703E0,1.055979080E1,-7.650590515E-1
2.415827246E1,-1.340761871E0,8.512049103E0,4.813989258E-1
2.435955846E1,-2.737058258E0,1.091320587E1,-1.454225922E0
2.456084446E1,-1.537303162E0,8.823102264E0,9.300160217E-1
2.476213146E1,-3.705993347E0,1.018197647E1,-4.309538269E-1
2.496341783E1,-2.415077820E0,9.724827118E0,-5.834866333E-1
2.516470383E1,-2.898871765E0,8.715326385E0,-9.060658264E-1
2.536598983E1,-2.656675415E0,8.987610168E0,-6.354286194E-1
2.556727583E1,-2.143243103E0,1.152393585E1,1.608704681E0
2.576856183E1,-4.246519318E0,9.439670105E0,4.309538269E-1
2.596984783E1,-4.360731812E0,9.401349792E0,-3.023712158E-2
