"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.556701667E-1,3.427501619E-1,5.348197222E-1,7.065486908E-1
3.569651667E-1,6.164576411E-1,5.709290504E-1,6.981556416E-1
5.582585417E-1,3.562028408E-1,1.218826294E0,7.054284215E-1
7.595525417E-1,2.629694343E-1,6.416513324E-1,4.463517666E-1
9.608475417E-1,-6.959594041E-2,-1.968040019E-1,7.103782147E-2
1.162141542E0,-8.557928354E-2,-8.546259254E-2,2.670538723E-1
1.363436542E0,-3.328398466E-1,-2.531204820E-1,6.351429820E-1
1.564731375E0,-2.861346006E-1,-1.046746597E-1,3.421490788E-1
1.766026375E0,-9.110769629E-1,-1.682091355E-1,-1.472914070E-1
1.967321375E0,-9.013991952E-1,-8.896768093E-1,5.181410536E-2
2.168616375E0,-5.701455474E-1,-6.689955592E-1,-5.502773076E-2
2.369911375E0,-2.327889204E-1,-9.492751956E-2,1.391207725E-1
2.571206542E0,-2.334355861E-1,9.459907562E-2,1.423170865E-1
2.772501542E0,-5.878252983E-1,3.351180851E-1,1.914857700E-2
2.973796542E0,-5.611453205E-2,-5.534780622E-1,-6.184951663E-1
3.175092542E0,-7.995885611E-2,-4.476840198E-1,-6.418539882E-1
3.376387167E0,1.342886388E-1,-9.648795128E-1,-8.377845287E-1
3.577682167E0,7.016757131E-2,-3.274442255E-1,-6.510428190E-1
3.778978167E0,5.050969720E-1,-4.397090673E-1,-7.135604024E-1
3.980273167E0,-1.289699823E-1,-1.327411294E0,-1.135416269E0
4.181568167E0,-3.186608255E-1,-5.568091273E-1,-8.505848050E-1
4.382864625E0,-2.673307657E-1,8.669790626E-2,2.313915193E-1
4.584159625E0,-9.957950711E-1,2.786486447E-1,1.300388128E-1
4.785454625E0,-1.873171926E-1,3.540580273E-1,8.338002954E-4
4.986750625E0,2.043765783E-1,5.881186128E-1,-1.222295091E-1
5.188045625E0,3.934453130E-1,1.724551618E-1,-7.392205298E-2
5.389340667E0,8.110468090E-2,-1.809922792E-2,-4.943561275E-3
5.590636667E0,-1.227169633E-1,-4.100252688E-1,2.145396024E-1
5.791931667E0,1.854287982E-1,-3.320698440E-1,3.153914809E-1
5.993227667E0,9.414505959E-2,-4.604250938E-2,4.108839333E-1
6.194523667E0,4.408082962E-1,-3.876537681E-1,1.849576235E-1
6.395818917E0,1.995443851E-1,-1.652928591E-1,1.973400563E-1
6.597114917E0,2.874011733E-2,6.241132971E-3,1.907246113E-1
6.798409917E0,4.454814792E-1,3.496543169E-1,3.051030040E-1
6.999705917E0,5.346505046E-1,3.228845894E-1,3.987816572E-1
7.201001917E0,-2.111219913E-1,-1.068368480E-1,3.163598478E-2
7.402298250E0,1.071714982E-1,-4.383878782E-2,5.415832400E-1
7.603594250E0,-8.771746606E-2,8.025045991E-1,6.336396933E-1
7.804890250E0,-7.511937618E-1,4.904700816E-1,5.808512568E-1
8.006186250E0,-1.089694023E0,5.228039026E-1,6.691184044E-1
8.207483250E0,-3.993288577E-1,2.536483407E-1,5.497248173E-1
8.408779375E0,-3.611529991E-2,3.077886105E-1,5.079448223E-2
8.610075375E0,3.820687830E-1,-2.524414845E-2,-2.620436847E-1
8.811371375E0,1.342589408E-1,-2.288423032E-1,-5.360284448E-1
9.012667375E0,3.804239035E-1,-2.320616543E-1,-1.064784408E0
9.213963375E0,6.270943880E-1,2.053093612E-1,-1.214183688E0
9.415261000E0,9.036906958E-1,-1.985613406E-1,-8.926019073E-1
9.616557000E0,5.300370455E-1,9.410019964E-2,-5.694981813E-1
9.817853000E0,3.122514784E-1,3.184538484E-1,-4.031581283E-1
1.001914900E1,5.018464103E-2,-9.894274175E-2,-1.666791737E-1
1.022044600E1,2.983350307E-2,-4.074537754E-1,-2.661305964E-1
1.042174188E1,-1.714380831E-1,1.689565331E-1,-2.960416079E-1
1.062303787E1,-5.289861560E-1,5.212470889E-1,2.030527033E-2
1.082433488E1,-8.351191282E-1,6.592867970E-1,3.491070271E-1
1.102563087E1,-1.547621131E0,9.376196265E-1,7.493023872E-1
1.122692787E1,-5.772598386E-1,8.422383666E-1,5.735181570E-1
1.142822342E1,-5.697580054E-2,3.734489679E-1,3.690250218E-1
1.162952042E1,3.553754389E-1,2.649028897E-1,3.445142414E-3
1.183081642E1,2.291428894E-1,-2.081739306E-1,1.082989946E-2
