"Time (s)","X (hPa)"
-5.299269167E-1,1.016806870E3
5.031920833E-1,1.016783905E3
1.536395083E0,1.016806870E3
2.569545083E0,1.016892014E3
3.602708083E0,1.016892014E3
4.635845083E0,1.016940079E3
4.773392083E0,1.017063065E3
5.730066083E0,1.017063065E3
6.686682083E0,1.016897430E3
7.643419083E0,1.016802368E3
8.600031083E0,1.016765823E3
9.556568083E0,1.016647797E3
1.051310008E1,1.016633224E3
1.146961708E1,1.016614609E3
1.242617708E1,1.016614609E3
1.338276008E1,1.016638565E3
1.433929808E1,1.016640320E3
1.529585108E1,1.016753235E3
1.625233608E1,1.016857758E3
1.720883308E1,1.016857758E3
1.816528708E1,1.016753387E3
1.912177808E1,1.016584625E3
2.007819908E1,1.016576004E3
2.103470108E1,1.016495819E3
2.199116508E1,1.016495819E3
2.294769108E1,1.016589890E3
2.390430108E1,1.016597290E3
2.486092908E1,1.016597290E3
2.581760008E1,1.016597290E3
2.677424808E1,1.016479568E3
2.773082608E1,1.016479568E3
2.868733808E1,1.016544495E3
2.964394208E1,1.016642303E3
3.060047108E1,1.016642303E3
3.155695508E1,1.016642303E3
3.251344808E1,1.016747665E3
3.346996708E1,1.016747665E3
3.442654308E1,1.016725311E3
3.538312608E1,1.016643677E3
3.633975408E1,1.016620789E3
3.729636308E1,1.016620789E3
3.825291208E1,1.016596146E3
3.920942108E1,1.016376572E3
4.016586508E1,1.016376572E3
4.112237708E1,1.016388931E3
4.207902408E1,1.016421204E3
4.303564708E1,1.016595612E3
4.399225808E1,1.016637115E3
4.494898808E1,1.016595612E3
4.590566008E1,1.016593857E3
4.686231008E1,1.016573563E3
4.781896508E1,1.016105042E3
4.877560808E1,1.016069565E3
4.973219608E1,1.016069565E3
5.068877208E1,1.016123962E3
5.164539708E1,1.016139145E3
5.260209808E1,1.016139145E3
5.355873608E1,1.016270676E3
5.451542108E1,1.016312027E3
5.547192108E1,1.016312027E3
5.642841608E1,1.016275787E3
5.738492108E1,1.016274185E3
5.834149708E1,1.016241684E3
5.929802908E1,1.016226578E3
6.025458808E1,1.016226578E3
6.121113808E1,1.016308136E3
6.216778108E1,1.016325378E3
6.312444308E1,1.016395264E3
6.408105008E1,1.016432419E3
6.503761108E1,1.016432419E3
6.599414308E1,1.016226425E3
6.695068308E1,1.016165085E3
6.790722608E1,1.016157532E3
6.886383308E1,1.015908051E3
6.982039508E1,1.015908051E3
7.077693208E1,1.016071548E3
7.173354508E1,1.016071548E3
7.269015408E1,1.016069489E3
7.364677808E1,1.016069489E3
7.460336508E1,1.016070023E3
7.555993608E1,1.016071472E3
7.651653008E1,1.016071472E3
7.747312108E1,1.016071472E3
7.842973308E1,1.016067276E3
7.938639208E1,1.016067276E3
8.034311708E1,1.016067276E3
8.129986208E1,1.016082840E3
8.225657808E1,1.016116409E3
8.321334008E1,1.016309814E3
8.417003008E1,1.016309814E3
8.512670608E1,1.016269913E3
8.608337108E1,1.016217804E3
8.704009408E1,1.016119843E3
8.799665008E1,1.015895157E3
8.895330908E1,1.015895157E3
8.990995508E1,1.015917206E3
9.086663508E1,1.015935974E3
9.182329108E1,1.015985336E3
9.278003808E1,1.016118469E3
9.373674208E1,1.016273956E3
9.469350008E1,1.016273956E3
9.565028408E1,1.016032257E3
9.660697608E1,1.016022644E3
9.756361908E1,1.016010056E3
9.852025908E1,1.015900726E3
9.947691308E1,1.015889053E3
1.004335741E2,1.015889053E3
1.013902971E2,1.015889053E3
1.023469831E2,1.015859985E3
1.033036951E2,1.015781097E3
1.042603131E2,1.015781097E3
1.052169391E2,1.015952377E3
1.061735401E2,1.015981064E3
1.071301761E2,1.015995483E3
1.080868481E2,1.015995483E3
1.090435591E2,1.015995483E3
1.100002171E2,1.015987473E3
1.109567731E2,1.015896378E3
1.119132881E2,1.015838318E3
1.128698231E2,1.015838318E3
1.138263051E2,1.015838318E3
1.147828171E2,1.015849686E3
1.157392821E2,1.015916290E3
1.166958411E2,1.015941925E3
1.176524161E2,1.015941925E3
1.186090161E2,1.015803452E3
1.195656121E2,1.015758820E3
1.205222161E2,1.015748901E3
1.214788161E2,1.015748901E3
1.224353191E2,1.015876312E3
1.233918841E2,1.015876312E3
1.243484691E2,1.015814056E3
1.253050131E2,1.015748444E3
1.262615151E2,1.015558090E3
1.272180891E2,1.015516663E3
1.281746231E2,1.015516663E3
1.291312751E2,1.015627289E3
1.300878791E2,1.015665512E3
1.310444571E2,1.015798035E3
1.320010441E2,1.015798035E3
1.329576631E2,1.015725403E3
1.339142361E2,1.015589447E3
1.348707581E2,1.015537567E3
1.358273641E2,1.015416489E3
1.367841221E2,1.015416489E3
1.377408171E2,1.015431519E3
1.386974731E2,1.015503006E3
1.396541481E2,1.015583801E3
1.406108681E2,1.015649185E3
1.415675641E2,1.015653992E3
1.425242421E2,1.015649185E3
1.434809001E2,1.015640259E3
1.444376261E2,1.015539932E3
1.453943871E2,1.015505066E3
1.463511671E2,1.015505066E3
1.473079201E2,1.015412521E3
1.482647091E2,1.015412521E3
1.492214661E2,1.015422516E3
1.501782921E2,1.015422516E3
1.511351821E2,1.015422516E3
1.520919741E2,1.015628967E3
