"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.290508334E-2,-6.481521606E-1,9.748028870E0,-8.232879639E-2
2.491669584E-1,-5.827381897E-1,1.049407745E1,-8.517288208E-2
4.504609584E-1,9.108558655E-1,1.029154861E1,-1.037193146E0
6.517559583E-1,-4.170327759E-1,9.273066559E0,8.574169922E-1
8.417269583E-1,-1.988614655E0,9.560768280E0,-6.601272583E-1
1.040504958E0,2.212399292E-1,8.332123260E0,-3.359014893E-1
1.239283375E0,-4.655319214E-2,1.046174469E1,-1.484163666E0
1.438061375E0,2.770738220E-1,9.985734558E0,-2.171983337E0
1.636838375E0,2.275268555E-2,9.597741394E0,-7.102729797E-1
1.835616375E0,-3.603007507E-1,9.481732635E0,-8.186476135E-1
2.034394375E0,7.289840698E-2,9.841734009E0,-1.003962250E0
2.233171583E0,-1.646575928E-1,9.867929535E0,-5.417234802E-1
2.431949583E0,2.375559998E-1,1.002510269E1,-1.545835419E0
2.630727583E0,1.240919495E-1,9.059311066E0,2.513273621E-1
2.833280583E0,1.669178925E0,1.016685791E1,-2.029779053E0
3.034574583E0,9.316625977E-1,1.002959335E1,-1.676813049E0
3.235870375E0,-5.081932068E-1,8.681945801E0,4.278103638E-1
3.437164375E0,1.660496979E0,9.571994934E0,-1.609153748E-1
3.638459375E0,3.037333832E0,1.059556641E1,-2.891387329E0
3.839754375E0,-6.002517700E-2,8.117020569E0,1.903890839E0
4.041049375E0,1.901196442E0,7.763755188E0,1.111139374E0
4.242343583E0,4.609664154E0,9.126072235E0,2.215393066E-2
4.443639583E0,2.893632660E0,9.882149963E0,8.056246948E-1
4.644934583E0,1.705553284E0,1.102143082E1,-2.054328003E0
4.846230583E0,-1.068777466E-1,1.019200562E1,-1.170865173E0
5.047525583E0,-4.689747620E-1,1.118309464E1,-1.574875031E0
5.248822000E0,2.564167786E-1,9.926457825E0,-2.192939758E-1
5.450117000E0,-5.071453857E-1,9.979597321E0,-1.666634216E0
5.651413000E0,1.520687714E0,1.227163101E1,-1.105451202E0
5.852709000E0,-1.146615601E-1,1.111887817E1,-2.291434937E0
6.054004000E0,4.879852295E-2,1.057191559E1,-3.162323914E0
6.255300333E0,1.802551575E0,7.618257751E0,-2.737507324E0
6.456596333E0,-1.717678070E0,8.287366333E0,-6.292913818E-1
6.657891333E0,1.579216003E0,8.089777222E0,3.236270142E-1
6.859187333E0,-1.628164215E0,9.578730927E0,3.577560425E-2
7.060482333E0,-1.304088135E0,9.560319214E0,-1.105900269E0
7.261777750E0,-1.565594330E0,9.867181091E0,-4.131408691E-2
7.463073750E0,-8.168513489E-1,1.015742752E1,-8.785231018E-1
7.664369750E0,5.739065552E-1,1.002899460E1,-5.837860107E-2
7.865665750E0,1.541793823E-2,9.879455566E0,2.065704346E-1
8.066961750E0,-2.914439392E-1,1.010548553E1,6.192622375E-1
8.268257583E0,-4.656816101E-1,1.018452118E1,-6.750961304E-2
8.469553583E0,-4.601431274E-1,9.920769653E0,-1.338965607E0
8.670850583E0,-6.295907593E-1,1.013018417E1,-2.198328552E0
8.872146583E0,-1.173709259E0,9.659413147E0,-2.930755463E0
9.080991583E0,-1.020877075E0,9.431437225E0,-3.092119904E0
9.279772333E0,-1.072220306E0,1.036354889E1,-3.066373444E0
9.478552333E0,-7.514373779E-1,9.047186279E0,-1.823807373E0
