"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.233580833E-1,6.970428467E0,-3.910289764E1,7.299102783E0
3.246529583E-1,6.548309326E0,-3.893044662E1,8.098419189E0
5.259469583E-1,4.474380493E0,-3.915129089E1,9.134185791E0
7.272409583E-1,4.080139160E0,-3.921125412E1,9.507080078E0
9.285349583E-1,3.029129028E0,-3.885668182E1,1.023773193E1
1.129828958E0,3.646011353E0,-3.895048523E1,1.108532715E1
1.331123375E0,5.254226685E0,-3.885805893E1,1.014846802E1
1.532417375E0,5.114944458E0,-3.838423920E1,1.096469116E1
1.733711375E0,4.536041260E0,-3.891512299E1,1.061242676E1
1.935005375E0,3.145965576E0,-3.898535156E1,1.104852295E1
2.136299375E0,3.250747681E0,-3.899704742E1,1.115643311E1
2.337592583E0,3.794937134E0,-3.906230927E1,1.037283325E1
2.538887583E0,3.331893921E0,-3.921290588E1,9.423980713E0
2.740181583E0,2.395599365E0,-3.878886032E1,9.697143555E0
2.941475583E0,2.325073242E0,-3.872452164E1,1.012567139E1
3.142770583E0,1.071212769E0,-3.931331635E1,8.474700928E0
3.344066375E0,-3.865356445E-1,-3.977374649E1,6.856323242E0
3.545360375E0,-2.797164917E0,-3.927336502E1,7.844543457E0
3.746655375E0,-4.282043457E0,-3.938726044E1,6.874755859E0
3.947950375E0,-5.949203491E0,-3.925451660E1,3.024871826E0
4.149245375E0,-5.978027344E0,-3.914493561E1,3.734741211E-1
4.350540583E0,-4.277618408E0,-3.899499512E1,-2.339752197E0
4.551835583E0,-5.061492920E-1,-3.905886459E1,-2.861297607E0
4.753130583E0,4.080200195E0,-3.895014191E1,-3.368530273E-1
4.954426583E0,6.099548340E0,-3.798521423E1,-8.216247559E-1
5.155721583E0,6.063064575E0,-3.809877777E1,-1.274841309E0
5.357018000E0,5.653350830E0,-3.770798111E1,1.007080078E-3
5.558314000E0,4.080215454E0,-3.766621780E1,-1.063812256E0
5.759609000E0,4.005844116E0,-3.796933746E1,-3.421325684E-1
5.960905000E0,3.871627808E0,-3.914709473E1,-4.552185059E0
6.162201000E0,4.608505249E0,-4.064082336E1,-8.514617920E0
6.363496333E0,5.988677979E0,-4.282192230E1,-5.966217041E0
6.564792333E0,5.646011353E0,-4.336239243E1,-3.631408691E0
6.766088333E0,8.113586426E0,-4.301322937E1,-2.166870117E0
6.967383333E0,8.810287476E0,-4.217615128E1,-2.120941162E0
7.168679333E0,6.775695801E0,-4.181511307E1,-4.245117188E0
7.369974750E0,4.647308350E0,-4.153184509E1,-6.287200928E0
7.571270750E0,4.186859131E0,-4.128028870E1,-7.747497559E0
7.772566750E0,3.880905151E0,-4.136067963E1,-7.591430664E0
7.973862750E0,3.491104126E0,-4.177624130E1,-7.242858887E0
8.175158750E0,4.180587769E0,-4.156896973E1,-7.126007080E0
8.376454583E0,4.178665161E0,-4.186525726E1,-6.318420410E0
8.577750583E0,4.818069458E0,-4.218009186E1,-4.777343750E0
8.779046583E0,6.136795044E0,-4.258758163E1,-4.677124023E-1
8.980343583E0,7.678146362E0,-4.192585754E1,4.473114014E0
9.181639583E0,8.722457886E0,-4.177919388E1,6.024475098E0
9.382936333E0,7.745864868E0,-4.239783096E1,4.484191895E0
9.584232333E0,5.788726807E0,-4.302478027E1,2.746948242E0
9.785529333E0,4.061416626E0,-4.356914139E1,6.797485352E-1
9.986825333E0,2.603591919E0,-4.395142746E1,-1.319366455E0
1.018812233E1,2.079818726E0,-4.402355194E1,-7.484436035E-1
1.038941808E1,-1.463012695E-1,-4.419496155E1,-1.741088867E0
1.059071408E1,-5.922546387E-1,-4.383803558E1,-1.704376221E0
1.079201108E1,-4.602203369E-1,-4.432549286E1,-7.468566895E-1
1.099330708E1,5.336456299E-1,-4.390147018E1,1.061096191E0
1.119460408E1,1.385848999E0,-4.368274689E1,1.038940430E0
1.139589921E1,1.511535645E0,-4.359040833E1,1.383300781E0
1.159719621E1,1.577987671E0,-4.340992737E1,8.322448730E-1
1.179849321E1,1.770294189E0,-4.321370316E1,8.900756836E-1
1.199978921E1,1.971282959E0,-4.316202545E1,1.217468262E0
1.220108621E1,2.878265381E0,-4.307024765E1,1.673492432E0
1.240238521E1,3.976425171E0,-4.300962067E1,2.216186523E0
1.260368221E1,4.583114624E0,-4.257379150E1,4.398193359E-1
1.280497921E1,4.596832275E0,-4.282961273E1,-1.654632568E0
1.300627621E1,6.679519653E0,-4.247386932E1,-2.334411621E0
1.320757321E1,8.699432373E0,-4.220423508E1,-7.289428711E-1
1.340886858E1,9.740829468E0,-4.185183334E1,4.163238525E0
1.361016558E1,1.112614441E1,-4.079169464E1,8.132202148E0
1.381146258E1,1.089154053E1,-4.014432526E1,1.202227783E1
1.401275958E1,1.079808044E1,-4.023082733E1,1.285968018E1
1.421405558E1,9.115829468E0,-4.033743286E1,1.354083252E1
1.441535308E1,1.000978088E1,-4.043058777E1,1.229037476E1
