"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.012300417E-1,-5.180777907E-1,1.027596116E0,-1.223043948E-1
4.025250417E-1,-6.097304225E-1,2.891485691E-1,-2.981672883E-1
6.038200417E-1,1.143562198E-1,-8.690298200E-1,-2.013419382E-2
8.051150416E-1,-1.945390254E-1,-9.423589110E-1,-2.277716845E-1
1.006409917E0,-4.306588173E-1,-4.214530587E-1,-2.470107079E-1
1.207704917E0,-1.086958591E-2,-1.167502403E-1,8.044956252E-3
1.408999917E0,-2.011783123E-1,9.016798809E-3,-4.991036654E-2
1.610294917E0,-9.503749758E-2,8.621031642E-1,8.943421394E-2
1.811590917E0,-2.001293451E-1,-8.037316799E-2,5.810276046E-2
2.012885583E0,-2.129218355E-2,-4.217031300E-1,-4.815855250E-2
2.214180583E0,-2.069739811E-2,-2.294262797E-1,-9.539207444E-3
2.415475583E0,-3.541916311E-1,-4.451297820E-1,-1.559084803E-1
2.616770583E0,-1.352002770E-1,-4.490726292E-1,-1.649869680E-1
2.818065583E0,-2.606028020E-1,-9.285694361E-1,-1.100630760E-1
3.019362292E0,1.401261240E-1,-1.372619867E0,-4.028976336E-2
3.220657292E0,2.043517530E-1,-9.782447219E-1,1.700501889E-1
3.421952292E0,5.690336227E-1,-2.070972174E-1,4.135396779E-1
3.623247292E0,3.179188371E-1,1.793854535E-1,9.352959692E-2
3.824542292E0,2.429700792E-1,-8.540445566E-2,3.711280599E-2
4.025836792E0,-1.181592047E-1,-5.287305713E-1,3.823088855E-2
4.227131792E0,2.651031315E-1,-4.727525115E-1,2.750899792E-1
4.428426792E0,-7.759979367E-2,-9.225590825E-1,1.078287661E-1
4.629721792E0,2.223126441E-1,-4.676722884E-1,5.055336356E-1
4.831016792E0,2.329439521E-1,-3.695533872E-1,1.025820524E-1
5.032311833E0,5.434153974E-2,-5.510005951E-1,-5.342389271E-2
5.233606833E0,-5.137053728E-1,-9.877186418E-1,-5.557642579E-1
5.434900833E0,-9.050812721E-1,-8.277440071E-1,-6.631509066E-1
5.636195833E0,-6.081635952E-1,9.146083593E-1,-4.133211970E-1
5.837490833E0,2.142312080E-1,1.527935147E0,-5.863001347E-1
6.038786417E0,-1.474645287E-1,1.785708070E0,-2.688859999E-1
6.240082417E0,-2.730613351E-1,1.658095360E0,-3.763769269E-1
6.441377417E0,-2.519778013E-1,1.776793599E0,-4.390568137E-1
6.642673417E0,-9.144207090E-2,9.095437527E-1,-4.204853475E-1
