"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.711758332E-2,-2.186519516E-1,5.553375524E-1,-6.449186504E-1
2.284002917E-1,3.184044639E-2,3.082967842E-1,4.912649328E-1
4.296822917E-1,-2.140996018E-1,-2.333617920E-1,1.559177595E-1
6.309652917E-1,9.883599780E-2,4.442924953E-1,-1.686342841E-1
8.322472917E-1,7.055843899E-1,-1.354297006E-1,-3.343671799E-2
1.033530292E0,5.096436086E-1,1.967015040E-1,-6.763298929E-2
1.234811792E0,3.058579105E-1,1.824500853E-1,-1.796557009E-1
1.436094792E0,-9.100949235E-1,2.299183667E-2,4.259708297E-1
1.637377792E0,-1.807345122E-2,1.338275635E-1,-5.012771201E-1
1.838659792E0,1.071586687E-1,2.188858402E-1,-8.746382117E-2
2.039942792E0,7.561543268E-1,-3.815004158E-1,-3.163226724E-1
2.241225917E0,9.927472901E-1,2.337939012E-1,9.907288313E-2
2.442507917E0,-1.404723394E-1,-3.366119260E-1,-2.602946520E-1
2.643790917E0,7.224577001E-1,3.368826520E-1,-9.048215389E-2
2.845072917E0,-1.182185675E-1,3.195339632E-1,5.833053696E-1
3.046354917E0,-3.393146552E-1,-4.222859144E-3,-1.429334325E-1
3.247637417E0,1.165148643E0,-1.241948605E-3,-9.390219033E-2
3.448919417E0,8.862194994E-1,1.948760033E-1,5.305588067E-2
3.650201417E0,-1.202191924E-1,3.461879110E-1,-1.976119155E-1
3.851483417E0,1.797251512E0,4.774766135E-1,7.563987404E-2
4.052765417E0,4.242935559E-1,-8.187505245E-1,1.341114458E-1
4.254047417E0,1.432807571E-1,-6.348906755E-1,1.667308693E-1
4.455329417E0,9.869123536E-1,-4.304486275E-2,3.820424527E-1
4.656612417E0,3.008228731E-1,1.240837634E-2,6.520376354E-1
4.857894417E0,3.368247646E-1,8.232645750E-1,3.494331888E-1
5.059176417E0,4.502905691E-1,-7.173416787E-1,-6.107605322E-1
5.260459542E0,-1.317354298E-1,-1.306080866E-1,-1.110937352E-1
5.461741542E0,6.498174477E-1,-4.221280396E-2,-5.546946511E-1
5.663024542E0,1.242632729E-1,-2.234987086E-1,-5.817255981E-1
5.864306542E0,5.349173212E-1,1.230996770E-1,-9.897464991E-2
6.065589542E0,1.261577708E-1,1.088102514E-1,-3.974341515E-2
6.266871542E0,-1.695517123E-1,5.340963721E-2,3.099013332E-1
6.468153542E0,5.407008022E-2,6.024620175E-2,6.361020724E-1
6.669436542E0,7.533356765E-1,5.189678711E-1,-3.969490519E-1
6.870718542E0,-1.021556960E0,2.768194681E-1,-5.630433056E-1
7.072001542E0,4.902090718E-1,3.469258296E-1,5.287201497E-1
7.273283542E0,-3.340982810E-1,5.317463762E-1,-2.755497453E-1
7.474566542E0,-2.636497112E-1,-6.262794811E-1,-1.721756503E-2
7.675848542E0,9.078503966E-1,9.742572248E-2,-1.093335772E-1
7.877131542E0,5.162178525E-1,6.382762134E-2,2.611714420E-1
8.078414542E0,1.254628292E0,-7.481337011E-2,6.429612949E-2
8.279696708E0,2.635777174E-1,-3.206554592E-2,-4.205054373E-2
8.480979708E0,5.271659598E-2,1.556593126E-1,-2.465889247E-1
8.682262708E0,5.927709885E-1,1.107345700E-2,2.742098558E-1
8.883545708E0,-2.488852724E-1,5.629517967E-1,-6.603612931E-1
9.084828708E0,4.503586891E-1,-8.256414682E-1,-2.199452095E-1
9.286112292E0,4.795614383E-1,-1.674513924E-1,5.477086902E-2
9.487395292E0,1.270483017E-2,-1.913331753E-1,-2.923630484E-1
9.688678292E0,4.936926967E-1,1.207572824E0,-2.859428422E-1
9.889961292E0,1.589422318E0,-3.973475397E-2,1.191213484E0
1.009124429E1,-1.828669918E-1,8.817536885E-1,-1.604780030E-1
1.029252858E1,5.903091645E-1,-1.645114124E-2,2.428763630E-1
1.049381158E1,1.332989752E-1,4.544789296E-1,5.007467777E-1
1.069509458E1,-6.443964940E-1,3.181236148E-2,-3.584921704E-1
1.089637758E1,3.324931473E-1,-4.031754595E-1,-2.349593244E-1
1.109766158E1,4.597835237E-1,5.987759328E-1,-3.050221972E-1
1.129894496E1,1.421770951E0,2.576879632E-1,-2.047075117E-1
1.150022896E1,-2.879543209E-1,4.298574740E-1,-8.949689806E-1
1.170151196E1,-7.863166040E-1,-9.232472849E-1,2.216677992E-1
1.190279596E1,3.833533984E-1,-5.617291439E-1,1.718220399E-1
1.210407996E1,8.884785712E-2,2.204078704E-1,1.471070288E-1
1.230536354E1,-7.210289329E-1,1.048072475E-1,-4.988114955E-1
1.250664754E1,6.536310017E-2,-7.702069402E-2,3.600754867E-1
1.270793254E1,1.104724393E0,3.587670261E-1,-1.271617377E-1
1.290921654E1,-1.155327952E0,-3.164735305E-1,5.277229071E-2
1.311050054E1,2.297096211E-1,1.982258731E-1,-5.278727420E-1
1.331178571E1,6.137003660E-1,1.341497451E-1,2.680596082E-1
1.351306971E1,2.626458174E-1,1.803550279E-1,1.500031547E-1
1.371435471E1,-5.377508819E-1,-5.508661866E-2,-7.654566622E-1
1.391563871E1,6.732185894E-1,4.333085006E-1,6.462553239E-1
1.411692371E1,-7.681878966E-1,8.614059627E-2,-5.130442031E-1
1.431820754E1,8.700224197E-1,-2.269655228E-2,3.137513593E-2
1.451949254E1,-2.710184455E-3,-7.042123407E-1,2.529224825E-1
1.472077754E1,3.613783926E-1,-2.005688524E-1,1.593316564E-1
1.492206254E1,2.497059292E-1,-2.487651122E-1,-1.333366898E-1
1.512334754E1,-5.649813652E-2,-4.455929160E-2,-3.616119888E-1
1.532463308E1,6.089810783E-1,-2.847991633E-1,-8.159233958E-2
1.552591808E1,5.989212361E-1,2.585638762E-3,-1.011591697E-1
1.572720308E1,3.049445754E-1,3.952483892E-1,-4.548075432E-1
1.592848808E1,2.353843439E-1,-2.195571005E-1,-3.227008152E-1
1.612977308E1,1.735523772E-1,-8.309653580E-2,-1.459523499E-2
1.633105767E1,-1.078290886E-1,2.354281980E-1,-3.584281799E-1
1.653234267E1,2.880256569E-1,1.622953176E-1,-3.692987385E-1
1.673362767E1,1.700031173E-1,2.063651973E-1,6.744529366E-1
1.693491267E1,4.171880195E-1,4.271244854E-1,-5.646211767E-1
1.713619867E1,7.597097263E-1,2.731363070E-1,3.625380416E-1
1.733748392E1,1.014845965E0,7.617173678E-1,4.350761870E-1
1.753876992E1,5.787427872E-2,3.787457925E-1,-4.261661267E-1
1.774005492E1,4.159375924E-1,-3.086996573E-1,3.792259951E-1
1.794134092E1,4.557153234E-1,-2.440393925E-2,-2.645933788E-1
1.814262592E1,6.863827184E-1,9.514256018E-1,-1.256799948E0
1.834391129E1,3.884574330E-1,-1.383088696E-1,-1.085340362E0
1.854519729E1,-9.308822867E-1,3.319815159E-2,-2.680047175E-1
1.874648329E1,-1.006168112E0,-4.683368307E-1,3.466241133E-1
1.894776829E1,-1.718689638E-1,-7.786561668E-2,3.278112817E-1
1.914905429E1,-3.581814274E-1,9.497123677E-1,6.846937501E-1
1.935034121E1,-5.229591805E-1,2.316316009E-1,-4.921063105E-1
1.955162721E1,2.275809422E-1,2.172942281E0,1.290813055E-1
1.975291321E1,-1.020883799E0,7.239671588E-2,-7.137808706E-1
1.995419921E1,-5.822180799E-1,7.438278115E-1,-1.575810000E-1
2.015548421E1,-4.394755590E-1,-1.297591293E0,6.858115916E-1
2.035676917E1,4.939856422E-1,3.527227592E-1,-8.866019073E-1
2.055805517E1,6.966059902E-1,-1.333544653E0,-4.522879779E-2
2.075934117E1,7.530554487E-1,3.741235685E-1,6.452133501E-1
2.096062717E1,-1.254551839E0,-1.421347613E0,1.318564671E-1
2.116191317E1,-3.407263193E-1,3.094627190E-1,-3.285661572E-1
2.136319996E1,5.138269991E-1,-3.305050939E-1,-9.553999543E-2
2.156448596E1,6.242906968E-1,-9.108716530E-1,-5.663304640E-1
2.176577196E1,4.327670485E-4,4.152119529E-1,6.858133458E-1
2.196705796E1,2.041925181E-1,1.644546944E-1,2.578322433E-2
2.216834396E1,-3.478486665E-1,-1.350431997E-1,-1.288616695E-2
2.236963029E1,-1.780379371E0,1.396724403E0,4.167772526E-1
2.257091729E1,2.073286723E0,-2.411116916E-1,-2.752646935E-1
2.277220329E1,2.155166745E-2,6.811047292E-1,-3.773758630E-1
2.297348929E1,9.747980922E-1,-9.295143306E-2,6.352578807E-1
2.317477529E1,9.610732153E-1,-2.175637847E-1,-5.470550445E-1
2.337605979E1,2.100394999E0,-3.654451311E-1,2.229063126E-1
2.357734579E1,9.532522720E-1,1.472953969E0,1.299378203E0
2.377863179E1,8.204666823E-2,1.612773174E-1,-8.224181905E-2
2.397991779E1,5.459793761E-1,4.298329157E-1,3.436968510E-1
2.418120379E1,2.625046071E-1,1.250615348E0,5.593985899E-1
2.438249067E1,7.057381716E-1,-2.018985093E-1,4.765317035E-1
2.458377667E1,7.435714111E-1,6.338264823E-2,-1.846304389E-1
2.478506267E1,1.262934262E-1,2.190220803E-1,1.791060627E-1
2.498634867E1,-1.318017372E0,1.004560420E0,-2.836730627E-1
2.518763467E1,-1.890461831E-1,-3.270926589E-1,-6.718152577E-1
2.538891992E1,2.615224211E0,1.487128204E0,3.661128100E-1
2.559020592E1,6.062634386E-1,-4.743623865E-1,-4.065469640E-1
2.579149192E1,-6.348333728E-1,-5.422953379E-1,-3.437754229E-1
2.599277792E1,1.299557566E0,4.859539068E-1,1.859648466E-1
2.619406392E1,2.083444798E-1,-8.645277911E-1,-6.087284786E-1
2.639534904E1,1.739881410E-1,1.831114054E-1,-5.443719766E-1
2.659663504E1,-1.284905174E0,4.379798412E-1,-4.384537581E-1
2.679792004E1,1.092354901E-1,3.051252544E-1,-5.144067505E-1
2.699920604E1,6.418883309E-1,-3.248771489E-1,-2.002817541E-2
2.720049304E1,9.706016918E-1,-2.028457582E-2,3.200888640E-1
2.740177954E1,-1.213749238E0,4.370489645E-1,1.981182843E-1
2.760306554E1,-2.306959586E0,4.086958158E-1,-4.140442640E-1
2.780435154E1,3.146867676E-1,5.901594758E-1,9.708792883E-1
2.800563754E1,6.884507324E-1,3.932544887E-1,2.109441519E-1
2.820692354E1,1.163653218E0,-1.529163837E-2,-4.030368805E-2
2.840820967E1,1.526453799E0,5.038943338E-1,-3.185773587E-1
