"Time (s)","X (µT)","Y (µT)","Z (µT)"
7.568508334E-2,-3.188044739E1,-3.102283859E1,1.709317017E1
2.769584167E-1,-2.765827942E1,-3.683330536E1,1.218701172E1
4.782314167E-1,-2.588021851E1,-3.889330292E1,6.738830566E0
6.795054167E-1,-2.705163574E1,-3.860597610E1,4.311370850E0
8.807784167E-1,-2.848629761E1,-3.723020172E1,5.938537598E0
1.082051417E0,-2.859751892E1,-3.650855637E1,8.823455811E0
1.283323792E0,-2.808232117E1,-3.639389420E1,1.177902222E1
1.484596792E0,-2.466743469E1,-3.677471542E1,1.768695068E1
1.685869792E0,-1.903431702E1,-3.628245926E1,2.500881958E1
1.887142792E0,-1.055108643E1,-3.727632523E1,2.826800537E1
2.088415792E0,-4.721405029E0,-3.849170685E1,2.825665283E1
2.289687917E0,-2.297775269E0,-3.867661667E1,2.808877563E1
2.490960917E0,-1.259780884E0,-3.986306381E1,2.641827393E1
2.692233917E0,5.861663818E-1,-4.261726761E1,2.102191162E1
2.893506917E0,1.932693481E0,-4.453369904E1,1.588595581E1
3.094779917E0,3.265762329E0,-4.477988052E1,1.383078003E1
3.296054167E0,2.691085815E0,-4.436444092E1,1.434188843E1
3.497327167E0,1.558700562E0,-4.361007690E1,1.687271118E1
3.698600167E0,-4.399261475E-1,-4.228354263E1,2.075677490E1
3.899873167E0,-5.732650757E0,-3.952949905E1,2.504498291E1
4.101146167E0,-1.595971680E1,-3.668434143E1,2.526910400E1
4.302419833E0,-2.837635803E1,-3.146242523E1,2.063723755E1
4.503692833E0,-3.621684265E1,-2.418138885E1,1.697961426E1
4.704965833E0,-3.817558289E1,-2.167005157E1,1.495477295E1
4.906239833E0,-3.659512329E1,-2.158350372E1,1.872201538E1
5.107512833E0,-2.950912476E1,-2.340194702E1,2.795092773E1
5.308786083E0,-1.829180908E1,-2.909640503E1,3.217623901E1
5.510060083E0,-8.858581543E0,-3.412115097E1,3.174969482E1
5.711334083E0,-1.677688599E0,-3.453460312E1,3.203378296E1
5.912608083E0,-1.598358154E-1,-3.366699600E1,3.281921387E1
6.113881083E0,-8.655242920E-1,-3.208227158E1,3.417358398E1
6.315154167E0,-8.715057373E-1,-3.230937958E1,3.413439941E1
6.516428167E0,-3.671127319E0,-3.755221558E1,2.783911133E1
6.717702167E0,-9.637893677E0,-4.099417114E1,2.088513184E1
6.918976167E0,-1.535432434E1,-4.058514786E1,1.700454712E1
7.120250167E0,-1.746789551E1,-4.012791443E1,1.566687012E1
