"Time (s)","X (hPa)"
-5.168650417E-1,1.018933792E3
5.133349583E-1,1.018394089E3
1.543544958E0,1.017854385E3
2.573751958E0,1.017558365E3
3.604014958E0,1.017558365E3
4.634238958E0,1.017591705E3
4.775824958E0,1.017732162E3
5.729692958E0,1.017823563E3
6.683556958E0,1.017904129E3
7.637435958E0,1.017961655E3
8.591494958E0,1.018031921E3
9.545513958E0,1.018059692E3
1.049955196E1,1.018059692E3
1.145346596E1,1.017836838E3
1.240745396E1,1.017744522E3
1.336135496E1,1.017676239E3
1.431526996E1,1.017549820E3
1.526920496E1,1.017549820E3
1.622321396E1,1.018022919E3
1.717725796E1,1.018044052E3
1.813140296E1,1.018044052E3
1.908534596E1,1.017914505E3
2.003929296E1,1.017908020E3
2.099322596E1,1.017830658E3
2.194713696E1,1.017775192E3
2.290108996E1,1.017775192E3
2.385516996E1,1.017765121E3
2.480922196E1,1.017684250E3
2.576329996E1,1.017254791E3
2.671732396E1,1.017254791E3
2.767125396E1,1.017364120E3
2.862519996E1,1.017596512E3
2.957920096E1,1.017858887E3
3.053324696E1,1.017858887E3
3.148733096E1,1.017804871E3
3.244129296E1,1.017804871E3
3.339524296E1,1.017804871E3
3.434913496E1,1.017398758E3
3.530321396E1,1.017398758E3
3.625723196E1,1.017560577E3
3.721109396E1,1.017560577E3
3.816499896E1,1.017561951E3
3.911889996E1,1.017561951E3
4.007292196E1,1.017561951E3
4.102689396E1,1.017505493E3
4.198085496E1,1.017505493E3
4.293483396E1,1.017894669E3
4.388883596E1,1.017894669E3
4.484284296E1,1.017907257E3
4.579689196E1,1.017907257E3
4.675092196E1,1.017907257E3
4.770491796E1,1.017338943E3
4.865892296E1,1.017338943E3
4.961289796E1,1.017437439E3
5.056686496E1,1.017474136E3
5.152092396E1,1.017555618E3
5.247497696E1,1.017555618E3
5.342896896E1,1.017545700E3
5.438296196E1,1.017446899E3
5.533694696E1,1.017395630E3
5.629088896E1,1.017143250E3
5.724478996E1,1.017143250E3
5.819873796E1,1.017512970E3
5.915268396E1,1.017512970E3
6.010654496E1,1.017383118E3
6.106047796E1,1.017383118E3
6.201442096E1,1.017369003E3
6.296841996E1,1.017463837E3
6.392239996E1,1.017472229E3
6.487642296E1,1.017472229E3
6.583041196E1,1.017430649E3
6.678449896E1,1.017417984E3
6.773845596E1,1.017280197E3
6.869239396E1,1.017280197E3
6.964629996E1,1.017291489E3
7.060023196E1,1.017292099E3
7.155413396E1,1.017342072E3
7.250822596E1,1.017342072E3
7.346230696E1,1.017388535E3
7.441637796E1,1.017388535E3
7.537046296E1,1.017288666E3
7.632453496E1,1.017287445E3
7.727859196E1,1.017287445E3
7.823260696E1,1.017256088E3
7.918669396E1,1.017256088E3
8.014077396E1,1.017314377E3
8.109491996E1,1.017314377E3
8.204902396E1,1.017378387E3
8.300309696E1,1.017306900E3
8.395717596E1,1.017257233E3
8.491127896E1,1.017198792E3
8.586537396E1,1.017198792E3
8.681947396E1,1.017198792E3
8.777361096E1,1.016950226E3
8.872778596E1,1.016950226E3
8.968202396E1,1.017050247E3
9.063620996E1,1.017050247E3
9.159024896E1,1.016998215E3
9.254424396E1,1.016998215E3
9.349834996E1,1.017158356E3
9.445245196E1,1.017158356E3
9.540661396E1,1.017123489E3
9.636076496E1,1.017123489E3
9.731486196E1,1.017121964E3
9.826901696E1,1.017066345E3
9.922320996E1,1.017066345E3
1.001774220E2,1.017125397E3
1.011315980E2,1.017125397E3
1.020858280E2,1.017106628E3
1.030400320E2,1.017106628E3
1.039943340E2,1.017110138E3
