"Time (s)","Distance (cm)"
5.118291650E-3,5.000000000E0
7.892470875E0,0.000000000E0
8.660926458E0,5.000000000E0
8.936505208E0,0.000000000E0
1.196069754E1,5.000000000E0
1.439663517E1,0.000000000E0
1.570339675E1,5.000000000E0
1.971698900E1,0.000000000E0
2.521054512E1,5.000000000E0
2.736071537E1,0.000000000E0
2.844967517E1,5.000000000E0
4.308371062E1,0.000000000E0
5.491618629E1,5.000000000E0
5.649568425E1,0.000000000E0
7.476580750E1,5.000000000E0
8.565533967E1,0.000000000E0
8.642516625E1,5.000000000E0
9.934770996E1,0.000000000E0
1.055933365E2,5.000000000E0
1.082476580E2,0.000000000E0
