"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.356640000E-1,-2.917760611E-3,1.257755383E0,2.894757664E-1
3.369423750E-1,1.596020901E-1,5.980210572E-1,-9.218033150E-2
5.382203750E-1,-7.863168964E-1,-1.320049864E-1,1.041598146E-1
7.394993750E-1,-1.117556108E0,-2.993236470E-1,1.448379437E-1
9.407783750E-1,-1.606759605E0,-5.693428034E-1,5.450503998E-1
1.142057375E0,3.336538196E-2,7.669921410E-1,-3.667572463E-1
1.343336125E0,1.184377504E0,-2.028317249E-1,-1.949977423E0
1.544615125E0,1.446657870E0,6.574258447E-2,-4.950977826E-1
1.745894125E0,1.213553941E0,-7.600380474E-1,7.025333127E-1
1.947172125E0,1.499882151E0,-2.219263923E-1,7.401804645E-1
2.148451125E0,1.455106366E0,-1.196352017E0,9.331711793E-1
2.349730667E0,5.588360877E-1,-3.076249391E-1,1.845306123E0
2.551009667E0,1.120936091E0,-2.535077888E-1,-2.066669136E-2
2.752288667E0,-5.072757787E-1,-5.964335382E-2,-1.388152385E-1
2.953567667E0,1.689628538E0,6.677023262E-1,-1.747266443E-1
3.154846667E0,8.849567201E-2,4.534691155E-1,-9.298932302E-1
3.356125000E0,-3.337353151E-1,-1.793259180E-1,-1.749796826E-1
3.557404000E0,-4.484989822E-2,-3.452038246E-1,-7.456077039E-2
3.758683000E0,1.488941572E-1,-9.934360921E-2,1.113085327E0
3.959962000E0,-7.345036221E-1,-4.376518124E-1,-5.227235377E-2
4.161241000E0,1.127477298E0,1.174027348E-1,1.362618325E0
4.362518875E0,5.519303799E-1,-1.923330492E-1,2.017514372E0
4.563797875E0,6.187130378E-1,9.924128294E-1,1.198471048E0
4.765076875E0,1.458264009E0,1.086930147E0,-5.713455478E-1
4.966355875E0,1.495057906E0,-4.589023483E-1,-1.484253859E0
5.167635875E0,4.150309816E-1,-1.624344814E-1,-8.690073431E-1
5.368915125E0,-1.049536618E0,-7.228532642E-1,5.390700138E-1
5.570194125E0,-1.899191724E-1,-7.914071900E-1,-4.888740063E-2
5.771473125E0,1.009596407E0,1.235808443E0,1.147559926E-2
5.972752125E0,4.579305410E-1,2.840226531E-1,2.301861691E-1
6.174032125E0,-6.109486663E-1,-4.978880739E-1,-1.109513848E0
6.375311292E0,-5.302753629E-1,1.723194918E0,-1.380333488E0
6.576590292E0,-9.273837514E-1,8.466242015E-1,2.898479417E-1
6.777870292E0,-2.576365955E0,3.689008355E-3,-1.736251312E0
6.979150292E0,-4.947142053E-1,-9.270877361E-1,6.678012172E-1
7.180430292E0,-2.720133492E-1,-2.165003516E0,1.828189276E0
7.381710375E0,1.401560050E-1,1.033775448E0,3.319341534E-1
7.582990375E0,5.727918566E-1,4.860486317E-1,2.493947111E-2
7.784269375E0,9.279602869E-1,-5.774979150E-1,-3.684864141E-1
7.985549375E0,1.475468418E0,-2.520775598E-1,-6.805638617E-1
8.186829375E0,-5.124624417E-1,3.770787513E-1,-1.003492865E0
8.388109000E0,-7.059853627E-1,-1.133149463E-1,-1.339407071E0
8.589389000E0,8.362984572E-1,-1.242591798E-1,-3.934389684E-1
8.790669000E0,1.832255723E-1,-8.819291049E-1,1.258609076E0
8.991950000E0,8.107164502E-2,1.061332791E0,3.140469360E-1
9.193230000E0,7.728302935E-1,-6.675356805E-2,-1.164079480E0
9.394510792E0,4.651995072E-1,-4.795728403E-1,-1.297965515E0
9.595790792E0,-8.173909007E-1,-3.116565943E-2,1.331035320E-1
9.797070792E0,-1.935488169E0,-4.753412104E-1,1.173813924E-1
9.998350792E0,-1.329886050E0,1.683468350E0,-3.059871340E-1
1.019963079E1,6.607175347E-1,8.004066396E-1,-8.763409209E-1
1.040091025E1,8.978365282E-1,-7.078686047E-1,-1.155705097E0
1.060219025E1,2.050446036E0,-1.693595143E0,1.565920604E0
1.080347025E1,-5.164714023E-2,-1.284949613E0,5.858363369E-1
1.100474925E1,1.007391934E0,-1.560035967E0,2.008284688E-1
1.120602925E1,-4.215699229E-1,1.372996987E0,-3.565931190E0
1.140730962E1,-1.514362488E0,6.082636249E-1,1.126778921E-1
1.160858962E1,3.139293485E0,-2.257631598E0,2.643469478E0
1.180986962E1,7.446195245E-2,1.694131333E-1,-7.739082277E-1
1.201114963E1,2.543842279E0,-2.537270594E-1,6.006704307E-1
1.221243062E1,-5.695451170E-1,1.636448550E-1,-3.348981071E-1
1.241371113E1,-6.009667383E-1,-6.813041192E-1,1.085759096E0
1.261499212E1,3.964913611E-1,-2.107921243E-2,-7.891099651E-1
1.281627313E1,-2.366106512E0,1.147032507E0,-3.752251474E-1
1.301755412E1,-1.547525556E0,3.186516184E-1,5.060618236E-1
1.321883413E1,2.144434181E-1,2.283103824E-1,-5.022851801E-1
1.342011512E1,4.051179411E-1,3.529139632E-1,-8.003717025E-1
1.362139613E1,1.034146089E0,7.275246048E-1,-4.197262958E-1
1.382267712E1,2.657910055E0,3.497792709E-1,-8.257452562E-2
1.402395712E1,1.783073038E0,3.448015362E-1,-3.746574193E-1
1.422523812E1,2.028994649E0,1.344712250E0,-2.002152128E0
1.442651867E1,-6.393281275E-1,3.794515514E-1,-2.911595306E0
1.462779867E1,-2.696457531E0,1.168881798E-1,-3.039341766E-1
1.482907967E1,-4.018731092E0,-4.622299987E-1,7.159215362E-1
1.503035967E1,-3.101191420E-1,-8.736055934E-1,1.556713433E0
1.523164087E1,-1.506523711E0,-2.787408632E-1,1.812608786E0
1.543292087E1,1.905554956E-1,-4.419290507E-1,1.529328729E0
1.563420187E1,3.499362686E-1,1.819524872E-1,9.444329166E-1
1.583548187E1,4.200820988E-1,7.070581806E-1,-3.267657995E-1
1.603676188E1,8.136320181E-1,9.294845098E-1,7.448351406E-1
1.623804192E1,5.715881342E-1,2.426600343E-1,-1.811157799E0
1.643932192E1,1.437871259E-1,-2.036181754E-1,-1.631424915E0
1.664060292E1,1.413184315E0,-7.786368710E-1,-1.046933730E-1
1.684188292E1,-1.954300269E-1,1.385421735E-1,-3.284492129E-1
1.704316392E1,1.121737452E0,-9.625464213E-1,1.207312038E0
1.724444417E1,4.901972312E-1,-1.210798733E0,1.485566998E0
1.744572517E1,-2.821135372E-1,-1.765233475E-1,9.067231265E-1
1.764700617E1,5.660288939E-1,-1.127126831E-1,8.216367102E-1
1.784828717E1,1.766167568E-1,3.123863268E-1,6.923837158E-1
1.804956717E1,-1.892053735E-1,-2.378881216E-1,1.066258485E0
1.825085000E1,1.368642565E0,-5.671506822E-2,-1.738883875E0
1.845213100E1,6.906549865E-1,8.883323908E-2,-9.479166877E-1
1.865341200E1,1.837287252E-1,-8.690365791E-2,-5.568157285E-1
1.885469300E1,-9.698899394E-1,-6.060890454E-1,3.053535882E-1
1.905597400E1,-2.189345767E0,-1.423001790E-1,8.317819217E-1
1.925725537E1,-6.173769490E-1,4.389270902E-2,-2.330410722E-1
1.945853637E1,-1.788886924E-1,1.493794030E-1,-2.777681789E-1
1.965981737E1,5.518280536E-1,-2.643181211E-1,-4.576859812E-1
1.986109837E1,6.042313850E-1,3.887170494E-2,-5.409539501E-1
2.006238037E1,2.354900323E-1,-3.592535144E-1,-2.423209323E-1
2.026366237E1,-1.678917608E-1,8.273342371E-2,1.462966778E-1
2.046494338E1,4.481534848E-1,1.764473337E-1,-6.198165536E-2
2.066622537E1,1.269902973E0,-2.236168224E-1,1.030121523E-1
2.086750637E1,-3.579282430E-1,2.369946671E-1,8.184090471E-1
2.106878837E1,5.395250733E-1,-3.518217033E-1,1.060007373E-1
2.127006942E1,6.426338509E-2,3.030301970E-1,-1.536817112E-1
2.147135142E1,8.768250704E-1,-6.963332176E-2,-5.836240429E-1
2.167263242E1,-7.386594576E-1,1.478573728E-1,6.254082459E-1
2.187391442E1,-8.728869706E-1,-2.797635412E-1,1.104462438E0
2.207519542E1,-7.123928878E-1,-2.191752774E-1,3.390144007E-1
2.227647825E1,4.790211555E-1,-1.293474269E-1,-8.969594458E-1
2.247775925E1,4.555505781E-1,2.650156939E-1,1.834463777E-1
2.267904125E1,-1.758903864E-1,-2.061728239E-3,7.594124684E-1
2.288032325E1,-1.314458464E-1,-3.695890528E-1,-2.152295762E-1
2.308160525E1,-4.587411113E-2,2.837139201E-1,-5.640515848E-1
2.328288638E1,-9.385639201E-1,2.376273358E-1,-5.205089048E-2
2.348416837E1,-1.384387600E-1,1.579046434E-1,-3.086043477E-1
2.368545037E1,-4.360290274E-1,1.418404709E0,-4.701452284E-1
2.388673237E1,-8.678644317E-1,-1.809444273E-1,-1.156972189E0
2.408801537E1,1.023159097E0,1.486525941E-1,-1.569410223E0
2.428929729E1,1.939779148E0,9.767422915E-2,-7.610689116E-1
2.449057929E1,1.119888343E-1,1.186975422E0,-2.533294487E0
2.469186129E1,-2.440379307E-1,9.636959839E-1,-4.923554385E-1
2.489314429E1,2.235665948E0,-2.454427242E-1,-1.433129168E-1
2.509442629E1,-7.966945347E-1,-7.574383754E-1,-3.281631379E-1
2.529571012E1,9.518827079E-1,-1.530306968E0,-1.048126562E-1
2.549699312E1,2.511000516E-1,-6.006148821E-1,1.470469633E0
2.569827513E1,2.618160975E-1,4.564804316E-1,3.358792698E-1
2.589955812E1,-1.911270609E-1,1.809175301E-1,-9.251315501E-1
2.610084112E1,3.640691350E-1,-2.979583222E-1,8.743600304E-1
2.630212237E1,-1.737496623E0,5.884462416E-1,5.872943401E-2
2.650340537E1,2.421441637E-1,-3.603071827E-1,-7.537897128E-1
2.670468737E1,8.738532230E-2,-3.295999449E-1,-6.087314022E-1
