"Time (s)","Distance (cm)"
2.058620833E-1,5.000000000E0
4.058620833E-1,5.000000000E0
6.058620833E-1,5.000000000E0
8.058620833E-1,5.000000000E0
1.005862083E0,5.000000000E0
1.205862083E0,5.000000000E0
1.405862083E0,5.000000000E0
1.605862083E0,5.000000000E0
1.805862083E0,5.000000000E0
2.005862083E0,5.000000000E0
2.205862083E0,5.000000000E0
2.405862083E0,5.000000000E0
2.605862083E0,5.000000000E0
2.805862083E0,5.000000000E0
3.005862083E0,5.000000000E0
3.205862083E0,5.000000000E0
3.405862083E0,5.000000000E0
3.605862083E0,0.000000000E0
3.805862083E0,0.000000000E0
4.005862083E0,0.000000000E0
4.205862083E0,0.000000000E0
4.405862083E0,0.000000000E0
4.605862083E0,0.000000000E0
4.805862083E0,0.000000000E0
5.005862083E0,0.000000000E0
5.205862083E0,5.000000000E0
5.405862083E0,5.000000000E0
5.605862083E0,5.000000000E0
5.805862083E0,5.000000000E0
6.005862083E0,5.000000000E0
6.205862083E0,5.000000000E0
6.405862083E0,5.000000000E0
6.605862083E0,0.000000000E0
6.805862083E0,0.000000000E0
7.005862083E0,0.000000000E0
7.205862083E0,0.000000000E0
7.405862083E0,0.000000000E0
7.605862083E0,0.000000000E0
7.805862083E0,0.000000000E0
8.005862083E0,0.000000000E0
8.205862083E0,0.000000000E0
8.405862083E0,0.000000000E0
8.605862083E0,0.000000000E0
8.805862083E0,0.000000000E0
9.005862083E0,0.000000000E0
9.205862083E0,0.000000000E0
9.405862083E0,0.000000000E0
9.605862083E0,0.000000000E0
9.805862083E0,0.000000000E0
1.000586208E1,0.000000000E0
1.020586208E1,0.000000000E0
1.040586208E1,0.000000000E0
1.060586208E1,0.000000000E0
1.080586208E1,0.000000000E0
1.100586208E1,0.000000000E0
1.120586208E1,0.000000000E0
1.140586208E1,0.000000000E0
1.160586208E1,0.000000000E0
1.180586208E1,0.000000000E0
1.200586208E1,0.000000000E0
1.220586208E1,0.000000000E0
1.240586208E1,0.000000000E0
1.260586208E1,0.000000000E0
1.280586208E1,0.000000000E0
1.300586208E1,0.000000000E0
1.320586208E1,5.000000000E0
1.340586208E1,5.000000000E0
1.360586208E1,5.000000000E0
1.380586208E1,0.000000000E0
1.400586208E1,0.000000000E0
1.420586208E1,0.000000000E0
1.440586208E1,0.000000000E0
1.460586208E1,0.000000000E0
1.480586208E1,0.000000000E0
1.500586208E1,0.000000000E0
1.520586208E1,0.000000000E0
1.540586208E1,0.000000000E0
1.560586208E1,0.000000000E0
1.580586208E1,0.000000000E0
1.600586208E1,0.000000000E0
1.620586208E1,0.000000000E0
1.640586208E1,0.000000000E0
1.660586208E1,0.000000000E0
1.680586208E1,0.000000000E0
1.700586208E1,0.000000000E0
1.720586208E1,0.000000000E0
1.740586208E1,0.000000000E0
1.760586208E1,0.000000000E0
1.780586208E1,0.000000000E0
1.800586208E1,0.000000000E0
1.820586208E1,0.000000000E0
1.840586208E1,0.000000000E0
1.860586208E1,0.000000000E0
1.880586208E1,0.000000000E0
1.900586208E1,0.000000000E0
1.920586208E1,0.000000000E0
1.940586208E1,0.000000000E0
1.960586208E1,0.000000000E0
1.980586208E1,0.000000000E0
2.000586208E1,0.000000000E0
2.020586208E1,0.000000000E0
2.040586208E1,0.000000000E0
2.060586208E1,0.000000000E0
2.080586208E1,0.000000000E0
2.100586208E1,0.000000000E0
2.120586208E1,5.000000000E0
2.140586208E1,5.000000000E0
2.160586208E1,5.000000000E0
2.180586208E1,5.000000000E0
2.200586208E1,5.000000000E0
2.220586208E1,5.000000000E0
2.240586208E1,5.000000000E0
2.260586208E1,5.000000000E0
2.280586208E1,5.000000000E0
2.300586208E1,5.000000000E0
2.320586208E1,5.000000000E0
2.340586208E1,5.000000000E0
2.360586208E1,5.000000000E0
2.380586208E1,5.000000000E0
2.400586208E1,0.000000000E0
2.420586208E1,0.000000000E0
2.440586208E1,0.000000000E0
2.460586208E1,0.000000000E0
2.480586208E1,0.000000000E0
2.500586208E1,0.000000000E0
2.520586208E1,0.000000000E0
2.540586208E1,0.000000000E0
2.560586208E1,0.000000000E0
2.580586208E1,0.000000000E0
2.600586208E1,0.000000000E0
2.620586208E1,0.000000000E0
2.640586208E1,0.000000000E0
2.660586208E1,0.000000000E0
2.680586208E1,0.000000000E0
2.700586208E1,0.000000000E0
2.720586208E1,0.000000000E0
2.740586208E1,0.000000000E0
2.760586208E1,0.000000000E0
2.780586208E1,0.000000000E0
2.800586208E1,5.000000000E0
2.820586208E1,5.000000000E0
2.840586208E1,5.000000000E0
2.860586208E1,5.000000000E0
2.880586208E1,5.000000000E0
2.900586208E1,5.000000000E0
2.920586208E1,5.000000000E0
2.940586208E1,5.000000000E0
2.960586208E1,5.000000000E0
2.980586208E1,5.000000000E0
3.000586208E1,5.000000000E0
3.020586208E1,5.000000000E0
3.040586208E1,5.000000000E0
3.060586208E1,0.000000000E0
3.080586208E1,0.000000000E0
3.100586208E1,0.000000000E0
3.120586208E1,0.000000000E0
3.140586208E1,5.000000000E0
3.160586208E1,5.000000000E0
3.180586208E1,5.000000000E0
3.200586208E1,5.000000000E0
3.220586208E1,5.000000000E0
3.240586208E1,5.000000000E0
3.260586208E1,0.000000000E0
3.280586208E1,0.000000000E0
3.300586208E1,5.000000000E0
3.320586208E1,5.000000000E0
3.340586208E1,5.000000000E0
3.360586208E1,5.000000000E0
3.380586208E1,5.000000000E0
3.400586208E1,0.000000000E0
3.420586208E1,0.000000000E0
3.440586208E1,0.000000000E0
3.460586208E1,0.000000000E0
3.480586208E1,0.000000000E0
3.500586208E1,0.000000000E0
3.520586208E1,5.000000000E0
3.540586208E1,5.000000000E0
3.560586208E1,0.000000000E0
3.580586208E1,0.000000000E0
3.600586208E1,0.000000000E0
3.620586208E1,0.000000000E0
3.640586208E1,0.000000000E0
3.660586208E1,0.000000000E0
3.680586208E1,0.000000000E0
3.700586208E1,0.000000000E0
3.720586208E1,0.000000000E0
3.740586208E1,0.000000000E0
3.760586208E1,5.000000000E0
3.780586208E1,5.000000000E0
3.800586208E1,5.000000000E0
3.820586208E1,5.000000000E0
3.840586208E1,5.000000000E0
3.860586208E1,0.000000000E0
3.880586208E1,0.000000000E0
3.900586208E1,0.000000000E0
3.920586208E1,0.000000000E0
3.940586208E1,5.000000000E0
3.960586208E1,0.000000000E0
3.980586208E1,0.000000000E0
4.000586208E1,0.000000000E0
4.020586208E1,0.000000000E0
4.040586208E1,0.000000000E0
4.060586208E1,0.000000000E0
4.080586208E1,0.000000000E0
4.100586208E1,0.000000000E0
4.120586208E1,0.000000000E0
4.140586208E1,0.000000000E0
4.160586208E1,0.000000000E0
4.180586208E1,0.000000000E0
4.200586208E1,0.000000000E0
4.220586208E1,0.000000000E0
4.240586208E1,5.000000000E0
4.260586208E1,0.000000000E0
4.280586208E1,0.000000000E0
4.300586208E1,0.000000000E0
4.320586208E1,0.000000000E0
4.340586208E1,0.000000000E0
4.360586208E1,0.000000000E0
4.380586208E1,0.000000000E0
4.400586208E1,0.000000000E0
4.420586208E1,0.000000000E0
4.440586208E1,0.000000000E0
4.460586208E1,5.000000000E0
4.480586208E1,5.000000000E0
4.500586208E1,5.000000000E0
4.520586208E1,5.000000000E0
4.540586208E1,5.000000000E0
4.560586208E1,5.000000000E0
4.580586208E1,5.000000000E0
4.600586208E1,5.000000000E0
4.620586208E1,0.000000000E0
4.640586208E1,0.000000000E0
4.660586208E1,0.000000000E0
4.680586208E1,0.000000000E0
4.700586208E1,0.000000000E0
4.720586208E1,5.000000000E0
4.740586208E1,5.000000000E0
4.760586208E1,5.000000000E0
4.780586208E1,5.000000000E0
4.800586208E1,5.000000000E0
4.820586208E1,5.000000000E0
4.840586208E1,5.000000000E0
4.860586208E1,0.000000000E0
4.880586208E1,0.000000000E0
4.900586208E1,0.000000000E0
4.920586208E1,5.000000000E0
4.940586208E1,5.000000000E0
4.960586208E1,0.000000000E0
4.980586208E1,0.000000000E0
5.000586208E1,0.000000000E0
5.020586208E1,0.000000000E0
5.040586208E1,0.000000000E0
5.060586208E1,0.000000000E0
5.080586208E1,0.000000000E0
5.100586208E1,0.000000000E0
5.120586208E1,0.000000000E0
5.140586208E1,0.000000000E0
5.160586208E1,0.000000000E0
5.180586208E1,0.000000000E0
5.200586208E1,0.000000000E0
5.220586208E1,5.000000000E0
5.240586208E1,5.000000000E0
5.260586208E1,5.000000000E0
5.280586208E1,5.000000000E0
5.300586208E1,5.000000000E0
5.320586208E1,0.000000000E0
5.340586208E1,0.000000000E0
5.360586208E1,0.000000000E0
5.380586208E1,0.000000000E0
5.400586208E1,0.000000000E0
5.420586208E1,0.000000000E0
5.440586208E1,0.000000000E0
5.460586208E1,0.000000000E0
5.480586208E1,0.000000000E0
5.500586208E1,0.000000000E0
5.520586208E1,0.000000000E0
5.540586208E1,0.000000000E0
5.560586208E1,0.000000000E0
5.580586208E1,0.000000000E0
5.600586208E1,0.000000000E0
5.620586208E1,0.000000000E0
5.640586208E1,5.000000000E0
