"Time (s)","X (hPa)"
-5.113541667E-1,1.017427673E3
5.215928333E-1,1.017696838E3
1.554556833E0,1.017427673E3
2.587445833E0,1.017071762E3
3.620432833E0,1.017071762E3
4.653418833E0,1.017071762E3
4.791183833E0,1.016740341E3
5.747650833E0,1.016740341E3
6.704204833E0,1.016996307E3
7.660712833E0,1.016996307E3
8.617350833E0,1.016943436E3
9.573954833E0,1.016943436E3
1.053050883E1,1.016943436E3
1.148693983E1,1.016975174E3
1.244345083E1,1.016976624E3
1.339988383E1,1.017030716E3
1.435627783E1,1.017030716E3
1.531278583E1,1.017030716E3
1.626923483E1,1.016978073E3
1.722568683E1,1.016881332E3
1.818203283E1,1.016881332E3
1.913838483E1,1.016850891E3
2.009476483E1,1.016885529E3
2.105107383E1,1.017032394E3
2.200740883E1,1.017032394E3
2.296370783E1,1.016967545E3
2.392004983E1,1.016830215E3
2.487646083E1,1.016753998E3
2.583285683E1,1.016753998E3
2.678925983E1,1.016753998E3
2.774564483E1,1.016789856E3
2.870208683E1,1.016794739E3
2.965852483E1,1.016794739E3
3.061484183E1,1.016751862E3
3.157121183E1,1.016689911E3
3.252762583E1,1.016689758E3
3.348399483E1,1.016689758E3
3.444036383E1,1.016735001E3
3.539676483E1,1.016826096E3
3.635327183E1,1.016826096E3
3.730971283E1,1.016826096E3
3.826623083E1,1.016834793E3
3.922271383E1,1.016981201E3
4.017920783E1,1.016981201E3
4.113572183E1,1.016969910E3
4.209223083E1,1.016840897E3
4.304868583E1,1.016840897E3
4.400507883E1,1.016672897E3
4.496145883E1,1.016672897E3
4.591794683E1,1.016427917E3
4.687448883E1,1.016427917E3
4.783102483E1,1.016373367E3
4.878751083E1,1.016373367E3
4.974407683E1,1.016478043E3
5.070066283E1,1.016478043E3
5.165723483E1,1.016478043E3
5.261367983E1,1.016557312E3
5.357008983E1,1.016570587E3
5.452645883E1,1.016618729E3
5.548287783E1,1.016803360E3
5.643937183E1,1.016861954E3
5.739597883E1,1.016861954E3
5.835257083E1,1.016496124E3
5.930918583E1,1.016439743E3
6.026566983E1,1.016303940E3
6.122218783E1,1.016303940E3
6.217869983E1,1.016474915E3
6.313524383E1,1.016599884E3
6.409185483E1,1.016599884E3
6.504845783E1,1.016359100E3
6.600500083E1,1.016223450E3
6.696160883E1,1.016029205E3
6.791819883E1,1.016029205E3
6.887474583E1,1.016352997E3
6.983137583E1,1.016352997E3
7.078801183E1,1.016352692E3
7.174462283E1,1.016352692E3
7.270114983E1,1.016352692E3
7.365772383E1,1.016098938E3
7.461440783E1,1.016098938E3
7.557099983E1,1.016284256E3
7.652763683E1,1.016364441E3
7.748423483E1,1.016364441E3
7.844081183E1,1.016335144E3
7.939732483E1,1.016222687E3
8.035389883E1,1.016018753E3
8.131046783E1,1.015986404E3
8.226708883E1,1.015986404E3
8.322376383E1,1.016049423E3
8.418030283E1,1.016099091E3
8.513679383E1,1.016100235E3
8.609340183E1,1.016099091E3
8.704997283E1,1.016036835E3
8.800660383E1,1.016025543E3
8.896315383E1,1.016014862E3
8.991972883E1,1.016014862E3
9.087626383E1,1.015921326E3
9.183275883E1,1.015921326E3
9.278939183E1,1.015937347E3
9.374601883E1,1.015938263E3
9.470265483E1,1.015987854E3
9.565925483E1,1.016082611E3
9.661585383E1,1.016082611E3
9.757249483E1,1.016000366E3
9.852915583E1,1.015998611E3
9.948579183E1,1.016000366E3
1.004424208E2,1.015964050E3
1.013989428E2,1.015964050E3
1.023554068E2,1.015942307E3
1.033120098E2,1.015916977E3
1.042687238E2,1.015908508E3
1.052253658E2,1.015622635E3
1.061819648E2,1.015622635E3
1.071384978E2,1.015773315E3
1.080949868E2,1.015773315E3
1.090515658E2,1.015752869E3
1.100080948E2,1.015735016E3
1.109646948E2,1.015720978E3
1.119213818E2,1.015720978E3
1.128780298E2,1.015783768E3
1.138347548E2,1.015783768E3
1.147914898E2,1.015735397E3
1.157480788E2,1.015730896E3
1.167047468E2,1.015730896E3
1.176612198E2,1.015730896E3
1.186177988E2,1.015627518E3
