"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.536708335E-2,7.389832764E0,1.011267059E1,-1.432221680E0
2.241244167E-1,4.221221924E0,9.110055542E0,-8.167016602E-1
4.228814167E-1,3.367547150E0,9.095086670E0,1.839225311E0
6.216384167E-1,4.436025238E0,7.522906036E0,2.068249054E0
8.203964167E-1,3.761527863E0,7.887398071E0,1.807940369E0
1.019153417E0,3.598367157E0,8.811576233E0,1.453926544E0
1.217909792E0,4.674030304E0,9.316775665E0,1.898651733E0
1.416666792E0,4.153862000E0,1.066681824E1,-2.180964661E-1
1.615424792E0,3.579057312E0,8.269703064E0,-1.989213409E0
1.814181792E0,2.473905487E0,8.659193115E0,-2.480342102E0
2.012938792E0,2.728226624E0,7.834557953E0,-4.917274475E-1
2.211694917E0,9.156459045E-1,1.043135788E1,-2.461631012E0
2.410451917E0,2.290237427E-1,9.773625641E0,-2.166444855E0
2.609208917E0,-1.676363983E0,1.089105194E1,-1.376387787E0
2.807965917E0,-2.306852875E0,9.218280487E0,-2.820135498E-1
3.006722917E0,-2.401905212E0,9.889335022E0,4.724176025E-1
3.205481167E0,-2.615511017E0,9.697733459E0,1.146016846E0
3.404238167E0,-1.917063446E0,9.237290955E0,-1.097218323E-1
3.602996167E0,-1.525627441E0,9.610914001E0,-1.457818451E0
3.801753167E0,-2.011816406E-1,9.546697540E0,-2.064207458E0
4.000510167E0,8.855584717E-1,1.104283630E1,-3.259771271E0
4.199266833E0,3.159030762E0,8.101452942E0,-2.239942017E0
4.398023833E0,3.377426605E0,9.064999237E0,-2.554138641E0
4.596781833E0,3.918850708E0,7.614814911E0,-2.192640381E0
4.795538833E0,6.807543640E0,8.383915558E0,-3.661236420E0
4.994296833E0,5.779032440E0,9.311686249E0,-3.359014893E0
5.193054083E0,4.329895935E0,7.902217255E0,-5.125341797E0
5.391812083E0,3.385809174E0,8.432265015E0,-5.559588776E0
5.590569083E0,1.737736359E0,7.533533936E0,-3.247796173E0
5.789327083E0,3.763174438E-1,8.835077362E0,-3.774700470E0
5.988085083E0,8.162525940E-1,8.634943542E0,-4.471651154E0
6.186842167E0,9.639953613E-1,8.489745483E0,-1.445094910E0
6.385600167E0,1.998194733E0,1.033151550E1,-4.948110352E0
6.584358167E0,9.157955933E-1,7.607929230E0,-2.703378296E0
6.783116167E0,2.414329376E0,8.384664001E0,-1.201850739E0
6.981874167E0,3.573369141E0,9.089099121E0,-8.173004150E-2
7.183149292E0,2.748434601E0,8.918603668E0,2.164498901E-1
7.384423292E0,5.025200043E0,1.016610947E1,6.914122009E-1
7.585697292E0,6.403683472E0,9.392817535E0,-6.045927429E-1
7.786971292E0,6.514602814E0,7.081473999E0,-5.168751526E-1
8.155552583E0,4.577331390E0,5.816903687E0,1.594184875E0
8.354310583E0,6.172264709E0,7.114106140E0,2.011966095E0
8.553068583E0,9.016799469E0,6.012846222E0,8.080197144E-1
8.751826583E0,8.040230255E0,7.406747589E0,1.512305145E0
8.950584583E0,6.043083344E0,7.009324036E0,2.502945099E0
9.148085208E0,4.857099609E0,8.379424896E0,3.501817932E0
9.349359208E0,4.836442566E0,7.463180237E0,2.750679932E0
9.550634208E0,4.292324066E0,8.303682404E0,2.940185852E0
9.751908208E0,3.550466766E0,9.196425934E0,2.020348663E0
9.953182208E0,4.889432373E0,1.012030472E1,1.060843964E0
1.015445596E1,6.052962799E0,8.756790161E0,-1.177451477E0
1.035572996E1,3.085084534E0,8.654702454E0,-2.347418518E0
1.055700396E1,3.322640533E0,8.675509186E0,-2.530487823E0
1.078721196E1,2.619552612E0,8.645571442E0,-2.104473724E0
1.098596996E1,1.999242554E0,9.629625092E0,-1.715432739E0
1.118472783E1,1.115180969E0,1.102158051E1,-1.704355774E0
1.138348683E1,-1.261875916E-1,1.094149704E1,1.038690033E0
1.158224483E1,-2.037862244E0,9.097032623E0,2.031575317E0
