"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.131047083E-1,-3.201212883E-1,1.456954479E-1,-1.939804405E-1
3.144127083E-1,4.381739534E-3,-2.987962682E-3,-1.223013625E-1
5.157197083E-1,-3.893413022E-2,4.846816510E-2,2.443584651E-1
7.170281250E-1,4.443552494E-1,1.712741703E-2,3.253415823E-1
9.183361250E-1,7.662736773E-1,2.028411478E-1,3.927800655E-1
1.119644125E0,7.599408627E-1,1.915314496E-1,4.279741645E-1
1.320951125E0,5.901432633E-1,5.485634804E-1,2.602311671E-1
1.522259125E0,4.294767380E-1,-1.662204266E-1,4.021225274E-1
1.723567083E0,-5.386155471E-2,1.513242424E-1,-6.354798377E-2
1.924875083E0,1.605305448E-2,6.519329548E-1,-1.002693027E-1
2.126183083E0,2.059416659E-2,9.171146154E-1,1.422934234E-2
2.327490083E0,-2.008194849E-2,5.810709596E-1,3.800115362E-2
2.528798083E0,-1.210685000E-1,1.542368084E-1,1.396747380E-1
2.730105583E0,-7.814395428E-2,1.147532463E-1,1.479630321E-1
2.931412583E0,-1.733485758E-1,-1.913514286E-1,5.129301548E-2
3.132720583E0,-1.363692433E-1,-1.747336797E-2,-3.764453530E-2
3.334028583E0,-2.973730862E-2,-4.063321650E-2,-6.390637718E-4
3.535336583E0,2.589034438E-1,1.572899967E-1,-4.770930111E-2
3.736644083E0,1.301108003E-1,-9.738013893E-2,1.660955139E-2
3.937952083E0,-1.225018501E-1,-1.666556299E-2,-2.008440197E-1
4.139259083E0,-6.878245622E-2,-3.992929161E-1,2.764617503E-1
4.340567083E0,-4.114132822E-1,-1.156535745E-1,2.131130546E-2
4.541874083E0,-1.550302655E-1,-4.681406170E-2,-7.266318053E-2
4.743181583E0,-2.323767394E-1,1.343780309E-1,-3.559229150E-2
4.944488583E0,-2.587643862E-1,-4.996454343E-3,-2.527783439E-2
5.145796583E0,-1.281987876E-1,1.393036265E-2,-8.776333928E-2
5.347103583E0,-1.316455454E-1,-1.583483443E-2,3.657281771E-2
5.548410583E0,-2.134587765E-1,-3.084760346E-2,-8.088853955E-2
5.749718583E0,-1.053137854E-1,-1.335579455E-1,-2.586670220E-1
5.951025583E0,1.617224067E-1,1.438038610E-2,6.261292845E-2
6.152332583E0,5.347731709E-1,2.828400135E-1,2.191050798E-1
6.353640583E0,-2.238584012E-1,-2.300328165E-1,2.909242213E-1
6.554947583E0,-7.388979793E-1,-4.979186356E-1,-3.697888255E-1
6.756254708E0,-7.641499639E-1,-5.138326883E-1,-5.296021104E-1
6.957561708E0,-7.748360634E-1,-2.609961033E-1,-6.018725634E-1
7.158869708E0,-7.804705501E-1,-8.079929352E-1,-3.814417124E-1
7.360176708E0,-4.088677764E-1,-3.016247153E-1,-1.219509393E-1
7.561483708E0,8.580971509E-3,-3.607931733E-2,2.365003824E-1
7.762790375E0,2.928874791E-1,-2.886780798E-1,3.041839302E-1
7.964097375E0,-4.989561439E-2,2.218767554E-1,1.351213455E-1
8.165404375E0,7.734041661E-2,1.928010732E-1,-3.488195688E-2
8.366712375E0,7.728762031E-1,6.150758266E-1,-3.606295288E-1
8.568019375E0,7.682971358E-1,2.858682275E-1,-8.108482957E-1
8.769326333E0,6.697916389E-1,9.087395668E-2,-9.219211936E-1
8.970633333E0,3.015496433E-1,-8.463127911E-2,-4.829391241E-1
9.171941333E0,3.937005699E-1,3.969605640E-2,-4.658044279E-1
9.373248333E0,2.508810759E-1,6.361997221E-3,-4.519486129E-1
9.574556708E0,-1.046912447E-1,-6.111359224E-2,-1.176669449E-2
9.775864708E0,-2.366120461E-3,-2.146742046E-1,6.032114848E-2
9.977172708E0,1.135143116E-1,2.002519555E-2,6.434161216E-2
1.017848071E1,8.788882941E-2,-8.462460339E-2,4.186083004E-2
1.037978871E1,-5.865705758E-2,3.300660551E-1,7.512342930E-2
1.058109596E1,-1.330267936E-1,1.073064953E-1,3.802355006E-2
1.078240396E1,-1.885126531E-1,-8.789531887E-2,3.424191475E-2
1.098371196E1,-2.188834101E-1,7.202486694E-2,-4.664988071E-2
