"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.199358334E-1,-3.567195650E0,-2.564121008E-2,1.437207454E0
3.212157083E-1,-1.658179142E0,-3.129312873E-2,9.816609693E-1
5.224947083E-1,1.541812534E0,-1.303301684E0,-1.467994360E0
7.237737083E-1,-2.103700138E0,9.808382660E-1,1.496354380E0
9.250537083E-1,-8.460312939E-1,1.482619416E0,1.141527061E-1
1.126332708E0,2.657530278E-2,-6.150101423E-3,-6.547992023E-1
1.327612083E0,1.406749747E0,-7.520162523E-1,-5.631383228E-1
1.528891083E0,-1.417496637E-1,-1.978376180E-1,-1.075185283E-1
1.730170083E0,7.116061449E-4,-1.670181137E-1,5.723313153E-2
1.931449083E0,-8.870433721E-1,6.460378075E-1,3.389056425E-1
2.132729083E0,2.793200299E-1,4.147804284E-1,9.044245130E-1
2.334008958E0,-5.237424150E-1,-1.091711415E0,-3.069665426E-1
2.535287958E0,-5.864783612E-1,3.236170739E-1,6.253529897E-1
2.736567958E0,-7.202600241E-2,-6.865724605E-1,-2.134613782E-1
2.937847958E0,4.177794653E-1,-1.700797158E-1,3.195298702E-2
3.139127958E0,-8.313775867E-1,1.148169791E0,2.780991313E-1
3.340407500E0,-9.789515157E-1,1.878465391E0,-1.687227233E-1
3.541687500E0,3.307068229E-1,-1.138111410E0,-4.054949769E-1
3.742966500E0,2.041012431E0,-1.399261510E0,9.426515624E-1
3.944246500E0,1.684317658E0,-6.624257988E-1,1.052469289E0
4.145525500E0,5.751426566E-1,-2.197792947E-2,5.402037889E-2
4.346805208E0,-1.054655417E0,6.679274440E-2,-1.302891210E0
4.548084208E0,-9.278642464E-1,1.470563042E-1,-5.031856513E-1
4.749364208E0,2.303013593E-2,-2.709874552E-1,1.449907753E-1
4.950644208E0,-1.019880125E-1,4.631316394E-1,-4.084595883E-1
5.151923208E0,1.880401696E-1,-9.053068578E-2,-1.018127130E0
5.353203875E0,4.463830210E-1,5.361534226E-1,-2.971128148E-1
5.554483875E0,-6.958771348E-2,3.359669781E-1,-2.657559514E-2
5.755763875E0,4.989429116E-3,4.227741569E-1,2.793307011E-1
5.957043875E0,4.317602310E-1,5.532752395E-2,4.042688888E-1
6.158324875E0,4.302297954E-1,2.485651374E-1,-1.527830672E-1
6.359605208E0,-2.146211369E-1,-2.014582139E-1,-4.703454955E-1
6.560885208E0,6.055638193E-1,-4.406145966E-1,-6.213742518E-1
6.762166208E0,-3.922740568E-1,-7.137462258E-1,-2.945944190E-1
6.963446208E0,3.239940731E-1,1.117371336E0,-3.423614931E-1
7.164726208E0,-1.786602417E0,8.995929587E-1,5.497332886E-1
7.366007208E0,-1.391604873E0,-1.214098316E-1,-7.266481072E-1
7.567287208E0,-2.131117147E0,-5.494774729E-1,9.783134383E-1
7.768567208E0,-9.596795315E-1,1.329818223E0,1.977814847E-1
7.969848208E0,-3.021659786E-1,1.360583348E0,-1.331505144E0
8.171128208E0,2.825282510E0,-1.464136952E-1,-3.740726978E-2
8.372407625E0,6.776057553E-1,-8.635553992E-1,2.020027359E-1
8.573688625E0,1.560433285E0,-2.172491460E0,1.922353276E-1
8.774969625E0,2.401721464E0,-1.183492820E0,-5.554164167E-1
8.976249625E0,-4.267871010E-1,2.156687021E-1,-5.125844657E-1
9.177530625E0,-2.481507452E0,6.442058748E-1,-3.254101226E-1
9.378810583E0,-2.204772330E0,1.079540436E0,-1.185262188E0
9.580091583E0,6.833714023E-1,-1.184651738E0,4.118784553E-1
9.781372583E0,1.186789480E0,4.544163644E-2,1.265912248E0
9.982652583E0,1.445236120E0,7.023090720E-2,-4.044162387E-1
1.018393346E1,1.402430408E0,4.041139376E-1,8.248199344E-2
1.038521446E1,3.674928260E-1,-2.173497766E-1,-1.513943535E0
1.058649446E1,1.061872489E0,-2.084608394E-1,1.244347132E0
1.078777546E1,6.045857263E-1,2.100097668E-1,1.112152112E-1
1.098905646E1,1.369939185E0,3.604673964E-1,-1.336422068E-1
1.119033688E1,-3.739654014E-1,3.988666463E-1,-7.072777435E-1
1.139161788E1,-9.717676996E-1,-3.427737218E-1,-1.225745970E0
1.159289888E1,-6.908200242E-1,3.792416364E-1,-6.386855185E-1
1.179417988E1,-1.292659898E0,9.795781910E-2,8.832453132E-1
1.199546088E1,-6.875670719E-1,1.170727764E0,-6.011580154E-1
1.219674183E1,5.196514837E-1,-2.582001793E-1,-4.787058444E-1
1.239802283E1,1.566180952E0,-1.807193094E-1,-8.076908085E-1
1.259930383E1,6.045447958E-1,5.424438572E-1,-1.901199219E0
1.280058483E1,-7.207067513E-1,-1.339720482E0,1.010425908E0
1.300186583E1,-6.957993668E-1,-1.593786095E0,7.089994562E-1
1.320314825E1,-1.550716528E0,-1.720556654E0,1.175105574E0
1.340442925E1,8.664608806E-1,1.179455903E0,-4.183109041E-1
1.360571025E1,-2.708076534E-1,3.210086310E-1,3.365060914E-1
1.380699125E1,7.266972238E-1,-8.670251369E-3,-8.445139414E-1
1.400827225E1,5.354225206E-1,-7.134357387E-1,-7.236964327E-1
1.420955221E1,-2.976106321E-1,1.802317101E0,4.938667975E-2
1.441083321E1,7.957835385E-1,-1.877020544E-1,-5.267135315E-1
1.461211421E1,-1.948378063E0,-1.761447988E0,3.334077103E0
1.481339521E1,-2.044658755E-1,5.133434343E-1,-8.208547913E-2
1.501467721E1,7.033814514E-1,4.875437647E-1,-4.782338279E-1
1.521595833E1,1.137421585E-1,-2.559840846E-1,-5.344830193E-1
1.541724033E1,6.370897403E-1,-4.712844121E-1,-3.275617518E-2
1.561852133E1,-8.677114539E-1,8.336047912E-1,-6.036273676E-1
