"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.199358334E-1,-1.447000122E1,-3.629110718E1,1.911022949E1
3.212157083E-1,-1.507566833E1,-3.558848572E1,2.038864136E1
5.224947083E-1,-1.700793457E1,-3.493696594E1,1.951025391E1
7.237737083E-1,-1.753047180E1,-3.458877945E1,1.959768677E1
9.250537083E-1,-1.563241577E1,-3.668775940E1,1.751354980E1
1.126332708E0,-8.549240112E0,-4.062487411E1,1.095358276E1
1.327612083E0,-3.605392456E0,-4.220271301E1,3.807220459E0
1.528891083E0,-4.565277100E-1,-4.238865662E1,1.245727539E-1
1.730170083E0,2.610778809E-1,-4.225290298E1,-1.720367432E0
1.931449083E0,5.243988037E-1,-4.173913193E1,-3.397521973E0
2.132729083E0,1.230651855E0,-4.151894379E1,-5.370697021E0
2.334008958E0,-3.067779541E-1,-4.047051239E1,-8.856903076E0
2.535287958E0,-4.728240967E-1,-3.922642517E1,-1.184503174E1
2.736567958E0,-5.084533691E-1,-3.854565048E1,-1.391415405E1
2.937847958E0,-1.366058350E0,-3.870549011E1,-1.325436401E1
3.139127958E0,1.914825439E-1,-3.993034744E1,-1.025912476E1
3.340407500E0,5.198211670E0,-4.026658630E1,-6.395874023E0
3.541687500E0,1.002287292E1,-4.049603271E1,-3.809814453E-1
3.742966500E0,1.220726013E1,-3.994344330E1,3.087432861E0
3.944246500E0,1.365109253E1,-3.914226532E1,5.836730957E0
4.145525500E0,1.429388428E1,-3.879954147E1,7.881622314E0
4.346805208E0,1.634460449E1,-3.792876053E1,7.402130127E0
4.548084208E0,1.959603882E1,-3.635536957E1,5.571472168E0
4.749364208E0,1.948823547E1,-3.641849136E1,4.234588623E0
4.950644208E0,1.887886047E1,-3.674409485E1,6.917724609E-1
5.151923208E0,1.595571899E1,-3.795720291E1,-2.070251465E0
5.353203875E0,1.462135315E1,-3.798006821E1,-3.712280273E0
5.554483875E0,1.483819580E1,-3.824456024E1,-3.798431396E0
5.755763875E0,1.535546875E1,-3.789915085E1,-3.750793457E0
5.957043875E0,1.503015137E1,-3.839735794E1,-3.162841797E0
