"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.920097500E-1,2.672833172E-1,2.160271364E-1,-1.211658858E0
3.932947500E-1,6.235858881E-1,9.302978575E-2,-6.025660980E-1
5.945797500E-1,9.530537590E-1,-1.889697307E-1,1.269313574E-1
7.958647500E-1,-1.815688514E0,-1.878923228E0,-1.985198419E-1
9.971507500E-1,-1.011288153E0,3.573245180E-1,1.614135575E-1
1.198436500E0,6.325664073E-1,-1.707556540E-1,9.768791163E-1
1.399722500E0,6.723375602E-1,5.327164292E-2,4.088865081E-1
1.601007500E0,3.120145901E-1,5.479858482E-1,-5.397189816E-1
1.802292500E0,-7.439874405E-1,1.771916842E-1,3.309915823E-1
2.003578875E0,3.858453721E-1,-6.275699615E-2,-3.803339328E-1
2.204863875E0,4.941260850E-1,-1.026566416E-1,-4.278471647E-1
2.406149875E0,3.276536992E-1,3.799842328E-1,6.398666561E-1
2.607434875E0,-4.787802503E-1,-1.536923093E-1,3.264442027E-2
2.808719875E0,1.990463544E0,-9.981641507E-1,1.097984966E0
3.010005500E0,-3.565315624E-1,1.049478731E0,-4.661634938E-1
3.211290500E0,-1.720922105E0,6.099760405E0,7.463133898E-1
3.412576500E0,3.649336459E-1,-7.625236988E-1,-4.658139034E-1
3.613861500E0,2.959919035E-1,-1.446415211E0,-1.825730522E0
3.815147500E0,-3.492009813E-1,-7.137918341E-1,-8.253083231E-1
4.016431750E0,7.428583431E-1,-1.632347313E0,-1.137500668E0
4.217717750E0,4.719980648E-1,-3.746965957E-1,-2.404784528E0
4.419003750E0,-9.527567205E-1,3.041125166E-1,4.297175793E-1
4.620289750E0,1.624809667E-1,-2.744718111E-1,5.535757864E-1
4.821574750E0,-4.908705381E-1,-2.385202056E-1,2.855195403E-1
5.022862000E0,4.356241442E-1,3.841006726E-1,3.135943250E-1
5.224148000E0,5.093259586E-1,-2.452684772E-1,-2.502468697E-1
5.425434000E0,3.838185444E-2,8.549798727E-2,3.910225334E-1
5.626720000E0,-9.757599592E-2,3.757520181E-1,1.970687091E-2
5.828006000E0,-3.047921093E-1,9.445182860E-2,1.444260439E-2
6.029290917E0,2.741375696E-1,2.959954119E-1,-9.502430756E-2
6.230576917E0,7.554854053E-1,4.057505733E-1,-8.577397585E-2
6.431862917E0,-7.636592281E-1,-7.767002732E-1,1.381357189E-1
6.633148917E0,6.088638781E-1,2.714768672E-1,1.237498143E-1
6.834435917E0,5.827393591E-2,4.397281587E-2,3.299882001E-1
7.035722625E0,-2.908224533E-1,3.852075505E-1,-4.986432418E-2
7.237008625E0,-1.177662854E-1,1.501816410E-1,3.776247351E-1
7.438294625E0,-1.476369327E-1,-2.055921954E-1,-4.823952913E-4
7.639581625E0,1.533927125E-1,2.329331911E-1,2.836846109E-1
7.840867625E0,4.455829757E-1,3.758204305E-1,3.120542049E-2
8.042152542E0,1.265818693E0,-5.044626832E-2,6.980254018E-1
8.243439542E0,-5.642142105E-1,3.858215082E-1,-3.117220831E-1
8.444725542E0,-3.001020576E-1,-2.138964111E-1,-1.767542540E0
8.646011542E0,-3.937588111E-2,-2.890688002E-1,-6.799428874E-1
8.847298542E0,-6.194247901E-1,-7.321591079E-2,-2.930802825E-1
9.048585000E0,2.105652523E-1,4.551718247E-1,1.693587542E-2
9.249871000E0,4.399342731E-1,5.097017884E-2,3.600832343E-2
9.451157000E0,-1.472555335E0,7.702478707E-1,-1.438485217E-1
9.652443000E0,1.942566077E0,-7.679627788E-1,-5.852536619E-1
9.853730000E0,-4.056152102E-1,3.678167617E-1,1.549137926E-1
1.005501650E1,-6.995689206E-1,-2.175731403E-1,6.270040973E-1
1.025630250E1,3.058336446E-1,3.183680284E-1,-3.874109276E-1
1.045758850E1,-1.533615030E-1,2.674539828E-1,4.056105325E-1
1.065887550E1,-5.747922622E-2,4.617335701E-1,1.267383993E-1
1.086016150E1,1.112316564E-1,2.910206008E-1,-8.647643110E-1
1.106144717E1,8.373643316E-1,8.057872474E-2,-2.846225774E-1
1.126273417E1,4.102774145E-1,-4.272034228E-1,9.013833030E-1
1.146402017E1,-1.707481988E-1,-6.017732155E-1,7.162943693E-1
1.166530617E1,-4.970742146E-1,2.599748093E-1,6.446988682E-1
1.186659317E1,-2.996445861E-1,-2.868351638E-2,3.004615883E-1
1.206787979E1,7.056205695E-1,3.182411438E-1,-5.729253193E-1
1.226916679E1,-7.167505252E-1,8.479298848E-1,-3.287796537E-1
1.247045279E1,-1.337701146E-1,5.731294602E-1,-1.489402771E-2
1.267173979E1,1.036757236E0,2.941476917E-1,-6.654517329E-1
1.287302679E1,2.392847656E-1,3.751953632E-1,-8.432070887E-1
1.307431350E1,8.963197605E-1,1.536531329E-2,4.317752876E-1
1.327559950E1,1.496666767E0,-2.202018145E0,-4.074924588E-1
1.347688650E1,2.325481811E0,-7.991933423E-1,-1.719177442E0
1.367817350E1,-1.570394017E-2,1.229295230E-1,2.022420332E-2
1.387946050E1,-1.182699938E0,1.826232798E0,3.105796102E-1
1.408074679E1,-2.012295878E-1,3.680471420E-1,-1.552558547E-1
1.428203379E1,3.724758963E-1,-2.287097472E-1,3.276335629E-1
1.448332079E1,2.954928437E-1,-1.848316562E-1,-3.092820400E-1
1.468460779E1,-6.889116392E-2,-2.490071869E-1,1.105930491E-1
1.488589479E1,-2.343132801E-1,3.801970714E-1,-1.718379005E-1
1.508718125E1,-1.110435954E-1,1.724788284E-1,-1.082199092E0
1.528846825E1,6.600911517E-1,-9.001045901E-1,1.583765868E-1
1.548975525E1,9.739109235E-1,-3.058889008E-1,-6.584885761E-2
1.569104225E1,5.561789668E-1,-3.202227652E-2,-1.971318591E-1
1.589232825E1,-4.490679163E-1,4.965724504E-1,-6.255588117E-1
1.609361537E1,-8.726514740E-1,4.534375405E-1,-4.911430183E-1
1.629490237E1,1.356033191E0,-9.851289529E-1,2.089422114E-1
1.649619038E1,1.416826692E0,-1.150597554E-1,5.660045549E-1
1.669747737E1,9.285680319E-1,2.461677790E-3,2.576440909E-1
1.689876437E1,2.423884604E0,6.456331801E-1,1.476246536E-2
1.710005179E1,2.955902729E-1,-2.475291862E0,-2.556754978E-1
1.730133979E1,-4.467658675E-1,5.939835548E-2,2.694350195E-1
1.750262679E1,4.725585204E-1,2.562390232E-1,1.125051069E-1
1.770391479E1,5.444279636E-1,7.082381487E-1,-5.259149480E-1
1.790520279E1,-1.032169510E-1,2.100261390E-2,-9.546513280E-2
1.810649087E1,-2.417692110E-2,-5.896987152E-1,6.258216441E-1
1.830777887E1,5.113157661E-1,5.893736100E-1,-2.103747062E-1
1.850906688E1,4.133588241E-1,-1.948415047E-1,-2.824942640E-1
1.871035487E1,-4.040237443E-1,1.554850656E-1,1.092644338E-1
1.891164287E1,2.792600960E-2,-1.581975889E-1,2.089748096E-1
1.911293000E1,1.579119524E-1,2.401568413E-2,1.247760737E-1
1.931421800E1,1.235551751E-1,-3.087505281E-2,-1.227773492E-1
1.951550600E1,-1.421148954E-1,-1.701826268E-1,-2.111110899E-1
1.971679400E1,4.758323765E-1,4.438621402E-2,-2.402702773E-1
1.991808200E1,5.780261379E-1,7.838660359E-2,1.085386482E-1
2.011937104E1,-7.353955418E-2,9.238016009E-2,-1.039389360E-1
2.032065904E1,-3.151693091E-1,-4.826256716E-1,-3.655948198E-1
2.052194704E1,3.622172488E-1,-2.424477804E-1,4.854630330E-1
2.072323504E1,5.175154958E-1,1.494460613E-1,5.470574565E-1
2.092452304E1,-8.274014070E-1,5.039539754E-2,-5.837811868E-1
2.112581075E1,-7.935016626E-1,5.680277646E-2,-5.136498284E-1
2.132709875E1,9.821268462E-1,4.034192884E-1,-8.751637302E-2
2.152838675E1,8.048489155E-1,-5.228521764E-1,1.134605328E-1
2.172967475E1,2.016193047E-1,2.087432599E-1,2.547900832E-1
2.193096375E1,1.912375733E-2,2.002981263E-1,-9.453954414E-1
2.213225237E1,9.711245790E-2,-1.077862285E0,-2.363112006E-1
2.233354037E1,-4.255910531E-1,2.968701553E-1,-6.530176288E-1
2.253482838E1,-4.171112747E-1,-2.657664764E-1,-8.915498212E-2
2.273611637E1,7.081138954E-1,-4.071626759E-1,1.977060556E-1
