"Time (s)","X (hPa)"
-5.158473750E-1,1.015936890E3
5.152776250E-1,1.016170044E3
1.546366625E0,1.016403198E3
2.577433625E0,1.016486664E3
3.608562625E0,1.016537628E3
4.639699625E0,1.016537628E3
4.780018625E0,1.016613235E3
5.734777625E0,1.016613235E3
6.689446625E0,1.016699524E3
7.644280625E0,1.016699524E3
8.599046625E0,1.016791687E3
9.553781625E0,1.016728821E3
1.050858863E1,1.016728821E3
1.146329362E1,1.016728821E3
1.241810762E1,1.016834106E3
1.337291363E1,1.016856461E3
1.432766363E1,1.016856461E3
1.528246162E1,1.016787186E3
1.623728662E1,1.016763840E3
1.719216162E1,1.016545563E3
1.814712363E1,1.016465073E3
1.910211763E1,1.016465073E3
2.005710962E1,1.016609955E3
2.101208462E1,1.016630859E3
2.196701462E1,1.016688538E3
2.292201663E1,1.016744461E3
2.387702762E1,1.016829758E3
2.483197362E1,1.016829758E3
2.578702862E1,1.016625061E3
2.674210262E1,1.016611786E3
2.769703962E1,1.016576996E3
2.865194263E1,1.016418610E3
2.960683262E1,1.016418610E3
3.056174763E1,1.016557922E3
3.151665962E1,1.016557922E3
3.247146362E1,1.016549530E3
3.342631663E1,1.016549530E3
3.438117862E1,1.016436005E3
3.533616862E1,1.016322861E3
3.629121362E1,1.016287994E3
3.724612163E1,1.016287994E3
3.820118262E1,1.016287994E3
3.915624762E1,1.016374664E3
4.011119562E1,1.016374664E3
4.106619362E1,1.016601334E3
4.202122662E1,1.016679993E3
4.297621462E1,1.016679993E3
4.393125563E1,1.016562500E3
4.488621962E1,1.016412125E3
4.584114862E1,1.016179810E3
4.679614862E1,1.016179810E3
4.775111862E1,1.016163406E3
4.870598362E1,1.016277771E3
4.966097562E1,1.016432571E3
5.061595363E1,1.016432571E3
5.157097262E1,1.016297379E3
5.252599062E1,1.016163254E3
5.348097763E1,1.016163254E3
5.443598162E1,1.016188126E3
5.539101163E1,1.016286469E3
5.634598462E1,1.016700897E3
5.730103162E1,1.016700897E3
5.825624062E1,1.016503830E3
5.921148362E1,1.016460190E3
6.016662162E1,1.016212692E3
6.112175062E1,1.015749207E3
6.207679862E1,1.015749207E3
6.303180362E1,1.015908279E3
6.398675362E1,1.016062164E3
6.494165762E1,1.016106796E3
6.589652462E1,1.016111450E3
6.685142262E1,1.016168900E3
6.780643662E1,1.016168900E3
6.876151962E1,1.015939026E3
6.971658363E1,1.015939026E3
7.067170162E1,1.016010818E3
7.162688863E1,1.016013641E3
7.258202662E1,1.016165848E3
7.353714962E1,1.016165848E3
7.449231962E1,1.016030197E3
7.544739362E1,1.015952530E3
7.640254263E1,1.015823822E3
7.735764862E1,1.015823822E3
7.831282762E1,1.015978088E3
7.926807362E1,1.015978088E3
8.022338062E1,1.015924301E3
8.117866862E1,1.015901184E3
8.213393062E1,1.015810928E3
8.308917362E1,1.015810928E3
8.404442963E1,1.015896912E3
8.499971363E1,1.015896912E3
8.595496962E1,1.015913620E3
8.691030163E1,1.015922928E3
8.786567362E1,1.015922928E3
8.882105662E1,1.015903091E3
8.977637962E1,1.015903091E3
9.073170962E1,1.015860443E3
9.168693163E1,1.015860443E3
9.264218262E1,1.015789490E3
9.359750562E1,1.015789490E3
9.455283662E1,1.015738983E3
9.550817462E1,1.015738983E3
9.646353462E1,1.015695038E3
9.741891462E1,1.015692139E3
9.837431263E1,1.015692139E3
9.932960463E1,1.015696640E3
1.002849526E2,1.015727844E3
1.012401236E2,1.015727844E3
1.021953566E2,1.015773621E3
1.031505516E2,1.015773621E3
1.041057776E2,1.015773621E3
1.050610876E2,1.015635452E3
1.060163636E2,1.015635452E3
1.069715036E2,1.015605392E3
1.079266906E2,1.015556107E3
1.088818996E2,1.015556107E3
1.098371596E2,1.015599670E3
1.107924646E2,1.015605164E3
1.117477776E2,1.015599670E3
1.127030616E2,1.015636978E3
1.136583966E2,1.015717316E3
1.146137586E2,1.015748367E3
1.155690726E2,1.015717316E3
