"Time (s)","Distance (cm)"
2.052339583E-1,0.000000000E0
4.052339583E-1,0.000000000E0
6.052339583E-1,0.000000000E0
8.052339583E-1,0.000000000E0
1.005233958E0,0.000000000E0
1.205233958E0,0.000000000E0
1.405233958E0,0.000000000E0
1.605233958E0,0.000000000E0
1.805233958E0,0.000000000E0
2.005233958E0,0.000000000E0
2.205233958E0,0.000000000E0
2.405233958E0,0.000000000E0
2.605233958E0,0.000000000E0
2.805233958E0,0.000000000E0
3.005233958E0,0.000000000E0
3.205233958E0,0.000000000E0
3.405233958E0,0.000000000E0
3.605233958E0,0.000000000E0
3.805233958E0,0.000000000E0
4.005233958E0,0.000000000E0
4.205233958E0,0.000000000E0
4.405233958E0,0.000000000E0
4.605233958E0,0.000000000E0
4.805233958E0,0.000000000E0
5.005233958E0,0.000000000E0
5.205233958E0,0.000000000E0
5.405233958E0,0.000000000E0
5.605233958E0,0.000000000E0
5.805233958E0,0.000000000E0
6.005233958E0,5.000000000E0
6.205233958E0,5.000000000E0
6.405233958E0,5.000000000E0
6.605233958E0,5.000000000E0
6.805233958E0,5.000000000E0
7.005233958E0,5.000000000E0
7.205233958E0,5.000000000E0
7.405233958E0,5.000000000E0
7.605233958E0,5.000000000E0
7.805233958E0,5.000000000E0
8.005233958E0,5.000000000E0
8.205233958E0,5.000000000E0
8.405233958E0,5.000000000E0
8.605233958E0,0.000000000E0
8.805233958E0,0.000000000E0
9.005233958E0,0.000000000E0
9.205233958E0,0.000000000E0
9.405233958E0,0.000000000E0
9.605233958E0,0.000000000E0
9.805233958E0,0.000000000E0
1.000523396E1,0.000000000E0
1.020523396E1,0.000000000E0
1.040523396E1,0.000000000E0
1.060523396E1,0.000000000E0
1.080523396E1,0.000000000E0
1.100523396E1,0.000000000E0
1.120523396E1,0.000000000E0
1.140523396E1,0.000000000E0
1.160523396E1,0.000000000E0
1.180523396E1,5.000000000E0
1.200523396E1,5.000000000E0
1.220523396E1,5.000000000E0
1.240523396E1,5.000000000E0
1.260523396E1,5.000000000E0
