"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.538791658E-3,-2.553240509E0,9.270072784E0,1.439257050E0
2.866047917E-1,-1.809586945E0,1.109552673E1,2.463876343E-1
4.866374583E-1,-8.129594421E-1,9.206754456E0,1.890269165E0
6.879284583E-1,-2.859353943E0,9.796827393E0,1.000818787E0
8.892194583E-1,-1.811981964E0,1.005758514E1,1.647623749E0
1.090510458E0,-4.926255798E-1,8.961115265E0,-4.652325439E-1
1.391189792E0,-7.304809570E-2,9.747130737E0,-1.047222290E0
1.591222792E0,-1.718127136E0,8.620274048E0,1.664388885E0
1.789996792E0,-2.321672058E-1,1.040935364E1,1.528321838E-1
1.991287792E0,-4.019142151E-1,9.304052124E0,6.960525513E-1
2.192579792E0,-1.330732727E-1,9.146579590E0,1.742376709E0
2.523452292E0,-2.372566223E0,9.411079559E0,-1.195563812E0
2.723485292E0,-1.523531799E0,8.585097198E0,-8.955876160E-1
2.923519292E0,2.429298248E0,9.216035156E0,8.249345398E-1
3.123552292E0,3.219505005E0,9.317075043E0,4.372407532E-1
3.323586292E0,1.428329773E0,9.891580353E0,1.702858887E0
3.523619917E0,1.291364594E0,9.528734894E0,1.427132263E0
3.723652917E0,-1.550775146E-1,9.741592255E0,1.678010559E-1
3.923686917E0,7.300318909E-1,9.960137787E0,1.304986267E0
4.123720917E0,1.168320465E0,9.596094818E0,1.647474060E0
4.323753917E0,-4.790039063E-2,1.009366013E1,1.091380463E0
4.523787417E0,-3.430865479E0,1.406639877E1,1.448388062E0
4.723821417E0,9.857002258E-1,1.070019882E1,2.017654266E0
4.923854417E0,3.872896271E0,8.154293060E0,2.390379181E0
5.123888417E0,3.163371735E0,7.882757721E0,1.261875916E-1
5.323922417E0,2.951113129E0,7.157964935E0,1.937570801E0
5.523956292E0,3.304378510E0,9.450747070E0,3.088677063E0
5.725248292E0,2.936743011E0,9.659413147E0,7.321275330E-1
5.926539292E0,-1.797911224E0,1.014874557E1,-6.378236389E-1
6.127831292E0,1.707948303E-1,8.925489349E0,2.856060791E-1
6.438575167E0,-1.119671631E0,9.803563385E0,-4.481680298E-1
6.638609167E0,-1.196162567E0,1.017628830E1,-1.450334015E0
6.838642167E0,-2.636916504E0,1.034543655E1,-1.008602600E0
7.038676167E0,-3.070415039E0,9.331594849E0,-7.288343811E-1
7.238710167E0,-1.748364258E0,1.043180695E1,-4.486170959E-1
7.438742417E0,-1.551673279E0,9.261540527E0,8.158035278E-1
7.638776417E0,-2.065704346E-1,8.895850983E0,5.117857361E-1
7.838810417E0,9.578581238E-1,1.177945450E1,1.589694214E-1
8.038844417E0,-4.516108704E-1,1.180879349E1,1.832489319E0
8.238879417E0,2.147883453E0,8.916508026E0,5.237608337E-1
8.438913792E0,2.158361664E0,9.005572815E0,4.459226990E-1
8.638947792E0,1.003513184E0,8.856782227E0,-8.626560974E-1
8.838981792E0,-4.450245667E-1,9.487121429E0,3.164419556E-1
9.039016792E0,1.151255951E0,8.989705811E0,9.412426758E-1
9.239050792E0,-2.007026367E0,1.008872040E1,-1.632954254E0
9.434053958E0,-5.164260864E-1,9.641600189E0,-1.862127686E-1
9.635346958E0,-6.215075684E-1,8.521629181E0,-1.101858673E0
9.836639958E0,2.583627319E-1,9.976902924E0,-2.492167511E0
1.005680396E1,-9.336085510E-1,9.192833405E0,-1.766177216E0
1.025683896E1,-1.531016235E0,9.675878906E0,-1.737436981E0
1.045687404E1,-2.784210205E-1,9.785301361E0,-2.716401215E0
1.065690904E1,-1.347198486E-1,1.007090744E1,-2.159858551E0
1.085694404E1,-2.490820312E-1,1.065364563E1,-2.529140625E0
