"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.020582500E-1,4.392593384E0,-4.205887985E1,-9.553771973E0
4.033351250E-1,7.360778809E0,-4.226912689E1,-7.160797119E0
6.046131250E-1,7.664642334E0,-4.268291855E1,-5.864105225E0
8.058901250E-1,7.739959717E0,-4.284250641E1,-5.609436035E0
1.007168125E0,7.777465820E0,-4.326728439E1,-4.352722168E0
1.208445125E0,7.495574951E0,-4.395150757E1,-1.303070068E0
1.409722250E0,7.184112549E0,-4.419496155E1,3.916503906E0
1.610999250E0,7.996536255E0,-4.333252716E1,9.313262939E0
1.812276250E0,9.269454956E0,-4.212361145E1,1.308770752E1
2.013554250E0,1.028640747E1,-4.150881577E1,1.385238647E1
2.214831250E0,1.130401611E1,-4.183673859E1,1.181973267E1
2.416107875E0,1.357113647E1,-4.138181686E1,9.718017578E0
2.617384875E0,1.437078857E1,-4.158000946E1,3.284301758E0
2.818662875E0,1.427099609E1,-4.157751465E1,-4.641723633E-2
3.019939875E0,1.348501587E1,-4.159001160E1,-2.829284668E0
3.221217875E0,1.355212402E1,-4.178398514E1,-3.383514404E0
3.422494667E0,1.293440247E1,-4.210715485E1,2.890319824E-1
3.623772667E0,1.228341675E1,-4.293883133E1,2.103332520E0
3.825049667E0,1.117941284E1,-4.315810013E1,3.664398193E0
4.026326667E0,8.241790771E0,-4.358009720E1,5.626617432E0
4.227604667E0,4.602203369E0,-4.418311310E1,8.654632568E0
4.428882125E0,3.524612427E0,-4.349651718E1,1.196026611E1
4.630160125E0,4.465911865E0,-4.222661972E1,1.571038818E1
4.831437125E0,1.075134277E0,-4.117821121E1,1.928533936E1
5.032714125E0,-2.651763916E0,-4.080089188E1,2.045697021E1
5.233992125E0,-3.281112671E0,-4.108481216E1,2.045880127E1
5.435268542E0,-1.444091797E-1,-4.218751907E1,1.797204590E1
5.636546542E0,2.089431763E0,-4.337751007E1,1.428527832E1
5.837823542E0,2.599792480E0,-4.401970291E1,1.259683228E1
6.039101542E0,2.663299561E0,-4.414048386E1,1.193643188E1
6.240378542E0,9.038696289E-1,-4.448590088E1,1.175177002E1
6.441656167E0,2.082824707E0,-4.444081116E1,1.169400024E1
6.642933167E0,5.335632324E0,-4.488021088E1,1.054016113E1
6.844211167E0,9.571273804E0,-4.393005753E1,8.485198975E0
7.045488167E0,1.331503296E1,-4.293268967E1,6.943634033E0
7.246766167E0,1.396284485E1,-4.295449829E1,7.404174805E0
7.448043000E0,1.305310059E1,-4.336301422E1,7.256683350E0
7.649321000E0,1.131909180E1,-4.371117783E1,6.608520508E0
7.850598000E0,1.112699890E1,-4.323994446E1,1.010528564E1
8.051876000E0,1.031752014E1,-4.204798889E1,1.501699829E1
8.253154000E0,1.208500671E1,-4.146191788E1,1.500930786E1
8.454432625E0,1.407966614E1,-4.117876816E1,1.274850464E1
8.655710625E0,1.548307800E1,-4.088016129E1,1.241909790E1
8.856988625E0,1.626255798E1,-4.050602722E1,1.168310547E1
9.058267625E0,1.636007690E1,-4.075927353E1,1.103878784E1
9.259545625E0,1.637699890E1,-4.053821182E1,1.097171021E1
9.460824750E0,1.649383545E1,-4.002986145E1,1.301138306E1
9.662103750E0,1.637741089E1,-3.958414459E1,1.474645996E1
9.863381750E0,1.730033875E1,-3.919382858E1,1.348367310E1
1.006466075E1,1.762234497E1,-4.042113876E1,8.816680908E0
1.026593975E1,1.668702698E1,-4.135662842E1,-1.654968262E-1
