"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.356640000E-1,2.705138326E-1,-1.898513138E-1,3.722999394E-1
3.369423750E-1,2.236554921E-1,5.684674531E-2,2.338728756E-1
5.382203750E-1,1.207843348E-1,2.492825538E-1,-3.889968246E-2
7.394993750E-1,2.899598889E-2,3.485077620E-1,-9.868063778E-2
9.407783750E-1,-8.589994907E-2,-1.354189664E-1,2.723852172E-2
1.142057375E0,-3.227278292E-1,-2.192835361E-1,3.764808774E-1
1.343336125E0,-3.669653237E-1,-7.348002195E-1,1.003670841E-1
1.544615125E0,-2.306603938E-1,-1.191088915E0,1.755513847E-1
1.745894125E0,-4.532916248E-1,-1.072720051E0,-2.102017552E-1
1.947172125E0,-1.440559179E-1,-8.100885153E-1,-4.528093040E-1
2.148451125E0,-4.890855402E-3,-8.206333518E-1,-5.101297498E-1
2.349730667E0,2.772542834E-1,-2.753225267E-1,-3.718569279E-1
2.551009667E0,-1.965919435E-1,4.789023101E-1,-2.949577868E-1
2.752288667E0,-5.442215800E-1,6.012880802E-1,-2.324566543E-1
2.953567667E0,-6.101819277E-1,1.418422759E-1,-1.045482978E-1
3.154846667E0,-5.548650622E-1,3.735038638E-1,1.585211754E-1
3.356125000E0,-2.479582727E-1,3.645709455E-1,-6.691634655E-2
3.557404000E0,-2.552462816E-1,2.399627268E-1,-1.924933866E-2
3.758683000E0,-9.125550091E-2,-1.366205215E-1,-1.090098470E-1
3.959962000E0,1.442383379E-1,-1.947777569E-1,-4.928860441E-2
4.161241000E0,-3.424403816E-2,1.647625566E-1,-1.439367086E-1
4.362518875E0,1.976233125E-1,-4.206753075E-1,4.517676309E-2
4.563797875E0,-1.336321607E-2,-1.571434736E0,-3.426269293E-1
4.765076875E0,-2.867664397E-2,-1.463251114E-1,-2.750234604E-1
4.966355875E0,2.113549560E-1,4.991820455E-1,3.950454295E-1
5.167635875E0,5.770387650E-1,4.294589758E-1,1.982259750E-1
5.368915125E0,2.781141102E-1,3.688657582E-1,3.623658419E-2
5.570194125E0,2.652967274E-1,2.013391852E-1,6.675733626E-2
5.771473125E0,9.106945992E-2,3.468621373E-1,1.834784597E-1
5.972752125E0,-1.749991626E-1,6.913055778E-1,6.195411831E-2
6.174032125E0,1.137884706E-1,5.929527879E-1,-1.691501439E-1
6.375311292E0,3.666279018E-1,-2.418226153E-1,4.089704156E-2
6.576590292E0,-6.644645333E-2,5.352398753E-1,3.893870413E-1
6.777870292E0,-1.604974866E-1,-4.479678273E-1,6.016607583E-2
6.979150292E0,-2.378677130E-1,1.191147976E-2,-3.957629204E-2
7.180430292E0,-2.224392444E-1,-1.192589626E-1,-2.340577990E-1
7.381710375E0,-5.042232871E-1,-2.776458859E-1,-3.636489809E-1
7.582990375E0,-5.144994259E-1,-5.799210072E-1,-4.466771781E-1
7.784269375E0,-3.711514473E-1,-4.104481041E-1,-1.867738962E-1
7.985549375E0,-9.379053116E-2,-4.577228427E-1,-7.330248505E-2
8.186829375E0,8.988378197E-2,-2.376623154E-1,-1.670551151E-1
8.388109000E0,-6.468981504E-2,-2.960151732E-1,-1.338682920E-1
8.589389000E0,-5.561447516E-2,-7.824150473E-2,-5.096475407E-2
8.790669000E0,-1.077002138E-1,-2.513760030E-1,-2.031714171E-1
8.991950000E0,1.188666075E-1,-3.970183134E-1,-1.239344478E-1
9.193230000E0,4.230076075E-1,-7.739754319E-1,7.773727179E-2
9.394510792E0,9.993183017E-1,-7.052623630E-1,4.522722661E-1
9.595790792E0,7.757238150E-1,-5.918886140E-2,-7.280042022E-2
9.797070792E0,1.008697152E0,4.863726199E-1,-2.735807002E-1
9.998350792E0,9.841238260E-1,1.412435900E-2,-1.258827150E-1
1.019963079E1,6.095607206E-2,-3.713910878E-1,5.377698690E-2
1.040091025E1,-1.426832378E-1,-9.814200401E-1,5.391097069E-1
1.060219025E1,-6.611264944E-1,-4.463067651E-1,6.374475360E-1
1.080347025E1,-5.327591896E-1,4.286220297E-2,5.672346354E-1
1.100474925E1,-2.200301290E-1,6.856204271E-1,1.975219101E-1
1.120602925E1,5.873270333E-2,3.220998347E-1,-2.002346963E-1
1.140730962E1,6.816357374E-2,-3.158669472E-1,-2.244804054E-1
1.160858962E1,-1.852692217E-1,3.035954535E-1,-3.674124926E-2
1.180986962E1,-3.757946193E-1,9.993599355E-2,1.135128364E-1
1.201114963E1,-5.215411782E-1,7.844874263E-1,1.351793706E-1
1.221243062E1,1.702342331E-1,-3.851423860E-1,-2.391677797E-1
1.241371113E1,4.133408070E-1,2.147463709E-1,-1.317962706E-1
1.261499212E1,-5.287600756E-1,-4.515649676E-1,-1.772712171E-1
1.281627313E1,-8.008493185E-1,-1.471217990E0,1.180146448E-2
1.301755412E1,-3.462237418E-1,-1.053944379E-1,-2.717539072E-1
1.321883413E1,-1.476377398E-1,-1.553792208E-1,-3.554459214E-1
1.342011512E1,-1.925038695E-1,-3.325349391E-1,-5.072618127E-1
1.362139613E1,-1.586696953E-1,-2.621237338E-1,-1.403857172E-1
1.382267712E1,2.743145823E-1,3.176836073E-1,-9.905259311E-2
1.402395712E1,1.890140027E-1,2.639962435E-1,-1.870357245E-2
1.422523812E1,5.832365751E-1,5.945122838E-1,1.244455054E-1
1.442651867E1,8.728492260E-1,8.739461303E-1,-3.507511616E-1
1.462779867E1,-1.902532578E-1,1.862559468E-1,-3.105926514E-1
1.482907967E1,-3.403551280E-1,5.239117146E-1,-7.183858007E-2
1.503035967E1,-4.363355637E-1,6.366487741E-1,6.906008720E-1
1.523164087E1,1.136165019E-2,-1.869479567E-1,7.911813855E-1
1.543292087E1,2.307744473E-1,-1.625448614E-1,2.777208984E-1
1.563420187E1,8.156766742E-2,-5.223386362E-2,4.512209445E-2
1.583548187E1,-5.405331850E-1,3.001799434E-2,1.748130322E-1
1.603676188E1,-5.616950393E-1,4.520322978E-1,-4.262147471E-3
1.623804192E1,-3.313866258E-1,1.403776526E0,3.920506537E-1
1.643932192E1,1.809781641E-1,9.322561026E-1,4.589479268E-1
1.664060292E1,5.255206823E-1,3.869715035E-1,4.390427470E-1
1.684188292E1,1.916418970E-1,-3.978124857E-1,3.321952224E-1
1.704316392E1,4.774416089E-1,-3.020911515E-1,2.861416936E-1
1.724444417E1,2.560549974E-1,-2.171328217E-1,-1.172974855E-1
1.744572517E1,5.781944990E-1,-2.340778410E-1,-5.260699391E-1
1.764700617E1,3.536904752E-1,-2.635595798E-1,-5.409341455E-1
1.784828717E1,3.878420293E-1,8.285512775E-2,-6.397917271E-1
1.804956717E1,4.408697486E-1,-5.635236204E-2,-1.388094276E-1
1.825085000E1,8.503686637E-2,4.072452486E-1,-1.520288885E-1
1.845213100E1,1.883306801E-1,-1.095696464E-1,-1.173956916E-1
1.865341200E1,-2.455663234E-1,8.421918154E-1,-2.176007628E-1
1.885469300E1,-9.070588276E-3,9.241348505E-2,-3.116863072E-1
1.905597400E1,-2.763138525E-2,2.614555061E-1,-1.777126491E-1
1.925725537E1,-2.224326134E-1,-2.762961090E-1,3.734343052E-1
1.945853637E1,-4.646729827E-1,-1.513311416E-1,4.081401527E-1
1.965981737E1,-6.594873667E-1,1.592169851E-1,1.538736075E-1
1.986109837E1,-6.789100766E-1,1.395578682E-1,-1.672265530E-1
2.006238037E1,-2.631042302E-1,1.293573380E-1,-4.922849312E-2
2.026366237E1,-8.002794534E-2,-1.961178929E-1,-9.434209019E-2
2.046494338E1,-3.559173271E-2,8.928683400E-2,-4.641152918E-4
2.066622537E1,5.791965127E-2,7.433792949E-1,1.703920662E-1
2.086750637E1,2.060096413E-1,3.674743176E-1,7.627389580E-2
2.106878837E1,-5.080293864E-2,5.130692124E-1,4.817669094E-2
2.127006942E1,1.868237704E-1,3.525843620E-1,2.689131796E-1
2.147135142E1,-1.019808576E-1,1.888582110E-1,7.142401338E-1
2.167263242E1,-1.345561594E-1,7.212649584E-1,2.183366865E-1
2.187391442E1,5.923582241E-2,2.837668359E-1,-1.926526986E-2
2.207519542E1,6.002908573E-2,-1.984335780E-1,-2.140185088E-1
2.227647825E1,1.806780547E-1,-3.228779435E-1,-4.063010812E-1
2.247775925E1,3.673885018E-2,2.002332360E-2,-3.566543460E-1
2.267904125E1,1.300725192E-1,8.731752634E-2,-1.520297080E-1
2.288032325E1,5.326592922E-1,-2.244572639E-1,-2.541567087E-1
2.308160525E1,4.111748040E-1,-7.135152817E-1,3.976550419E-3
2.328288638E1,7.519483566E-2,-4.204706252E-1,-2.146280408E-1
2.348416837E1,-8.875804394E-2,-1.167413116E0,4.054179043E-2
2.368545037E1,-4.872908294E-1,-1.748225927E0,-2.279375680E-2
2.388673237E1,-1.244085059E-1,-1.814097404E0,-4.350140691E-1
2.408801537E1,9.138722718E-2,-1.117559433E0,1.300080121E-1
2.428929729E1,2.258804590E-1,-5.207802057E-1,1.863154918E-1
2.449057929E1,2.159595788E-1,-4.745989442E-1,4.268647432E-1
2.469186129E1,1.716831475E-1,8.005692363E-1,4.049621820E-1
2.489314429E1,4.652300775E-1,9.983400255E-2,-2.105012387E-1
2.509442629E1,9.310624003E-2,-8.186079860E-1,-4.837189317E-1
2.529571012E1,-7.650068402E-2,-4.102970064E-1,-3.252315521E-1
2.549699312E1,-1.618793234E-2,-2.003376335E-1,-3.201888800E-1
2.569827513E1,1.068779901E-1,1.747538149E-1,-1.977838129E-1
2.589955812E1,-2.525250018E-1,6.028596759E-1,3.700914979E-2
2.610084112E1,-2.652360201E-1,7.318117619E-1,-1.131213680E-1
2.630212237E1,-6.573556662E-1,-3.300390840E-1,6.360787898E-2
2.650340537E1,-3.058739305E-1,-4.599429965E-1,1.134307310E-1
2.670468737E1,1.517302692E-1,-4.220497310E-1,-4.199028760E-2
2.690597037E1,9.097440541E-2,-1.993219107E-1,5.782333761E-2
2.710725237E1,1.952068806E-1,-8.305935562E-2,2.947519533E-3
2.730853525E1,1.994817406E-1,3.562580422E-2,2.194381133E-2
2.750981825E1,1.006291956E-1,-2.494886331E-2,-7.011794299E-2
2.771110025E1,1.488663256E-1,4.279990196E-1,-9.628757834E-2
2.791238225E1,-1.045491621E-1,5.171326399E-1,1.593643241E-2
2.811366425E1,2.524325848E-1,5.068321824E-1,1.096289158E-1
2.831494600E1,-4.603262246E-1,-5.901212096E-1,6.481342018E-2
2.851622800E1,1.549983211E-2,-9.022799134E-2,-3.307007253E-2
2.871751100E1,-5.014133453E-1,3.388032615E-1,1.193193942E-1
2.891879400E1,-4.765348136E-1,5.052868128E-1,-1.632452011E-1
2.912007600E1,-1.570336148E-2,3.012599945E-1,-1.113238484E-1
2.932135992E1,7.218509912E-2,-1.704345644E-1,1.147304922E-1
2.952264192E1,5.805206895E-1,-1.263644546E-1,-1.209871769E-1
