"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.226407083E-1,-8.075326413E-1,-9.871871728E-1,4.557506990E-1
3.239287083E-1,-3.673981011E-2,3.303530663E-1,-6.586777335E-1
5.252177083E-1,-1.419681156E0,4.688239038E-1,8.125607351E-1
7.265071667E-1,-1.444345881E0,5.040446073E-1,1.487969472E-1
9.277961667E-1,-6.058650970E-2,9.874228156E-1,-1.187770570E0
1.129084167E0,-3.481794727E-1,3.078032792E-1,-4.710889690E-1
1.330372167E0,6.440485847E-1,3.479502618E-2,-1.076017050E-1
1.531661167E0,1.334363556E0,-1.501435171E0,-9.407824999E-1
1.732949208E0,-1.175017866E0,7.259639829E-1,1.339766091E0
1.934237208E0,-9.844214398E-1,-3.483127892E-2,8.980375993E-1
2.135526208E0,-6.509143853E-1,2.641485518E-1,9.850365669E-3
2.336814208E0,9.220217085E-1,5.843561143E-1,8.006428671E-1
2.538102208E0,2.480918053E-1,-1.813204032E-1,-1.081873475E0
2.739389792E0,8.412886173E-1,-4.113434350E-1,-4.889546978E-1
2.940677792E0,7.605920711E-1,-4.001436782E-1,-1.043854586E0
3.141965792E0,1.306575248E0,-8.244047821E-1,-1.846301027E0
3.343253792E0,-7.619331300E-1,1.573640099E0,6.781811213E-1
3.544540917E0,-6.825264797E-1,1.479095299E0,4.762296948E-1
3.745829917E0,-2.653115630E-1,3.359149379E-1,3.472912806E-1
3.947117917E0,-7.466733590E-1,1.879704416E-1,6.303473890E-2
4.148405917E0,9.547187537E-2,1.889089197E-1,-4.213936293E-1
4.349693917E0,9.122501341E-1,-2.290284204E-1,-5.964434785E-1
4.550984042E0,1.244638909E0,-2.490194660E-1,-2.638471279E-1
4.752272042E0,1.605508009E-1,-2.767124641E-1,-4.247312200E-1
4.953561042E0,2.301803219E-1,-1.150544930E-1,-3.299566251E-1
5.154849042E0,-4.485276335E-1,6.898930943E-1,1.355989775E-1
5.356137042E0,1.421124834E-1,-3.968680680E-2,8.882563770E-1
5.557426042E0,-6.047595347E-1,5.239456058E-1,2.183022881E-1
5.758715042E0,-1.386013035E-1,-2.656115252E-1,-2.907250240E-1
5.960003042E0,5.208264817E-1,-2.871134913E-1,-2.891854522E-1
6.161292042E0,-1.734482968E-1,5.677962148E-1,9.274327219E-2
6.362581042E0,1.527763722E0,-6.780250007E-1,2.901720236E-1
6.563869667E0,9.791843811E-1,-7.137012023E-1,-6.995301828E-2
6.765158667E0,2.238542193E-1,1.046289659E0,1.501252154E-1
6.966447667E0,1.628315073E-1,7.548123908E-1,2.176795596E-1
7.167737667E0,-9.648712742E-1,7.163599312E-2,-1.673402953E-1
7.369026667E0,-5.834810784E-1,1.012603265E-1,-1.261229798E-1
7.570317167E0,5.012858909E-1,2.345207101E-1,5.858582640E-1
7.771606167E0,-8.035661826E-1,1.323026097E-1,2.559007618E-1
7.972896167E0,-4.943876383E-1,4.034818536E-1,3.295531672E-1
8.174186167E0,3.943426555E-1,-9.577096045E-2,-5.049515104E-1
8.375476167E0,-3.464913815E-2,-1.205011743E-1,-9.880084142E-1
8.576765917E0,-2.919894844E-1,-3.236047947E-1,2.007740897E-1
8.778055917E0,-7.380305895E-1,9.637000769E-1,-2.053450043E-1
8.979345917E0,-2.919658032E-1,-1.883797467E-1,4.025006908E-1
9.180636917E0,1.665509212E-1,-1.330713431E0,8.893310952E-1
9.381926917E0,-4.524955541E-1,-6.403227389E-2,1.920424426E-1
9.583217333E0,-7.152024749E-1,5.660245085E-1,-6.470283258E-1
9.784508333E0,-2.378267258E-2,-3.978749585E-1,-3.076413113E-1
9.985798333E0,-5.744664261E-1,-6.238248199E-1,-1.880868743E-1
1.018708833E1,1.768092763E-1,7.075142634E-1,-9.871509200E-1
1.038837933E1,-8.955016619E-1,-9.155611199E-1,1.266443760E0
1.058966892E1,5.724038208E-1,8.880224884E-1,-1.068227097E-1
1.079095892E1,-2.038288506E0,1.305203784E-1,6.616370094E-1
1.099224992E1,2.390737323E0,1.756370265E0,-1.363285200E0
1.119353992E1,3.355534337E-2,1.060102537E0,-6.299627884E-1
1.139483092E1,-7.570284855E-1,-6.647506517E-1,1.750893909E0
1.159612129E1,-2.255066425E-1,1.131114632E-1,-2.615436172E-1
1.179741229E1,7.911151215E-1,-4.315631068E-1,-4.772688912E-1
1.199870329E1,8.775872549E-1,-9.127106023E-1,-8.336492300E-2
1.219999429E1,-8.086494595E-1,1.232059793E0,8.164975923E-1
1.240128429E1,1.673055044E-1,2.122901809E-1,-5.168134645E-2
1.260257471E1,-7.521773431E-1,-5.727084607E-1,-2.375785115E-1
1.280386571E1,1.679454821E-1,1.899514782E-1,-8.675642502E-1
1.300515571E1,-1.449846357E-1,-2.826836407E-1,7.436196506E-3
1.320644671E1,-4.862860286E-1,5.124090493E-2,-4.069349268E-1
1.340773771E1,-2.092788649E-1,3.147965491E-1,1.102470584E0
1.360902754E1,1.191715175E-1,5.658099157E-1,-3.585394232E-1
1.381031854E1,1.110906655E-1,2.670557874E-1,-8.731904411E-1
1.401160854E1,1.077800304E0,2.119557202E-2,-7.648415351E-1
1.421289954E1,5.329701984E-1,1.779734570E-1,-6.572210459E-1
1.441419054E1,1.334882788E-1,-3.668519711E-1,-8.748136282E-2
1.461548092E1,3.915070483E-1,-8.281949472E-1,1.100428444E0
1.481677192E1,7.357461555E-1,-4.155902678E-1,1.389525165E0
1.501806292E1,9.370926145E-1,6.495823896E-1,1.127550096E0
1.521935392E1,-1.221230458E-1,-9.271590722E-1,-1.263976235E0
1.542064492E1,-8.658320126E-1,1.148048168E-1,-8.184548016E-1
1.562193604E1,-1.359874958E0,-6.440632027E-1,-3.697861040E-1
1.582322704E1,-1.792803097E-1,-7.913031095E-1,2.250523138E-1
1.602451804E1,-6.233242983E-1,3.162922668E-1,5.312020004E-1
1.622580804E1,-4.532381505E-2,-4.782443529E-1,-3.558331856E-1
1.642709904E1,1.073280407E0,-2.759926718E-1,3.846386164E-2
1.662839029E1,2.341497043E-1,6.124291813E-1,2.415660203E-2
1.682968129E1,-1.814700919E-1,1.460084832E0,-5.166941813E-1
1.703097229E1,-2.602627847E-1,-9.889313972E-1,-3.152213493E-1
1.723226329E1,-2.544907057E-1,-2.708319193E-1,-6.833067906E-1
1.743355429E1,-3.448357424E-1,3.984006232E-1,-2.981787622E-1
1.763484596E1,2.338853370E-1,-6.005675197E-1,-8.280435044E-1
1.783613696E1,-7.761672994E-1,-6.531187856E-1,4.870017278E-1
1.803742796E1,-1.938742144E0,5.704450035E-1,8.000091751E-1
1.823871896E1,-1.064607816E0,-1.142680424E-1,1.240034226E0
1.844000996E1,5.472866674E-1,5.840491354E-2,-4.334165280E-1
1.864130004E1,7.770999303E-1,-3.863454187E-1,-6.585284834E-1
1.884259204E1,-2.887839531E0,-8.837616223E-1,1.145592484E0
1.904388304E1,-4.596876293E-2,3.141328901E-1,7.043405409E-1
1.924517504E1,1.354602523E-1,1.174031441E0,2.861182586E-1
1.944646604E1,4.457683325E-1,-1.869723219E-1,-2.763668936E-1
1.964775829E1,8.973297939E-2,1.258911377E-1,5.281497538E-3
1.984904929E1,-2.276730359E-1,-5.209769744E-1,-8.136330414E-1
2.005034129E1,4.657608399E-1,-4.981272250E-1,-5.568905729E-1
2.025163229E1,5.524449348E-2,-5.180902040E-1,-6.831629491E-1
2.045292429E1,-3.105263275E-1,9.908340812E-2,-5.706701213E-1
2.065421546E1,1.616699579E-1,2.265854537E-2,-1.795089358E-1
2.085550746E1,-8.758509243E-1,4.200341517E-1,-1.837660012E-1
2.105679846E1,-3.326489756E-1,3.197432935E-2,-7.881520450E-2
2.125809046E1,-5.008016684E-1,5.994471931E-1,7.573024276E-1
2.145938146E1,7.080543999E-1,-4.778309548E-1,5.955623031E-2
2.166067408E1,-4.387560591E-1,8.225979924E-2,-5.587254292E-1
2.186196508E1,-8.840115908E-1,5.001924616E-1,8.374715549E-1
2.206325708E1,1.305278336E-1,-6.626386374E-1,-3.311593974E-1
2.226454908E1,5.939939336E-1,-8.041892034E-1,-5.948664844E-1
2.246584108E1,1.419825290E0,5.686341208E-1,4.210278860E-1
2.266713267E1,-4.744372308E-1,1.220869392E-1,-1.052621609E-1
2.286842467E1,7.654224560E-2,1.275412220E-1,5.319337794E-1
2.306971667E1,1.485106822E0,4.313508528E-1,4.003418988E-1
2.327100867E1,-1.490799963E0,-2.337939012E-1,-4.225279891E-1
2.347230067E1,-4.295528340E-1,5.201969558E-1,-1.883201051E-1
2.367359433E1,-1.317097605E0,3.364838719E-2,2.640684450E-1
2.387488633E1,1.282421277E0,3.087429267E-1,5.484197116E-1
2.407617833E1,4.376401180E-1,-5.253413361E-1,2.580957334E-2
2.427747033E1,5.647486460E-1,-3.189270222E-1,4.347417263E-1
2.447876333E1,-4.539883482E-1,4.561097181E-1,-1.363257864E-1
2.468005433E1,-1.609068963E-1,8.824442446E-2,5.629222682E-1
2.488134633E1,2.837946117E-2,7.043737239E-1,-3.040236390E-1
2.508263933E1,-8.806593820E-2,-1.284338579E0,7.735801989E-1
2.528393133E1,1.204792180E0,-4.255954385E-2,-2.646286082E-1
2.548522333E1,3.634360278E-1,7.798794043E-1,-1.213281460E0
2.568651679E1,-1.205940500E0,-9.952311873E-1,1.880860118E0
2.588780879E1,-5.797429535E-1,4.984260178E-1,-4.430423605E-1
2.608910079E1,-8.996818364E-3,-3.245514590E-1,1.387371781E0
2.629039379E1,-1.574464410E0,3.338093555E-1,-6.501060078E-1
2.649168579E1,-6.805439812E-1,3.713432175E-1,3.852604678E-1
2.669297883E1,-1.335808110E-1,5.572782433E-1,-2.080117732E0
2.689427083E1,6.381861663E-1,-6.979938269E-2,8.321418178E-1
2.709556383E1,-1.599956077E-1,-2.314327955E-3,5.634809697E-1
2.729685583E1,6.795563865E-1,1.963401461E-1,-1.011948377E-1
2.749814883E1,-1.484081805E-2,3.187083364E-2,4.790541923E-1
2.769944229E1,7.476317176E-1,-1.192709202E-1,-5.090878308E-1
2.790073429E1,-3.622209764E-1,-1.060737544E-1,-9.597368342E-1
2.810202729E1,3.152622798E-1,5.825347066E-1,-8.842878717E-1
2.830332029E1,1.269149852E-1,2.891296113E-1,-3.054158610E-1
2.850461329E1,1.183783427E-1,-3.331018424E-1,-3.655530122E-1
2.870590592E1,7.889501899E-3,-1.016091129E0,7.250138835E-1
2.890719892E1,-1.175955467E-1,-1.635723495E-1,1.122491158E0
2.910849192E1,-5.591869938E-1,-3.589553064E-1,-1.717268765E-1
2.930978592E1,2.926961204E-1,1.066287137E0,4.627597564E-1
2.951107892E1,1.406916100E-1,6.345456898E-2,-9.448925078E-2
2.971237283E1,5.286921196E-1,5.936590344E-1,3.908965990E-2
2.991366683E1,3.748190948E-1,3.965581656E-2,2.506683809E-1
3.011496083E1,5.996882446E-1,-1.697095871E-1,2.585925275E-1
3.031625483E1,-1.396301942E-1,-2.518734920E-1,-3.770308042E-1
3.051754883E1,8.337429682E-2,-2.224421167E-1,-6.393067852E-1
3.071884283E1,-4.153002459E-1,6.522376102E-1,-5.522019830E-1
3.092013683E1,2.547994387E-1,-3.097913325E-2,8.579654610E-1
3.112143083E1,5.602369344E-1,3.232124466E-1,-1.905724525E-1
