"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.339554166E-2,-3.823062405E-2,-8.333106339E-2,9.001401067E-2
2.846978333E-1,2.669867873E-1,7.187099755E-2,-1.367999911E-1
4.860008333E-1,4.471825361E-1,-3.070339561E-1,-2.384898663E-1
6.873038333E-1,6.032158136E-1,-1.729167998E-1,-1.688953340E-1
8.886068333E-1,3.379821777E-1,-7.958651334E-2,-7.932265848E-2
1.089909833E0,-7.591542602E-2,-4.107859731E-1,-6.892405450E-2
1.291213417E0,8.730538934E-2,-2.152736634E-1,1.005095392E-1
1.492516417E0,2.797980309E-1,-4.730246961E-1,-8.073333651E-2
1.693818417E0,1.450507641E-1,-5.348828435E-2,7.009783387E-2
1.895121417E0,1.796929538E-1,-1.497051399E-2,-7.415842265E-2
2.096424417E0,9.859317541E-2,4.048953354E-1,-6.201085076E-2
2.297726917E0,-4.990282655E-2,3.460618258E-1,-1.271194667E-1
2.499029917E0,-4.532395303E-2,2.188846655E-2,-1.663631201E-1
2.700332917E0,-4.348038435E-1,3.935164958E-2,-1.405703872E-1
2.901634917E0,-1.059873775E-1,-4.345628619E-1,-3.283595145E-1
3.102937917E0,-1.187458634E-2,-1.251722593E-2,-3.813147843E-1
3.304241667E0,5.427090824E-2,-3.894115612E-2,-3.042483628E-1
3.505544667E0,7.953769527E-3,-1.953832358E-1,5.699676648E-2
3.706847667E0,2.146468461E-1,-2.024955750E-1,-6.780591607E-2
3.908149667E0,-1.893935800E-1,-7.891238928E-1,-1.077706590E-1
4.109452667E0,-5.396736264E-1,-6.299294233E-1,-1.235138252E-1
4.310755333E0,-3.549533188E-1,-5.686524510E-1,-1.596890390E-1
4.512057333E0,-5.077221990E-1,-8.808679879E-2,-1.843463033E-1
4.713360333E0,-3.129009902E-1,-2.892152965E-2,-4.530477524E-2
4.914662333E0,3.220576048E-1,2.500528395E-1,2.600827217E-1
5.115965333E0,-1.219857763E-2,2.270888388E-1,-5.771698803E-2
5.317267333E0,2.622863054E-1,1.728123054E-2,-3.488997370E-2
5.518570333E0,-2.073857039E-1,2.005174905E-1,1.296550333E-1
5.719872333E0,-5.724219084E-1,2.627400756E-1,2.744651139E-1
5.921175333E0,1.642101258E-1,2.818928659E-1,7.415176034E-1
6.122477333E0,4.944888651E-1,1.328425556E-1,4.272890389E-1
6.323779667E0,3.257811368E-1,-2.522309497E-2,3.501782417E-1
6.525082667E0,5.753774643E-1,-2.036400288E-1,4.284170568E-1
6.726384667E0,3.817217946E-1,3.183476925E-1,1.586566865E-1
6.927687667E0,3.826822042E-1,2.049709857E-1,2.127198968E-3
7.128990667E0,7.000981271E-2,5.589826107E-1,2.060301006E-1
7.330292542E0,1.040417030E-1,4.386093915E-1,-1.603988856E-1
7.531595542E0,-1.899733692E-1,8.774855137E-1,-1.945185512E-1
7.732898542E0,-7.912791967E-1,2.158513516E-1,-7.037001848E-1
7.934200542E0,-6.828882694E-1,1.840188801E-1,-3.754821420E-1
8.135503542E0,-3.951717317E-1,-2.666511834E-1,2.577328868E-2
8.336806333E0,-1.219851971E-1,-3.341066539E-1,1.211351380E-1
8.538108333E0,9.956307709E-2,-2.221240699E-1,1.920573562E-1
8.739411333E0,9.738853574E-2,-2.751238644E-1,1.828582734E-1
8.940714333E0,-2.614441514E-2,-2.859067172E-2,9.770544618E-2
9.142017333E0,-1.659371108E-1,-2.437821478E-1,4.063396901E-2
9.343318708E0,-2.023991197E-1,1.414306611E-1,-4.797482118E-2
9.544621708E0,-1.845871359E-1,-2.493709028E-1,3.529546037E-2
9.745924708E0,-1.179959849E-1,-3.495439589E-1,1.186114922E-2
9.947227708E0,-8.850996196E-2,-1.825092286E-1,-1.148748770E-1
1.014853071E1,-1.051986963E-1,4.963572137E-4,-1.201733649E-1
1.034983442E1,-7.639877498E-2,-5.558689311E-2,-6.297928840E-2
1.055113742E1,4.455916211E-2,-9.546752274E-2,-6.896717101E-2
1.075244042E1,1.214157268E-1,1.278666258E-1,-2.050261013E-2
1.095374342E1,8.879788965E-2,-1.186097711E-1,4.126024246E-2
1.115504642E1,9.802272916E-2,-2.247915119E-1,-1.884900033E-2
1.135634792E1,6.664589047E-2,-2.340297550E-1,-1.941306982E-3
1.155765092E1,1.509497017E-1,-1.250045896E-1,-6.655786186E-2
1.175895392E1,2.420294583E-1,-8.286638558E-2,-7.002779096E-2
1.196025592E1,2.902979255E-1,1.510318667E-1,-1.199873611E-1
1.216155892E1,3.676003218E-1,4.720821679E-1,-2.906375378E-2
1.236286154E1,7.611089349E-1,3.138639033E-1,1.542575508E-1
1.256416454E1,8.857384324E-1,-4.152661860E-1,-1.020237990E-2
1.276546754E1,-1.108489484E-1,7.411446422E-2,3.924102187E-1
1.296676954E1,-1.734061837E-1,7.151070237E-1,3.047856987E-1
1.316807254E1,3.733649850E-1,2.110660672E-1,1.023738459E-1
1.336937654E1,4.122610986E-1,-4.416543543E-1,-1.624797732E-1
1.357067954E1,-8.639608324E-2,-3.988192677E-1,-4.114650190E-1
1.377198254E1,1.459142417E-1,-5.798291564E-1,-4.174125195E-1
1.397328554E1,2.812242508E-1,-6.577424407E-1,-1.245372593E-1
1.417458683E1,-1.856684312E-2,5.316271633E-2,-5.995541066E-2
1.437588983E1,-3.081714809E-1,-5.569350719E-1,-1.463980079E-1
1.457719283E1,-2.574449778E-1,-5.134029388E-1,-3.817402124E-1
1.477849583E1,-2.167044878E-1,3.392811120E-1,-2.910316885E-1
1.497979883E1,-3.745102584E-1,5.734755993E-1,-4.200768471E-1
1.518110092E1,-7.990624309E-1,1.057696223E0,-4.497691393E-1
1.538240392E1,-3.659480512E-1,9.568969011E-1,-2.966849804E-1
1.558370692E1,-2.696021795E-1,7.528709173E-1,7.624056190E-2
1.578500992E1,1.603789032E-1,4.558337629E-1,4.660829157E-2
1.598631192E1,-2.072185278E-1,1.087034717E-1,1.664082259E-1
1.618761458E1,1.609121561E-1,2.036876604E-2,-1.474915743E-1
1.638891758E1,1.927123666E-1,-6.379772723E-2,-1.312985718E-1
1.659022058E1,1.133086756E-1,8.927858621E-2,6.322678179E-2
1.679152358E1,1.146198586E-1,1.127409488E-1,-7.227198780E-2
1.699282658E1,2.373283543E-2,-1.151015610E-1,3.041818738E-1
1.719413033E1,-2.242682874E-1,1.140000582E0,4.784829915E-1
1.739543333E1,-1.922214627E-1,2.860910296E-1,3.117797673E-1
1.759673633E1,-2.354483306E-1,-3.828031123E-1,-1.106792539E-1
1.779803833E1,-7.423192263E-1,-7.130705118E-1,-4.123079181E-1
1.799934133E1,-3.843080103E-1,-1.151239276E0,-5.526034832E-1
1.820064429E1,-4.382979870E-2,-1.430498242E0,-6.627435684E-1
1.840194729E1,4.398068190E-1,-5.873062611E-1,-3.740472496E-1
1.860324929E1,1.689838916E-1,8.876890689E-2,-2.895796299E-1
1.880455229E1,1.230070964E-1,3.042825162E-1,-1.130229980E-1
1.900585529E1,3.944721520E-1,1.358631551E-1,6.936500221E-2
1.920715854E1,2.349959463E-1,1.403884143E-1,-9.018537402E-2
1.940846154E1,1.652711630E-1,1.429903507E-1,-5.142202973E-2
1.960976454E1,-3.025188744E-1,-1.464079320E-1,1.045416892E-1
1.981106754E1,-1.387978196E-1,1.886799932E-1,1.263562441E-1
2.001237054E1,1.589390934E-1,5.015870556E-3,-1.486304700E-1
2.021367346E1,2.243977040E-1,2.623867691E-1,-6.647490710E-2
2.041497746E1,5.658357590E-2,-1.571826637E-1,-9.930394590E-2
2.061628046E1,6.800056994E-2,1.831581295E-1,7.015774846E-1
2.081758446E1,3.283561468E-1,-1.461353898E-1,7.099716663E-1
2.101888746E1,-1.520011425E-1,1.135003939E-1,2.035506219E-1
2.122019079E1,-1.382919252E-1,9.366766363E-2,1.890418977E-1
2.142149379E1,-4.549210072E-1,6.822601557E-1,4.052113593E-1
2.162279779E1,-3.844732046E-1,1.057670474E0,5.079508573E-2
2.182410079E1,1.947608031E-2,8.493042737E-2,-2.113134861E-1
2.202540379E1,1.319090873E-1,-2.478463054E-1,-6.329198182E-2
2.222670842E1,1.933164895E-1,-3.777354658E-1,-4.094970226E-2
2.242801142E1,3.394697011E-1,3.276934624E-1,-1.101624742E-1
2.262931542E1,3.366311193E-1,1.183231622E-1,-2.263909578E-1
2.283061842E1,3.720325530E-1,-1.348043829E-1,-2.472534925E-1
2.303192242E1,5.173651576E-1,-4.005324244E-1,-3.724438846E-1
2.323322671E1,-3.230357468E-1,-2.867912650E-1,-1.908252984E-1
2.343453071E1,2.726651728E-2,1.388331354E-1,-5.940226465E-2
2.363583471E1,-2.391582280E-1,-5.522558466E-2,-1.048469245E-1
2.383713871E1,-1.573887020E-1,-9.975329041E-2,1.329211146E-1
2.403844271E1,6.909868866E-2,-4.555113614E-1,4.945201427E-2
2.423974629E1,-5.869202614E-1,2.880133390E-1,-3.808832169E-1
2.444105029E1,-5.074181557E-1,4.558770657E-1,-3.896184266E-1
2.464235429E1,-3.409161270E-1,3.173320293E-1,-2.278482765E-1
2.484365829E1,-2.690536678E-1,-3.885531425E-1,-2.132496685E-1
2.504496229E1,-1.551046520E-1,-4.875552058E-1,7.212317735E-2
2.524626592E1,-4.417336583E-1,-4.707108140E-1,2.745264769E-1
2.544756992E1,-3.202444315E-1,-3.753461540E-1,-4.521302879E-2
2.564887492E1,-2.580493689E-1,-2.222723514E-1,1.526163071E-1
2.585017892E1,-1.341087818E-1,1.725438833E-1,3.666346893E-4
2.605148292E1,-3.163205385E-1,4.397685230E-1,-1.742494851E-1
2.625278742E1,-1.976745129E-1,3.285064995E-1,-5.168938637E-2
2.645409142E1,-2.745652199E-1,4.102062881E-1,2.283126712E-1
2.665539542E1,-4.199320376E-1,1.879127771E-1,8.120264113E-2
2.685669942E1,-4.168036282E-1,-4.629110917E-2,2.321007103E-2
2.705800442E1,-1.052069888E-1,-1.667236388E-1,1.102763638E-1
2.725930842E1,1.168997735E-1,-9.555531666E-3,-1.102330238E-1
2.746061242E1,3.094283640E-1,3.393834829E-1,-9.349448234E-2
2.766191542E1,-4.789077491E-2,4.596965909E-1,1.885236353E-1
2.786321942E1,1.205742881E-1,2.987043262E-1,2.452768236E-1
2.806452342E1,7.306091785E-1,2.426266074E-1,3.440659642E-1
2.826582658E1,6.881979704E-1,-8.470638096E-2,7.033447027E-1
2.846712958E1,5.090863705E-1,-2.533266246E-1,3.313304782E-1
2.866843358E1,8.155846596E-1,-2.005065978E-1,6.707115173E-1
2.886973658E1,2.878973484E-1,1.695353389E-1,3.065402806E-1
2.907104058E1,3.878407925E-2,-4.571245052E-3,2.846267074E-2
2.927234408E1,-1.300221533E-1,2.780217230E-1,-5.701763183E-2
2.947364808E1,-9.535204619E-2,1.935709566E-1,8.905787952E-3
2.967495208E1,-2.116884291E-2,-2.543555498E-1,-2.692531422E-2
2.987625508E1,-6.011309028E-1,-9.837526679E-1,-7.065414637E-2
3.007755908E1,-8.287935257E-1,-7.586043477E-1,-5.802533627E-1
3.027886292E1,-4.268978238E-1,-9.046201706E-1,-9.069150686E-1
3.048016792E1,-2.573001087E-1,-7.896687388E-1,-2.698413730E-1
3.068147192E1,-2.607746720E-1,-2.396545112E-1,-2.815798521E-1
3.088277592E1,-2.258639336E-1,2.492852807E-1,-1.662060618E-1
3.108408092E1,-1.524761021E-1,-1.723995209E-1,-4.255219549E-2
3.128538533E1,1.759905219E-1,-2.964271903E-1,1.150158048E-1
3.148669033E1,1.559205502E-1,1.853647083E-2,1.164987534E-1
3.168799533E1,1.381806731E-1,-6.008175388E-2,1.077807099E-1
3.188929933E1,4.540041089E-2,5.824453011E-2,1.009736061E-1
3.209060433E1,1.667199098E-2,8.458335698E-2,1.233767942E-1
3.229190833E1,6.219051778E-3,1.079924554E-1,5.102614872E-3
3.249321333E1,-4.478154331E-2,4.562376440E-2,1.835445464E-1
3.269451733E1,-4.944705404E-3,-3.882487416E-1,2.727010846E-1
3.289582233E1,2.133606002E-2,-2.938072979E-1,1.558571458E-1
3.309712633E1,-1.602781117E-1,-2.038657516E-1,8.666870743E-2
3.329843042E1,-1.439293772E-1,-2.774372399E-1,-7.818004489E-2
3.349973442E1,-2.145576663E-2,-1.734907478E-1,7.771485299E-2
3.370103842E1,2.342811078E-1,-7.528150827E-2,6.756600738E-2
3.390234242E1,3.454442620E-1,1.148203537E-1,1.499570608E-1
3.410364742E1,1.615445316E-1,1.880077422E-1,2.056084871E-1
3.430495258E1,2.556550205E-1,1.938541830E-1,3.810754418E-1
3.450625758E1,2.223507315E-1,1.564817578E-1,6.972953081E-1
3.470756158E1,2.410176098E-1,2.478110492E-1,7.302455306E-1
3.490886658E1,2.860680819E-1,1.556451768E-1,4.233660996E-1
3.511017058E1,1.530179977E-1,2.080112696E-1,1.002369374E-1
3.531147421E1,-1.155615598E-2,-2.252136171E-1,-2.195830345E-1
3.551277921E1,3.602252901E-1,-2.497196048E-1,-4.594306648E-1
3.571408321E1,4.515681863E-1,1.164900810E-1,2.619151026E-2
3.591538821E1,5.103485584E-1,-2.031618953E-1,2.514084876E-1
3.611669221E1,4.221379161E-1,-1.342482567E-1,1.293056011E-1
3.631799858E1,-2.335039824E-1,-1.223865986E0,-7.448068261E-1
3.651930358E1,-7.653264403E-1,-6.389536262E-1,-1.114973187E0
3.672060758E1,-1.750821471E-1,5.344563723E-2,-1.670360118E-1
3.692191258E1,1.107996032E-1,4.338918030E-1,-2.505329549E-1
3.712321758E1,2.817855477E-1,3.487701714E-1,-2.543789148E-1
3.732452121E1,-3.390168846E-1,1.272417903E-1,-2.066056430E-1
3.752582621E1,-5.168663263E-1,5.588609576E-1,-2.164904177E-1
3.772713121E1,7.468181197E-3,-6.895342469E-2,-4.847816005E-2
3.792843621E1,-1.613216102E-2,5.295447111E-1,2.676075697E-1
3.812974021E1,-3.035672605E-1,-1.463629752E-1,-2.476741374E-2
3.833104467E1,-6.327211261E-1,3.196295500E-1,-3.628714979E-1
3.853234967E1,-4.771751761E-1,4.161393046E-1,-2.883115113E-1
3.873365467E1,-3.450406194E-1,-6.334751844E-2,-1.675352901E-1
3.893495967E1,1.380573660E-1,-1.061427519E-1,3.884644434E-2
3.913626567E1,3.919523954E-2,1.669938210E-3,-5.692351982E-2
3.933757021E1,-2.233914100E-2,2.584913969E-1,-1.861131489E-1
3.953887521E1,7.068915665E-2,2.654940784E-1,5.200001877E-3
3.974018121E1,-1.253412515E-1,3.488744199E-1,2.800297365E-2
3.994148721E1,-3.890384454E-3,3.244540691E-1,-1.583454013E-2
4.014279221E1,-1.274232119E-1,3.997033834E-1,-1.955191642E-1
4.034409904E1,1.866439916E-2,1.233682632E-1,7.027290016E-2
4.054540504E1,-7.300778478E-2,-1.870721579E-2,4.472408071E-2
4.074671004E1,1.397787184E-1,-9.085210413E-2,-9.979126975E-3
4.094801604E1,2.162659168E-1,1.002149098E-2,2.442442253E-2
4.114932204E1,2.483929545E-1,2.775797993E-2,-3.101755679E-2
4.135062746E1,3.867890239E-1,1.362505555E-1,5.042562634E-2
4.155193346E1,6.747236848E-1,7.709237188E-2,3.206641674E-1
4.175323946E1,6.764251590E-1,5.288395882E-1,4.694769084E-1
4.195454446E1,2.663480341E-1,6.293301582E-1,4.859690964E-1
4.215585046E1,-2.574349940E-1,1.542899132E0,4.226189852E-1
4.235715454E1,-4.116468132E-1,5.453085899E-1,4.413946569E-1
4.255846054E1,-3.468461633E-1,-1.785031557E-1,1.373854578E-1
4.275976554E1,-3.602108657E-1,-3.391584754E-1,1.346106082E-2
4.296107054E1,-3.933031857E-1,-2.145270705E-1,-2.122091502E-2
4.316237554E1,-5.065021515E-1,-5.686562061E-1,-4.382419586E-2
4.336368167E1,-8.011838198E-1,-8.331310153E-1,-2.504446805E-1
4.356498667E1,-4.968087077E-1,-9.300056100E-1,-1.013651043E-1
4.376629167E1,-4.591521025E-1,-3.636977971E-1,-4.264419377E-1
4.396759667E1,-1.108605713E-1,2.609151006E-1,-9.444346279E-2
4.416890167E1,-1.153937280E-1,5.150668696E-2,-2.246474475E-2
4.437020779E1,-3.715876937E-1,1.658368409E-1,3.346787021E-2
4.457151279E1,-3.816171549E-3,4.391339421E-2,6.321332604E-2
4.477281779E1,-3.062736057E-2,-8.550348133E-2,2.121250182E-1
4.497412379E1,3.279797137E-1,-9.070155211E-3,2.670141757E-1
4.517542879E1,1.462567002E-1,-1.885165423E-1,1.455786377E-1
4.537673542E1,3.037571907E-1,1.502161175E-1,2.296830267E-1
4.557804042E1,2.898110449E-1,3.197546601E-1,2.395587713E-1
4.577934542E1,1.343365610E-1,1.905934513E-1,1.693619490E-1
4.598065142E1,1.055727601E-1,1.991235018E-1,5.878433213E-2
4.618195642E1,-5.561252311E-2,1.323127598E-1,-4.389149137E-3
4.638326279E1,-3.335564137E-1,-4.594770670E-1,-1.061218828E-1
4.658456879E1,-4.786797613E-2,-6.062628031E-1,-2.632264495E-1
4.678587379E1,-5.593446270E-2,-3.266439736E-1,-3.322618008E-1
4.698717979E1,-3.472120762E-1,-3.101263940E-1,-3.663764298E-1
4.718848479E1,-9.712954611E-2,-3.713085353E-1,-2.600161731E-1
4.738978967E1,2.890495956E-1,4.492505491E-1,-1.165436730E-1
4.759109467E1,1.999788582E-1,6.329811364E-2,-3.101290166E-1
4.779240067E1,2.249354124E-1,-2.972697318E-1,-3.130119741E-1
4.799370567E1,-7.060263306E-4,-5.002964139E-1,-2.022886276E-1
4.819501167E1,3.833497688E-2,-1.360534281E-1,-1.479909718E-1
4.839631721E1,1.584114879E-1,1.636192352E-1,-1.723122224E-2
4.859762321E1,-2.166933194E-2,1.145893782E-1,-5.304194987E-2
4.879892921E1,-1.787329912E-1,-6.195600033E-1,-3.907740116E-2
4.900023521E1,-1.560274065E-1,-9.753842950E-1,-2.382157296E-1
4.920154121E1,2.481877953E-1,-7.500560284E-1,9.428058565E-2
4.940284704E1,3.664987385E-1,-3.249513209E-1,-7.649555802E-2
4.960415304E1,6.302874088E-1,-2.995429635E-1,-3.003872335E-1
4.980545904E1,4.617728889E-1,-1.544798464E-1,-6.686714888E-1
5.000676504E1,2.825962007E-1,1.462615281E-1,-4.511424303E-1
5.020807104E1,4.385791719E-2,-1.233124081E-2,-2.517813146E-1
5.040937704E1,4.336100817E-2,-6.902809441E-2,-2.264453173E-1
5.061068404E1,1.295278780E-3,-2.216528356E-1,-1.676891148E-1
5.081199004E1,1.568954587E-1,2.239203602E-1,-7.597240619E-4
5.101329604E1,-1.374918222E-1,4.663031548E-2,-1.969344020E-1
5.121460117E1,-6.366336942E-1,1.391646732E-2,-1.626719236E-1
5.141590817E1,-1.012151361E0,9.751774371E-2,-1.259785593E-1
5.161721417E1,-1.044784784E0,4.681152999E-1,1.871769279E-1
5.181852117E1,-8.508026004E-1,5.389468074E-1,3.178376257E-1
5.201982717E1,-3.493486047E-1,5.042950511E-1,3.284493089E-1
5.222113442E1,3.305316716E-2,-4.604039192E-1,8.066071570E-2
5.242244042E1,1.963808835E-1,-4.661358893E-1,-1.926838234E-2
5.262374742E1,6.248357892E-2,-2.243561149E-1,-1.477355510E-1
5.282505342E1,8.424387872E-2,-1.385341287E-1,-9.830206633E-2
5.302635942E1,1.041919291E-1,-2.989205532E-3,-7.110723108E-2
5.322766604E1,1.974402964E-1,4.868070409E-2,-9.166288376E-2
5.342897204E1,5.177948475E-1,-8.068013936E-2,7.745466381E-2
5.363027804E1,5.133327246E-1,-5.470352620E-2,-3.655853122E-2
5.383158404E1,4.177763760E-1,-6.373941898E-2,5.429716781E-2
5.403289004E1,1.995484531E-1,-3.136033565E-2,2.466419339E-1
5.423419629E1,1.087310165E-1,-3.255083859E-1,1.697466522E-1
5.443550229E1,6.904963404E-3,-2.417445779E-1,-1.599807739E-1
5.463680829E1,4.005705565E-2,-4.122199863E-2,-1.954113990E-1
5.483811329E1,8.827769756E-2,2.149300091E-2,-3.839496151E-2
5.503941929E1,2.682543695E-1,6.477788091E-2,2.759856731E-2
5.524072521E1,1.528795958E-1,8.068627864E-2,-3.241083771E-2
5.544203121E1,-1.466425061E-1,8.479126729E-3,-6.294090301E-2
5.564333621E1,-1.193798259E-1,-1.042677388E-1,-2.410792112E-1
5.584464221E1,-1.798648089E-1,-3.659655750E-1,-3.227682710E-1
5.604594821E1,-2.427813131E-3,-9.258770943E-2,-4.831209779E-2
5.624725433E1,3.702230006E-2,1.380144712E-2,-1.330417842E-1
5.644856033E1,4.130546749E-2,4.352431595E-1,-4.089879096E-1
5.664986633E1,-1.601419598E-1,3.801267222E-2,-2.307680398E-1
5.685117233E1,-8.321601897E-2,4.424435794E-1,-2.016420811E-1
5.705247833E1,-7.743015885E-2,3.825123012E-1,1.215687171E-1
5.725378508E1,-1.900055259E-1,2.336935848E-1,1.910598576E-1
5.745509108E1,-5.743633956E-3,-2.047983557E-1,-4.227085784E-2
5.765639708E1,-2.308203839E-2,-3.966686875E-2,-1.584198326E-4
5.785770308E1,-6.504592299E-2,-4.860775545E-2,-1.736589335E-2
5.805900908E1,-4.328581989E-1,4.209126811E-3,-5.500133708E-2
5.826031558E1,-8.339892030E-1,3.286867440E-1,-8.521448076E-2
5.846162158E1,-6.906778812E-1,9.322641790E-2,-4.613399506E-2
5.866292758E1,-5.103364587E-1,-6.415402144E-2,1.092905086E-2
5.886423358E1,-2.521106303E-1,3.829619661E-2,5.829220638E-2
5.906553958E1,1.713131666E-1,-2.410385758E-1,1.189509556E-1
5.926684529E1,4.043659866E-1,-3.732933402E-1,4.808915779E-2
5.946815129E1,5.434050560E-1,-3.300046325E-1,-2.395452559E-2
5.966945829E1,2.464734465E-1,-2.695089281E-1,4.222685844E-2
5.987076429E1,-7.294732332E-2,2.477663755E-1,6.533571333E-2
6.007207029E1,-6.370192021E-2,3.413519859E-1,-1.689393818E-2
6.027337642E1,8.073383011E-3,7.990281284E-2,-2.536381483E-1
6.047468342E1,-1.878550202E-1,-3.181907833E-1,4.709557444E-2
6.067598942E1,2.214534767E-2,-3.178657293E-1,6.965034455E-2
6.087729542E1,9.422461689E-2,-5.097804964E-2,2.263774350E-2
6.107860142E1,3.709703684E-1,-2.983032465E-1,3.327183425E-2
6.127990729E1,1.376206800E-2,-5.018068105E-2,-8.935835958E-2
6.148121329E1,2.874760628E-1,3.551240861E-1,2.595495284E-1
6.168251929E1,2.810733914E-1,4.260198176E-1,5.502165109E-2
6.188382529E1,5.006564260E-1,-1.660440303E-2,-1.613984108E-1
6.208513129E1,3.255232275E-1,-2.080279440E-1,-3.021166846E-2
6.228643629E1,1.067532785E-2,6.037709117E-2,-4.517972469E-2
6.248774229E1,-4.625891894E-2,1.325793564E-1,1.900515519E-2
6.268904729E1,2.048372664E-2,1.323727071E-1,2.321650460E-2
6.289035329E1,1.103734300E-1,1.840806603E-1,2.271319628E-1
6.309165929E1,1.084309146E-1,-3.991766572E-1,1.677828878E-1
6.329296554E1,-6.302560568E-1,-1.194822192E-1,4.422953352E-2
6.349427154E1,6.416864228E-3,-3.183508217E-1,1.303228736E-1
6.369557654E1,-6.815448999E-1,2.868313789E-1,8.890859038E-2
6.389688254E1,-7.694528103E-1,4.470847845E-1,5.432192683E-1
6.409818854E1,-1.120792389E0,5.780285001E-1,8.638902903E-1
6.429949242E1,-8.852798492E-2,2.027130425E-1,5.776539445E-1
6.450079842E1,-6.624916568E-5,-1.818132997E-1,5.077888370E-1
6.470210342E1,1.772049814E-1,1.796882302E-1,6.729786843E-2
6.490340942E1,3.853651285E-1,-1.289799958E-1,-1.225882471E-1
6.510471542E1,2.354895324E-1,-8.661554754E-2,-4.151574895E-2
6.530602083E1,2.382265627E-1,1.627612561E-1,-8.185614645E-2
6.550732683E1,1.596975774E-1,-5.775094405E-2,-1.935524493E-1
6.570863283E1,4.033911526E-1,2.150903195E-1,-2.872901261E-1
6.590993783E1,3.593142033E-1,3.433472216E-1,-6.541528106E-1
6.611124383E1,-2.268494964E-1,6.224108934E-1,-1.469573826E-1
6.631254904E1,-2.957427800E-1,5.040710047E-2,-8.699907362E-2
6.651385504E1,-3.293512017E-2,-4.320477694E-2,9.123198688E-3
6.671516104E1,6.778855622E-2,-1.344258487E-1,8.118753321E-3
6.691646704E1,-1.069985982E-2,-3.556159884E-2,-1.939041167E-1
6.711777304E1,-3.198191822E-1,-3.952993155E-1,-2.691499889E-1
6.731907879E1,-3.690728545E-1,9.987610392E-4,-2.870639563E-1
6.752038479E1,-2.195371389E-1,2.664244175E-1,-4.279756173E-2
6.772169079E1,-1.258003414E-1,1.115202233E-1,1.709557325E-2
6.792299679E1,-2.498966306E-1,8.491276950E-2,-4.580424353E-2
6.812430279E1,-3.377434015E-1,-1.737156659E-1,3.899223730E-2
6.832560842E1,-2.519159317E-1,1.134165302E-1,-1.134530529E-1
6.852691442E1,1.086573452E-1,-1.660243720E-1,-4.442277551E-2
6.872822042E1,5.432425141E-1,-6.936780363E-2,1.256624907E-1
6.892952642E1,4.160492420E-1,1.530722380E-1,2.729213238E-1
6.913083242E1,6.046522856E-1,1.151906475E-1,3.456922472E-1
6.933213908E1,2.834830284E-1,-1.941017509E-1,2.662157714E-1
6.953344408E1,1.358307432E-3,-3.508953750E-2,3.577232733E-2
6.973475008E1,-3.544538617E-1,1.169522628E-1,-8.231885731E-2
6.993605608E1,-6.271502972E-1,2.422769070E-1,-2.153316885E-1
7.013736208E1,-3.169481158E-1,-2.825537026E-1,1.884089783E-2
7.033866771E1,-1.946094930E-1,-2.538962960E-1,-1.465447247E-1
7.053997371E1,-2.863389850E-1,-6.383937597E-1,-2.587995231E-1
7.074127971E1,-1.183835268E-1,-2.182694674E-1,-2.251957506E-1
7.094258471E1,5.197340623E-2,-2.823122442E-1,-1.280675828E-1
7.114389071E1,1.573151648E-1,2.953465097E-3,-9.167847224E-3
7.134519683E1,1.708354056E-1,-4.514515772E-2,4.079958797E-2
7.154650283E1,9.773071855E-2,-6.080771238E-2,-7.098701596E-2
7.174780783E1,2.397408634E-1,-1.022110730E-1,-1.618489623E-4
7.194911383E1,4.738020003E-1,-3.569136560E-1,-5.311077088E-2
7.215041883E1,3.914709687E-1,-7.888457179E-1,-4.820253253E-1
7.235172542E1,5.586462021E-1,-9.449872375E-1,-4.895478785E-1
7.255303142E1,-1.258697957E-1,-3.181577623E-1,-2.136382163E-1
7.275433642E1,-8.640831709E-2,-4.851554036E-1,-4.593397081E-1
7.295564242E1,-8.436073549E-4,1.661216319E-1,-1.405100971E-1
7.315694742E1,-1.967289485E-2,1.156681776E-1,-1.526933908E-2
7.335825292E1,4.451336712E-2,2.262409478E-1,-5.657003261E-3
7.355955792E1,2.007486764E-3,-4.154226929E-2,-2.250270247E-1
7.376086392E1,-2.118251920E-1,3.034591973E-1,-4.331548810E-1
7.396216892E1,-4.813880026E-1,4.504421055E-1,-2.768872976E-1
7.416347492E1,-7.248809338E-1,2.074139416E-1,2.585151494E-1
7.436478054E1,-3.538098037E-1,1.678208411E-1,4.404215813E-1
7.456608554E1,2.258891612E-1,-1.225972697E-1,1.868977994E-1
7.476739154E1,-2.403353304E-1,2.817670107E-1,-2.469019145E-1
7.496869754E1,-6.158307195E-1,1.828085333E-1,2.645222843E-1
7.517000254E1,-1.368383288E0,8.111788034E-1,6.460907459E-1
7.537130892E1,-3.718428612E-1,2.300044000E-1,3.194616437E-1
7.557261492E1,3.349110112E-2,5.488366634E-2,1.692888886E-1
7.577391992E1,4.698238969E-1,-1.464532614E-1,-3.371715546E-1
