"Time (s)","Distance (cm)"
2.066665000E-1,5.000000000E0
4.066665000E-1,5.000000000E0
6.066665000E-1,5.000000000E0
8.066665000E-1,5.000000000E0
1.006666500E0,5.000000000E0
1.206666500E0,5.000000000E0
1.406666500E0,5.000000000E0
1.606666500E0,5.000000000E0
1.806666500E0,5.000000000E0
2.006666500E0,5.000000000E0
2.206666500E0,5.000000000E0
2.406666500E0,5.000000000E0
2.606666500E0,5.000000000E0
2.806666500E0,5.000000000E0
3.006666500E0,5.000000000E0
3.206666500E0,5.000000000E0
3.406666500E0,5.000000000E0
3.606666500E0,5.000000000E0
3.806666500E0,5.000000000E0
4.006666500E0,5.000000000E0
4.206666500E0,5.000000000E0
4.406666500E0,5.000000000E0
4.606666500E0,5.000000000E0
4.806666500E0,5.000000000E0
5.006666500E0,5.000000000E0
5.206666500E0,5.000000000E0
5.406666500E0,5.000000000E0
5.606666500E0,5.000000000E0
5.806666500E0,5.000000000E0
6.006666500E0,5.000000000E0
6.206666500E0,5.000000000E0
6.406666500E0,5.000000000E0
6.606666500E0,5.000000000E0
6.806666500E0,5.000000000E0
7.006666500E0,5.000000000E0
7.206666500E0,5.000000000E0
7.406666500E0,5.000000000E0
7.606666500E0,5.000000000E0
7.806666500E0,5.000000000E0
8.006666500E0,5.000000000E0
8.206666500E0,5.000000000E0
8.406666500E0,5.000000000E0
8.606666500E0,5.000000000E0
8.806666500E0,5.000000000E0
9.006666500E0,5.000000000E0
9.206666500E0,5.000000000E0
9.406666500E0,5.000000000E0
9.606666500E0,5.000000000E0
9.806666500E0,5.000000000E0
1.000666650E1,5.000000000E0
1.020666650E1,5.000000000E0
1.040666650E1,5.000000000E0
1.060666650E1,5.000000000E0
1.080666650E1,5.000000000E0
1.100666650E1,5.000000000E0
1.120666650E1,5.000000000E0
1.140666650E1,5.000000000E0
1.160666650E1,5.000000000E0
1.180666650E1,5.000000000E0
1.200666650E1,5.000000000E0
1.220666650E1,5.000000000E0
1.240666650E1,5.000000000E0
1.260666650E1,5.000000000E0
1.280666650E1,5.000000000E0
1.300666650E1,5.000000000E0
1.320666650E1,5.000000000E0
1.340666650E1,5.000000000E0
1.360666650E1,5.000000000E0
1.380666650E1,5.000000000E0
1.400666650E1,5.000000000E0
1.420666650E1,5.000000000E0
1.440666650E1,5.000000000E0
1.460666650E1,5.000000000E0
1.480666650E1,5.000000000E0
1.500666650E1,5.000000000E0
1.520666650E1,5.000000000E0
1.540666650E1,5.000000000E0
1.560666650E1,5.000000000E0
1.580666650E1,5.000000000E0
1.600666650E1,5.000000000E0
1.620666650E1,5.000000000E0
1.640666650E1,5.000000000E0
1.660666650E1,5.000000000E0
1.680666650E1,5.000000000E0
1.700666650E1,5.000000000E0
1.720666650E1,5.000000000E0
1.740666650E1,5.000000000E0
1.760666650E1,5.000000000E0
1.780666650E1,5.000000000E0
1.800666650E1,5.000000000E0
1.820666650E1,5.000000000E0
1.840666650E1,5.000000000E0
1.860666650E1,5.000000000E0
1.880666650E1,5.000000000E0
1.900666650E1,5.000000000E0
1.920666650E1,5.000000000E0
1.940666650E1,5.000000000E0
1.960666650E1,5.000000000E0
1.980666650E1,5.000000000E0
2.000666650E1,5.000000000E0
2.020666650E1,5.000000000E0
2.040666650E1,5.000000000E0
2.060666650E1,5.000000000E0
2.080666650E1,5.000000000E0
2.100666650E1,5.000000000E0
2.120666650E1,5.000000000E0
2.140666650E1,5.000000000E0
2.160666650E1,5.000000000E0
2.180666650E1,5.000000000E0
2.200666650E1,5.000000000E0
2.220666650E1,5.000000000E0
2.240666650E1,5.000000000E0
2.260666650E1,5.000000000E0
2.280666650E1,5.000000000E0
2.300666650E1,5.000000000E0
2.320666650E1,5.000000000E0
2.340666650E1,5.000000000E0
2.360666650E1,5.000000000E0
2.380666650E1,5.000000000E0
2.400666650E1,5.000000000E0
2.420666650E1,5.000000000E0
2.440666650E1,5.000000000E0
2.460666650E1,5.000000000E0
2.480666650E1,5.000000000E0
2.500666650E1,5.000000000E0
2.520666650E1,5.000000000E0
2.540666650E1,5.000000000E0
2.560666650E1,5.000000000E0
2.580666650E1,5.000000000E0
2.600666650E1,5.000000000E0
2.620666650E1,5.000000000E0
2.640666650E1,5.000000000E0
2.660666650E1,5.000000000E0
2.680666650E1,5.000000000E0
2.700666650E1,5.000000000E0
2.720666650E1,5.000000000E0
2.740666650E1,5.000000000E0
2.760666650E1,5.000000000E0
2.780666650E1,5.000000000E0
2.800666650E1,5.000000000E0
2.820666650E1,5.000000000E0
2.840666650E1,5.000000000E0
2.860666650E1,5.000000000E0
2.880666650E1,5.000000000E0
2.900666650E1,5.000000000E0
2.920666650E1,5.000000000E0
2.940666650E1,5.000000000E0
2.960666650E1,5.000000000E0
2.980666650E1,5.000000000E0
3.000666650E1,5.000000000E0
3.020666650E1,5.000000000E0
3.040666650E1,5.000000000E0
3.060666650E1,5.000000000E0
3.080666650E1,5.000000000E0
3.100666650E1,5.000000000E0
3.120666650E1,5.000000000E0
3.140666650E1,5.000000000E0
3.160666650E1,5.000000000E0
3.180666650E1,5.000000000E0
3.200666650E1,5.000000000E0
3.220666650E1,5.000000000E0
3.240666650E1,5.000000000E0
3.260666650E1,5.000000000E0
3.280666650E1,5.000000000E0
3.300666650E1,5.000000000E0
3.320666650E1,5.000000000E0
3.340666650E1,5.000000000E0
3.360666650E1,5.000000000E0
3.380666650E1,5.000000000E0
3.400666650E1,5.000000000E0
3.420666650E1,5.000000000E0
3.440666650E1,5.000000000E0
3.460666650E1,5.000000000E0
3.480666650E1,5.000000000E0
3.500666650E1,5.000000000E0
3.520666650E1,5.000000000E0
3.540666650E1,5.000000000E0
3.560666650E1,5.000000000E0
3.580666650E1,5.000000000E0
3.600666650E1,5.000000000E0
3.620666650E1,5.000000000E0
3.640666650E1,5.000000000E0
3.660666650E1,5.000000000E0
3.680666650E1,5.000000000E0
3.700666650E1,5.000000000E0
3.720666650E1,5.000000000E0
3.740666650E1,5.000000000E0
3.760666650E1,5.000000000E0
3.780666650E1,5.000000000E0
3.800666650E1,5.000000000E0
3.820666650E1,5.000000000E0
