"Time (s)","X (hPa)"
-5.111849167E-1,1.014807739E3
5.252630833E-1,1.014469299E3
1.561717083E0,1.014417191E3
2.598199083E0,1.014417191E3
3.634503083E0,1.014497757E3
4.670838083E0,1.014524918E3
4.803699083E0,1.014669876E3
5.763244083E0,1.014753571E3
6.722859083E0,1.014753571E3
7.682572083E0,1.014390106E3
8.642274083E0,1.014120789E3
9.601906083E0,1.014017410E3
1.056158908E1,1.013881607E3
1.152129308E1,1.013881607E3
1.248100108E1,1.014047775E3
1.344072308E1,1.014250946E3
1.440044208E1,1.014254532E3
1.536029608E1,1.014254532E3
1.632024808E1,1.014239273E3
1.728025808E1,1.014239273E3
1.824021308E1,1.014262848E3
1.920024408E1,1.014329681E3
2.016032008E1,1.014354248E3
2.112035008E1,1.014354248E3
2.208033008E1,1.014252243E3
2.304030808E1,1.014169540E3
2.400023708E1,1.014109344E3
2.496006108E1,1.013988571E3
2.592003508E1,1.013988571E3
2.687994908E1,1.013988571E3
2.783974908E1,1.014027557E3
2.879958408E1,1.014036560E3
2.975957308E1,1.014070358E3
3.071948108E1,1.014070358E3
3.167961008E1,1.014098129E3
3.263959208E1,1.014190216E3
3.359954208E1,1.014190216E3
3.455949608E1,1.014171066E3
3.551947808E1,1.014164581E3
3.647940508E1,1.014164581E3
3.743922608E1,1.014033127E3
3.839905708E1,1.014018631E3
3.935884408E1,1.014018631E3
4.031850308E1,1.014019241E3
4.127815708E1,1.014019547E3
4.223791608E1,1.014055634E3
4.319768608E1,1.014091797E3
4.415760208E1,1.014145813E3
4.511755308E1,1.014326630E3
4.607750408E1,1.014326630E3
4.703748908E1,1.014216309E3
4.799742308E1,1.014216309E3
4.895733608E1,1.014216309E3
4.991716308E1,1.013941803E3
5.087690108E1,1.013931198E3
5.183671008E1,1.013931198E3
5.279647808E1,1.013931198E3
5.375620108E1,1.013853912E3
5.471595008E1,1.013853912E3
5.567573108E1,1.013903122E3
5.663555608E1,1.013904114E3
5.759540608E1,1.013904114E3
5.855517808E1,1.013934555E3
5.951495108E1,1.013934555E3
6.047461708E1,1.013934555E3
6.143430808E1,1.013945084E3
6.239408008E1,1.013945084E3
6.335383808E1,1.013857269E3
6.431353208E1,1.013857269E3
6.527334208E1,1.014028168E3
6.623318508E1,1.014210968E3
6.719301208E1,1.014233322E3
6.815299708E1,1.014233322E3
6.911289208E1,1.014140320E3
7.007285508E1,1.014033432E3
7.103287808E1,1.013878632E3
7.199283508E1,1.013873749E3
7.295278308E1,1.013873749E3
7.391270808E1,1.013909073E3
7.487268008E1,1.013964539E3
7.583251708E1,1.013966904E3
7.679231108E1,1.013966904E3
7.775214908E1,1.014031525E3
7.871194408E1,1.014031525E3
7.967169808E1,1.014044952E3
8.063144008E1,1.014042053E3
8.159123908E1,1.014044952E3
8.255105008E1,1.014135513E3
8.351092008E1,1.014135513E3
8.447081708E1,1.014055710E3
8.543080408E1,1.014031143E3
8.639075708E1,1.013974686E3
8.735057208E1,1.013709717E3
8.831043508E1,1.013709717E3
8.927026908E1,1.013748169E3
9.023014608E1,1.013751450E3
9.119007208E1,1.013830414E3
9.214990408E1,1.013931961E3
9.310976908E1,1.013931961E3
9.406967708E1,1.013930511E3
9.502962608E1,1.013905258E3
9.598960108E1,1.013850403E3
9.694953408E1,1.013848038E3
9.790948108E1,1.013848038E3
9.886946408E1,1.013849640E3
9.982942408E1,1.013878784E3
1.007893371E2,1.013912506E3
1.017492961E2,1.013915710E3
1.027092561E2,1.013915710E3
1.036692361E2,1.013857956E3
1.046290911E2,1.013848419E3
1.055888121E2,1.013838120E3
1.065486181E2,1.013838120E3
1.075083951E2,1.013858719E3
1.084682161E2,1.013858719E3
1.094279791E2,1.013857803E3
1.103878391E2,1.013851471E3
1.113477201E2,1.013848953E3
1.123075741E2,1.013851471E3
1.132674511E2,1.013877258E3
1.142273951E2,1.013907928E3
1.151873881E2,1.013907928E3
