"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.382316250E-1,3.911842346E0,-6.272308350E1,-2.067398071E1
3.395166250E-1,9.981250763E0,-6.230516434E1,-1.786038208E1
5.408003333E-1,1.550912857E1,-6.143315887E1,-1.577200317E1
7.420853333E-1,2.084195328E1,-5.997123718E1,-1.416052246E1
9.433693333E-1,2.422682571E1,-5.913515472E1,-1.152725220E1
1.144654333E0,2.668298721E1,-5.887416077E1,-7.903320312E0
1.345938333E0,2.869683456E1,-5.816170120E1,-5.020751953E0
1.547222958E0,3.114178085E1,-5.744008636E1,-1.621978760E0
1.748507958E0,3.511396408E1,-5.509399796E1,-1.449890137E0
1.949791958E0,3.978670883E1,-5.214665985E1,-5.561737061E0
2.151076958E0,4.350824356E1,-4.970298004E1,-3.350982666E0
2.352361958E0,4.586641312E1,-4.807778168E1,3.927917480E-1
2.553646458E0,4.836216354E1,-4.608638763E1,3.041900635E0
2.754931458E0,5.387925339E1,-4.107577515E1,3.380401611E0
2.956215458E0,5.841477585E1,-3.577719879E1,5.034881592E0
3.157500458E0,6.298627090E1,-2.879909134E1,5.992065430E0
3.358784458E0,6.633988953E1,-2.454969788E1,1.061523438E0
3.560069208E0,6.793283081E1,-1.978633499E1,-5.232391357E0
3.761354208E0,6.740628052E1,-1.829073715E1,-9.871917725E0
3.962639208E0,6.800463867E1,-1.861547089E1,-1.135812378E1
4.163923208E0,6.881455994E1,-1.845612526E1,-9.442291260E0
4.365208208E0,6.885026550E1,-2.059662628E1,-6.507690430E0
4.566493125E0,6.830516052E1,-2.319096375E1,-5.543823242E0
4.767778125E0,6.703677368E1,-2.679846764E1,-4.461212158E0
4.969062125E0,6.659403992E1,-2.845384979E1,-1.387573242E0
5.170347125E0,6.666140747E1,-2.869861412E1,-9.805297852E-1
5.371632125E0,6.588346863E1,-3.065270615E1,2.484436035E-1
5.572915708E0,6.450070190E1,-3.304232788E1,2.858978271E0
5.774200708E0,6.265520096E1,-3.551232147E1,6.101318359E0
5.975484708E0,6.127792740E1,-3.733386993E1,5.796539307E0
6.176769708E0,6.267978287E1,-3.524649429E1,4.571105957E0
6.378054708E0,6.315377426E1,-3.404399109E1,5.536529541E0
6.579339458E0,6.457424927E1,-3.203358078E1,4.896270752E0
6.780624458E0,6.614465332E1,-2.898766708E1,2.199340820E0
6.981910458E0,6.464002991E1,-3.119288445E1,-3.517150879E-1
7.183195458E0,6.016412735E1,-3.744661331E1,-6.452026367E-1
7.384480458E0,5.889900589E1,-3.925166321E1,-6.441955566E-1
7.585765833E0,6.013914108E1,-3.692417145E1,1.940917969E0
7.787050833E0,6.233102036E1,-3.352095795E1,4.190979004E-1
7.988335833E0,6.208178329E1,-3.212986755E1,-4.172424316E0
8.189621833E0,6.277431870E1,-2.897302437E1,-1.004174805E1
8.390906833E0,6.450642395E1,-2.126409531E1,-1.531387329E1
8.592191458E0,6.418589783E1,-2.022368622E1,-1.688412476E1
8.793476458E0,6.290269852E1,-2.421324158E1,-1.568988037E1
8.994761458E0,6.236941147E1,-2.642688560E1,-1.405648804E1
9.196046458E0,5.974979782E1,-3.167835617E1,-1.188452148E1
9.397331458E0,5.076688766E1,-4.372661591E1,-1.062173462E1
9.598615958E0,4.090315628E1,-5.185485077E1,-9.868255615E0
9.799900958E0,3.261183548E1,-5.622665405E1,-8.483062744E0
1.000118596E1,2.576266098E1,-5.901175308E1,-8.997802734E0
1.020247096E1,2.124891281E1,-5.999672699E1,-9.425292969E0
1.040375696E1,1.647172928E1,-6.088946915E1,-7.476684570E0
1.060504158E1,1.322845840E1,-6.158474731E1,-4.887695312E0
1.080632658E1,1.390568924E1,-6.177285385E1,-3.398742676E0
1.100761158E1,1.667351913E1,-6.074822998E1,-4.322692871E0
1.120889758E1,1.612089157E1,-6.103264999E1,-5.086364746E0
1.141018258E1,1.499962997E1,-6.128006744E1,-5.388061523E0
1.161146783E1,1.575496292E1,-6.109488297E1,-5.404296875E0
1.181275283E1,1.806901169E1,-6.027643967E1,-7.409423828E0
1.201403883E1,2.214384842E1,-5.914152527E1,-1.060433960E1
1.221532383E1,2.301893997E1,-5.852752686E1,-1.125433350E1
1.241660983E1,1.860503769E1,-6.020617676E1,-9.806579590E0
1.261789596E1,1.541829300E1,-6.093974686E1,-8.811126709E0
1.281918196E1,1.170181656E1,-6.198715210E1,-8.361511230E0
1.302046696E1,7.013729095E0,-6.227324677E1,-9.552215576E0
1.322175296E1,2.695812225E0,-6.224153137E1,-1.063192749E1
1.342303796E1,8.552436829E-1,-6.148173523E1,-1.329672241E1
1.362432321E1,1.774711609E0,-6.081415939E1,-1.681594849E1
1.382560921E1,3.744625092E0,-6.041123199E1,-1.770925903E1
1.402689521E1,6.199703217E0,-6.070523453E1,-1.525534058E1
1.422818021E1,5.650634766E0,-6.067383957E1,-1.580950928E1
1.442946621E1,4.519649506E0,-6.074959946E1,-1.683432007E1
1.463075238E1,4.873119354E0,-6.088497162E1,-1.666467285E1
1.483203837E1,5.992393494E0,-6.083607864E1,-1.584936523E1
1.503332438E1,9.484714508E0,-6.073842239E1,-1.270739746E1
1.523461038E1,1.388161087E1,-6.026647568E1,-9.270446777E0
1.543589638E1,1.695228195E1,-5.950173950E1,-5.318511963E0
1.563718196E1,1.840602493E1,-5.935997772E1,-3.041503906E0
1.583846796E1,1.843278122E1,-5.953612518E1,-3.313812256E0
1.603975396E1,1.702519608E1,-5.996652222E1,-3.430175781E0
1.624103996E1,1.366852951E1,-6.082975388E1,-6.635559082E0
1.644232596E1,9.960514069E0,-6.132968521E1,-9.702514648E0
1.664361146E1,5.163925171E0,-6.192947006E1,-1.084103394E1
1.684489746E1,6.022510529E0,-6.173980331E1,-1.120864868E1
1.704618346E1,5.997493744E0,-6.190575409E1,-1.113601685E1
1.724746946E1,5.225299835E0,-6.173383331E1,-1.217526245E1
1.744875646E1,4.530937195E0,-6.153009415E1,-1.381604004E1
1.765004246E1,4.304687500E0,-6.115849686E1,-1.394287109E1
1.785132846E1,6.481994629E0,-6.110031891E1,-1.142669678E1
1.805261546E1,1.002535629E1,-6.057408142E1,-8.485778809E0
1.825390146E1,1.319459915E1,-6.023579407E1,-6.376800537E0
