"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.226407083E-1,5.531883836E-1,4.517882764E-1,6.940129399E-1
3.239287083E-1,2.660620511E-1,1.020925403E0,1.076037213E-1
5.252177083E-1,1.247135028E-1,2.788743675E-1,6.409276277E-2
7.265071667E-1,-1.195233837E-1,-2.447909415E-1,7.050734945E-3
9.277961667E-1,-3.300987780E-1,-1.363192499E-1,-8.341661096E-2
1.129084167E0,-6.628167033E-1,-6.975612640E-1,-6.218796968E-1
1.330372167E0,-6.089107990E-1,-1.067200184E0,-5.510769486E-1
1.531661167E0,2.186170518E-1,-3.980868161E-1,-4.060385004E-2
1.732949208E0,1.387286186E-1,6.862106174E-2,-7.677203976E-3
1.934237208E0,-5.220711827E-1,-7.136612535E-1,-3.075185716E-1
2.135526208E0,-8.304668069E-1,-7.834571600E-1,-6.821528077E-1
2.336814208E0,-1.111348152E0,-7.871757150E-1,-6.966539025E-1
2.538102208E0,-5.673453808E-1,-7.150759548E-2,-1.812777855E-2
2.739389792E0,-3.096720576E-1,3.756646812E-2,7.996875793E-2
2.940677792E0,3.164649606E-1,3.203141093E-1,4.841438532E-1
3.141965792E0,4.433857501E-1,3.226133287E-1,2.956154943E-1
3.343253792E0,3.281638920E-1,1.971257776E-1,3.926686570E-2
3.544540917E0,2.326525003E-1,-1.878853440E-1,-1.911109984E-1
3.745829917E0,2.231777273E-2,-2.460849583E-1,-4.735799134E-1
3.947117917E0,-1.351962090E-1,-3.501363844E-2,-2.339810431E-1
4.148405917E0,-6.635655463E-2,5.184786320E-1,9.356669337E-2
4.349693917E0,-2.531497180E-1,2.704684138E-1,4.232794642E-1
4.550984042E0,-3.460792303E-1,-2.550035715E-1,3.279846609E-1
4.752272042E0,1.147666648E-1,-1.619110815E-2,1.500835419E-1
4.953561042E0,2.186323404E-1,-9.812520444E-2,-3.448454663E-2
5.154849042E0,-1.133148298E-1,-3.112637401E-1,-7.176533341E-2
5.356137042E0,9.072916210E-2,2.402388304E-2,-4.409103692E-1
5.557426042E0,1.800438315E-1,-2.959970236E-1,-8.589696884E-1
5.758715042E0,3.745326400E-1,-1.629424840E-1,-8.405458331E-1
5.960003042E0,4.594472945E-1,-7.431614213E-3,-8.230100870E-1
6.161292042E0,1.122083217E-1,-2.166645676E-1,-5.834005475E-1
6.362581042E0,3.413666040E-2,-1.537248045E-1,-3.860590756E-1
6.563869667E0,-3.138463944E-2,-5.743511394E-2,-7.034946233E-2
6.765158667E0,-1.310577840E-1,1.308831424E-1,-4.097585753E-2
6.966447667E0,-3.872019947E-1,-8.909841627E-2,1.278155297E-1
7.167737667E0,-5.080034733E-1,-2.512440085E-1,2.709049359E-2
7.369026667E0,-2.087220103E-1,-1.271952391E-1,6.942138076E-2
7.570317167E0,-1.603877246E-1,1.636383981E-1,3.968112916E-2
7.771606167E0,-4.336483181E-1,-1.066629589E-2,2.389696613E-2
7.972896167E0,-1.881256551E-1,1.141154245E-1,-2.671660185E-1
8.174186167E0,1.899361610E-1,1.336237043E-1,-3.397841454E-1
8.375476167E0,4.251651764E-1,2.464590371E-1,-1.631599367E-1
8.576765917E0,4.800249934E-1,1.968506910E-2,-1.083206981E-1
8.778055917E0,7.770342827E-1,1.046230048E-1,8.073744923E-2
8.979345917E0,5.965020657E-1,2.848770618E-1,-4.910117760E-2
9.180636917E0,-3.741068393E-2,-1.719840616E-1,-1.138515696E-1
9.381926917E0,-3.302897885E-2,2.194965780E-1,-1.720040292E-1
9.583217333E0,-1.210432276E-1,7.217355072E-2,-7.151506841E-2
9.784508333E0,-2.188829929E-1,-2.019341290E-1,8.438431472E-2
9.985798333E0,5.858109519E-2,-8.148094267E-2,-9.671303630E-2
1.018708833E1,3.264517188E-1,8.210612833E-2,7.898703218E-2
1.038837933E1,3.858708441E-1,-2.063889802E-1,-1.792051494E-1
1.058966892E1,6.092055701E-3,7.956114411E-1,7.386694551E-1
1.079095892E1,-3.193685710E-1,8.759576678E-1,1.228738666E0
1.099224992E1,2.306000441E-1,-1.069023684E-1,4.296662807E-1
1.119353992E1,-1.518978029E-1,-9.233295918E-2,1.355887800E-1
1.139483092E1,1.997275045E-3,-5.281227827E-1,-7.010646164E-2
1.159612129E1,-8.031068444E-1,-1.223788187E-1,1.916767061E-1
1.179741229E1,-4.672072232E-1,-4.440783858E-1,4.886718988E-1
1.199870329E1,-3.239949346E-1,-2.297574580E-1,4.516156316E-1
1.219999429E1,2.744959295E-1,4.470923543E-1,4.197190404E-1
1.240128429E1,-5.158649292E-3,9.908470511E-1,7.167549133E-1
1.260257471E1,2.738896906E-1,1.085624576E0,1.177233815E0
1.280386571E1,1.265775710E-1,2.036315501E-1,9.084326625E-1
1.300515571E1,1.147461757E-1,4.125097394E-2,5.588817596E-1
1.320644671E1,2.551640272E-1,-5.826224387E-2,1.251107305E-1
1.340773771E1,1.422517747E-1,-4.397725761E-1,-9.082955122E-2
1.360902754E1,1.968231946E-1,-8.159052134E-1,-1.073408484E0
1.381031854E1,2.327609956E-1,-8.782498240E-1,-9.365029931E-1
1.401160854E1,2.349092960E-1,-1.410509199E-1,-2.966313958E-1
1.421289954E1,-1.128872707E-1,-3.608214557E-1,-3.504516184E-1
1.441419054E1,-1.439567804E-1,-8.365908861E-1,-8.270712495E-1
1.461548092E1,-1.789242476E-1,-2.528591156E-1,-3.268910050E-1
1.481677192E1,-1.548525691E-1,2.089177966E-1,1.603845321E-2
1.501806292E1,-3.717994392E-1,2.541393936E-1,-4.909358621E-1
1.521935392E1,-6.330097318E-1,1.338335425E-1,-8.696921468E-1
1.542064492E1,-6.961750984E-1,-1.395330876E-1,-7.068708539E-1
1.562193604E1,-5.453850627E-1,-4.314596951E-1,-2.748540044E-1
1.582322704E1,1.286391169E-1,-2.140590400E-1,-7.577577233E-2
1.602451804E1,-1.944873035E-1,-1.564237922E-1,-3.714505732E-1
1.622580804E1,-9.223870933E-2,1.485885531E-1,-1.821143776E-1
1.642709904E1,1.362813730E-2,4.158844650E-1,2.752332389E-1
1.662839029E1,-7.017057389E-2,4.570696652E-1,2.805188596E-1
1.682968129E1,-9.020559490E-2,5.303917527E-1,4.052764177E-1
1.703097229E1,-7.084761746E-3,2.442100495E-1,3.744379282E-1
1.723226329E1,2.896480262E-1,3.029549718E-1,3.380006552E-1
1.743355429E1,5.070289373E-1,6.240552068E-1,7.074163556E-1
1.763484596E1,4.972227812E-1,6.251681447E-1,8.762823939E-1
1.783613696E1,5.501772761E-1,3.671868742E-1,6.347652674E-1
1.803742796E1,2.111107558E-1,7.175802588E-1,4.304090738E-1
1.823871896E1,1.091364473E-1,-2.852565348E-1,-1.818353981E-1
1.844000996E1,9.467777796E-3,-1.084658056E-1,4.114569724E-2
1.864130004E1,2.598981559E-1,2.014808357E-1,3.157078028E-1
1.884259204E1,1.745091192E-2,-2.685235739E-1,-7.629720867E-2
1.904388304E1,-6.229459047E-1,-6.099724174E-1,-2.608438134E-1
1.924517504E1,-1.182253838E0,-6.943578720E-1,-9.498216957E-2
1.944646604E1,-8.446995020E-1,-2.285183817E-1,-2.476133034E-2
1.964775829E1,-7.212382555E-1,-1.603382230E-1,9.245390445E-2
1.984904929E1,-7.470282316E-1,8.393852040E-3,7.456796244E-3
2.005034129E1,-3.527705371E-1,9.691955894E-2,-1.730542183E-1
2.025163229E1,1.742178500E-1,8.369956911E-2,4.413870722E-2
2.045292429E1,1.915696710E-1,1.099213883E-1,3.149067238E-2
2.065421546E1,9.055909514E-2,-6.980404258E-3,-8.074359968E-3
2.085550746E1,6.983964890E-2,1.077025682E-1,-1.693580896E-1
2.105679846E1,-1.059976593E-2,-1.767278612E-1,-3.138158619E-1
