"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.539666661E-3,3.646417236E0,5.898184662E0,-6.989864502E0
2.025846667E-1,2.658022614E0,5.858217773E0,-8.240513763E0
4.026306667E-1,3.254083099E0,5.523513794E0,-7.201674042E0
6.026764167E-1,1.443448334E0,3.763773193E0,-8.134683838E0
8.027224167E-1,1.081351318E0,5.319787445E0,-9.966424713E0
1.002768417E0,1.895657959E0,3.976480865E0,-8.318202209E0
1.202814417E0,2.544109497E0,4.169729004E0,-9.591604156E0
1.402860417E0,2.129771118E0,5.455255737E0,-8.313711548E0
1.602906667E0,-7.466473389E-1,4.126319275E0,-6.882837067E0
1.802951667E0,6.127657471E0,8.524323578E0,-9.582473145E0
2.002997667E0,3.036585388E0,5.283113708E0,-5.842650146E0
2.203043667E0,4.646936646E0,5.689069519E0,-8.679401093E0
2.403089667E0,6.008505249E-1,7.127578125E0,-4.841232605E0
2.603135000E0,6.646927643E0,5.670657806E0,-8.338559875E0
2.803181000E0,5.050347748E0,6.462361450E0,-6.134543152E0
3.003226000E0,2.965183868E0,7.240892487E0,-5.833668823E0
3.203272000E0,1.246457977E0,7.718698883E0,-5.717360687E0
3.403318000E0,1.671424255E0,8.140222321E0,-5.173391876E0
3.603364417E0,4.840933228E-1,9.100924530E0,-4.504133606E0
3.803410417E0,-1.998194733E0,9.035959625E0,-3.560795288E0
4.003456417E0,-2.423310699E0,8.100854187E0,-4.690046997E0
4.203501417E0,-3.400478668E0,7.415579224E0,-5.370531921E0
4.403547417E0,-3.901786194E0,7.642657013E0,-5.595514069E0
4.603593167E0,-4.158801727E0,5.934259644E0,-6.090684357E0
4.803639167E0,-5.674699402E0,6.898105316E0,-5.888754272E0
5.003684167E0,-4.654570770E0,6.448141022E0,-4.214785309E0
5.203730167E0,-6.788084106E0,8.816366272E0,-4.924160156E0
5.403776167E0,-5.543422394E0,7.360793152E0,-3.805686035E0
5.603822000E0,-5.535339203E0,6.988217926E0,-3.762875061E0
5.803868000E0,-6.175707550E0,6.629114685E0,-3.965852966E0
6.003914000E0,-4.605921936E0,6.997648315E0,-3.874243469E0
6.203960000E0,-4.850962372E0,7.795339508E0,-3.910468140E0
6.404006000E0,-3.956422577E0,8.023016052E0,-4.064797211E0
6.604051250E0,-4.112098846E0,8.426427155E0,-3.585493927E0
6.804097250E0,-3.907324677E0,7.743846588E0,-4.591402130E0
7.004143250E0,-4.071982269E0,7.057074738E0,-4.848717041E0
7.204189250E0,-2.974314880E0,8.086933136E0,-4.880451050E0
7.404235250E0,-4.466861115E0,6.359076233E0,-4.815785522E0
7.604282750E0,-4.515509949E0,7.953261108E0,-4.946014709E0
7.804328750E0,-5.033133545E0,6.795718231E0,-5.289250946E0
8.004374750E0,-4.834197235E0,5.996829529E0,-5.301076355E0
8.204420750E0,-4.671036530E0,6.205794983E0,-6.053112488E0
8.404466750E0,-5.855972443E0,5.924978943E0,-4.918621674E0
8.604512250E0,-4.841382294E0,6.218219147E0,-6.263574829E0
8.804558250E0,-4.832101593E0,5.833818512E0,-6.033353577E0
9.004604250E0,-5.761668549E0,4.387226715E0,-7.214996338E0
9.204650250E0,-4.662354584E0,6.076014862E0,-5.316344604E0
9.404696250E0,-7.351213074E0,3.190465393E0,-7.070995789E0
9.604742792E0,-5.178481293E0,4.409680023E0,-5.902076569E0
9.804788792E0,-4.661007385E0,6.925049286E0,-5.497467957E0
1.000483479E1,-4.833299103E0,7.497159576E0,-4.892725525E0
1.020488079E1,-1.576521606E0,7.619754639E0,-6.326593781E0
1.040492679E1,-2.998265076E-1,8.437504120E0,-6.208339691E0
1.060497275E1,6.532415771E-1,1.028017227E1,-7.169191589E0
1.080501875E1,2.070494385E0,7.996820526E0,-8.635242920E0
1.100506475E1,6.771917725E-1,6.379733276E0,-7.373367004E0
1.120511075E1,3.126248932E0,4.486470337E0,-3.633394318E0
1.140515675E1,3.448379059E0,6.723268890E0,-4.736749878E0
1.160520262E1,4.467160492E0,7.313940582E0,-4.407285004E0
1.180524763E1,5.187612305E0,8.425828400E0,-3.879632263E0
1.200529362E1,4.328399048E0,7.888894958E0,-3.922293549E0
1.220533962E1,4.413122864E0,7.699389038E0,-4.213887177E0
1.240538562E1,3.375181274E0,7.739056549E0,-4.788542175E0
1.260543125E1,4.858147430E0,8.359067230E0,-4.259093170E0
1.280547725E1,3.894601135E0,7.709418182E0,-5.301375732E0
1.300552325E1,3.772754517E0,7.261250153E0,-6.164331207E0
1.320557025E1,2.749183044E0,6.022126923E0,-6.981332245E0
1.340561525E1,1.668580170E0,5.924679565E0,-5.518274689E0
1.360566188E1,7.147786102E0,9.541308746E0,-1.036235138E1
1.380570787E1,3.494632874E0,6.277346191E0,-6.696624298E0
1.400575387E1,3.508254547E0,7.231911163E0,-5.334906006E0
1.420579987E1,1.738784180E0,9.102271729E0,-4.287534027E0
1.440584688E1,1.833088074E0,9.029523010E0,-3.054548035E0
1.460589350E1,2.445464630E0,9.446256409E0,-3.201991425E0
1.480593950E1,1.651815033E0,9.888137512E0,-3.076103210E0
1.500598550E1,1.617236938E0,9.882599030E0,-2.600093079E0
1.520603250E1,1.012045441E0,9.739197235E0,-2.287992096E0
1.540607950E1,7.023394775E-1,9.643695831E0,-2.415077820E0
1.560612450E1,2.990780640E-1,9.664801941E0,-2.317031708E0
1.580617150E1,5.980064392E-1,9.889185333E0,-2.050585785E0
1.600621850E1,3.513194275E-1,9.469308472E0,-1.716330872E0
1.620626550E1,6.873706055E-1,9.629325714E0,-1.994003448E0
1.640631250E1,4.384382629E-1,9.618548126E0,-2.849923553E0
1.660635892E1,9.683363342E-1,9.497599640E0,-2.421215057E0
1.680640592E1,1.148411865E0,9.948013000E0,-3.347488861E0
1.700645292E1,7.610174561E-1,8.977880402E0,-2.176623688E0
1.720650092E1,8.047265625E-1,8.913364563E0,-3.483555908E0
1.740654792E1,1.206640778E0,9.056766357E0,-4.425247650E0
1.760659567E1,9.924362183E-1,7.807314606E0,-5.497018890E0
1.780664267E1,3.866459656E-1,7.439978485E0,-6.775809631E0
1.800668967E1,-6.846762085E-1,7.314090271E0,-7.238647156E0
1.820673667E1,-1.389410706E0,6.172713776E0,-6.890471191E0
1.840678367E1,-2.654280396E0,5.529651031E0,-7.236102448E0
1.860682929E1,-2.142794037E0,4.964875488E0,-6.725364532E0
1.880687629E1,-3.798800354E0,5.924529877E0,-7.794591064E0
1.900692329E1,-3.191513214E0,5.438939667E0,-8.283025360E0
1.920697129E1,-3.864364014E0,4.559368744E0,-5.988147583E0
1.940701829E1,-1.925895081E0,6.025719452E0,-7.720944214E0
1.960706762E1,-2.791694641E0,5.254972229E0,-7.995024261E0
1.980711463E1,-2.230361938E0,6.465504913E0,-5.924529877E0
2.000716162E1,-2.049837341E0,4.462370453E0,-6.921157379E0
2.020720862E1,-1.715283051E0,6.534361725E0,-5.705684967E0
2.040725563E1,-2.369123383E0,6.840325470E0,-3.984414368E0
2.060730167E1,-1.799108734E0,8.732839966E0,-3.223546600E0
2.080734967E1,-8.029302979E-1,9.912087708E0,-2.761457520E0
2.100739567E1,-1.821112976E0,9.949509888E0,-2.928959198E0
2.120744367E1,-7.348219299E-1,1.068148773E1,-1.711540833E0
2.140748967E1,-5.584886169E-1,9.823172607E0,-3.200943604E0
2.160753812E1,-5.206173706E-1,8.659941559E0,-4.723577271E0
2.180758412E1,2.932402039E0,8.766968994E0,-3.656446381E0
2.200763212E1,1.281185760E0,6.612349548E0,-5.581293640E0
2.220767812E1,2.588716736E0,7.166497192E0,-6.355483704E0
2.240772512E1,4.242627411E0,6.372847595E0,-5.008734283E0
2.260777192E1,4.078568573E0,5.392835541E0,-6.732848969E0
2.280781892E1,4.652026062E0,6.804250488E0,-7.024292908E0
2.300786592E1,4.604275360E0,6.563251648E0,-6.095624084E0
2.320791292E1,4.920417938E0,5.942642212E0,-6.875801697E0
2.340795992E1,2.008223877E0,5.730832672E0,-5.148094482E0
2.360800762E1,3.896247711E0,6.882986755E0,-5.557493134E0
2.380805462E1,4.628075867E0,6.710545349E0,-4.727768555E0
2.400810162E1,3.411256256E0,7.677235107E0,-5.707481232E0
2.420814963E1,3.412453766E0,8.378676453E0,-4.733756104E0
2.440819662E1,3.629352722E0,8.854237518E0,-4.443359985E0
2.460824287E1,3.117117920E0,8.173602905E0,-4.171674957E0
