"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.835247083E-1,-7.794996276E-2,-1.840949070E-1,-6.895820224E-1
3.848377083E-1,4.020544021E-1,1.384603125E-1,6.351532155E-1
5.861517083E-1,-1.454038811E-1,-3.284217310E-1,1.029226899E0
7.874645833E-1,1.342240047E0,3.904507488E-1,-1.203041232E-1
9.887785833E-1,-4.271516749E-1,-1.369934800E0,3.210250032E-1
1.190092583E0,-1.025296108E0,1.776840198E-1,1.092283821E-1
1.391405583E0,3.690110555E-1,3.023127437E-2,1.654411197E-1
1.592719583E0,-2.648661514E-1,3.041663110E-2,-6.052311858E-1
1.794032750E0,6.255437551E-1,1.090265983E-1,-5.233444389E-1
1.995346750E0,2.192384273E-2,3.215547609E-1,1.002025652E-1
2.196659750E0,-1.341854131E-1,9.635275841E-2,1.570035875E-1
2.397973750E0,-3.127915388E-1,2.289290178E-1,-2.391676386E-1
2.599286750E0,4.009225273E-1,2.903317988E-2,1.766291821E-1
2.800601958E0,-5.065349364E-1,2.629346699E-1,-1.762748408E-1
3.001914958E0,2.342160702E-2,-3.426427442E-1,-7.102870131E-1
3.203228958E0,5.892720146E-1,-9.627966821E-2,1.665857706E0
3.404541958E0,2.702667859E-1,-1.261840832E-1,1.732013981E-1
3.605855958E0,-2.020946833E-1,-5.566198468E-2,-8.359600496E-1
3.807168833E0,-7.462275088E-2,-2.779327780E-1,-6.979107964E-1
4.008482833E0,4.656713775E-1,-3.995437539E-1,-3.386379862E-1
4.209795833E0,6.297647139E-1,-9.224409539E-1,1.265208828E-1
4.411109833E0,-9.134666473E-3,-2.040754277E-1,-6.998371616E-2
4.612422833E0,1.476682153E-1,1.822998118E-1,1.719426388E-1
4.813736958E0,-2.331980699E-1,6.353830111E-1,-5.692664972E-1
5.015049958E0,-2.393089950E-2,1.662228924E-1,2.169530430E-1
5.216363958E0,4.490854579E-1,-6.194399929E-1,-1.100194556E-1
5.417677958E0,-1.577160707E-1,-1.365184522E-1,-1.058930755E-2
5.618989583E0,-2.618947425E-1,4.577264732E-1,1.410465360E-1
5.820303583E0,8.571433425E-3,-1.213823497E-1,-3.155145141E-1
6.021617583E0,-2.167573075E-1,4.738109940E-1,-1.873629159E-1
6.222931583E0,-2.937670380E-2,-6.784454155E-1,7.861230612E-2
6.424245583E0,3.176056977E-1,1.234896863E-1,7.240851264E-1
6.625560708E0,6.496417388E-2,1.851134920E-1,-2.965437345E-1
6.826873708E0,-1.016678190E0,8.489133865E-1,-3.728909755E-1
7.028187708E0,7.971935215E-1,4.791535950E-1,-3.766970012E-1
7.229501708E0,-1.365898759E0,-4.955573738E-1,2.151989368E0
7.430814708E0,-1.519764438E0,8.598576200E-1,-6.866233313E-1
7.632128458E0,-4.313771653E-1,9.180590504E-1,-1.090163072E0
7.833441458E0,4.377044374E-1,1.844359167E0,4.974372536E-1
8.034755458E0,7.570998216E-1,-7.818616104E-1,2.309498155E-1
8.236068458E0,5.127417558E-1,2.232712519E-1,-2.187995937E-1
8.437382458E0,-1.042519082E0,-6.173490286E-2,-8.122951984E-3
8.638695208E0,-8.141233304E-1,3.882749999E-1,1.635898912E-1
8.840009208E0,-5.667182806E-1,-8.376189047E-1,6.296727665E-1
9.041322208E0,-2.945950037E-1,9.931086481E-2,-2.109570158E-1
9.242635208E0,-2.891711265E-2,-1.872916383E0,4.294885147E-1
9.443949208E0,5.274872277E-1,6.458559591E-1,1.835777939E-1
9.645262583E0,-3.129166692E-2,-1.099269526E0,-5.335619366E-1
9.846575583E0,5.787012720E-1,1.350975788E-1,-1.425081937E-1
1.004788858E1,3.285872437E-1,-3.602545577E-1,4.089615718E-2
1.024920158E1,6.409425437E-3,5.980742669E-1,6.319968885E-1
1.045051558E1,-2.240783723E0,-1.099329168E-1,1.861542964E-1
1.065182800E1,-6.097941336E-1,-1.467288601E-1,-3.600013733E-1
1.085314100E1,-1.118673584E0,9.695227343E-1,2.762234907E-1
1.105445400E1,6.537973550E-1,-2.292435980E-1,4.465886968E-1
1.125576700E1,1.026040075E-1,-9.013260734E-1,3.300248913E-1
1.145708000E1,-9.144170025E-2,1.455839753E-1,-3.490026145E-1
1.165839362E1,8.970277852E-1,-2.499392331E-2,4.586993037E-1
1.185970662E1,1.234057056E-1,-1.596927220E-1,-8.144396648E-2
1.206101962E1,-3.868319070E-1,-5.864640355E-2,-4.285903823E-1
1.226233263E1,8.150312568E-1,-4.903363949E-1,-8.391119912E-2
1.246364563E1,1.125472069E-1,-4.095343065E-1,-6.184360260E-1
1.266495837E1,3.408353698E-1,1.405308115E-1,7.521638945E-2
1.286627137E1,-1.868185401E-1,-2.594485599E-1,2.416753632E-1
1.306758537E1,-6.933520147E-1,3.004240930E-2,-2.082203726E-1
1.326889837E1,-4.318133676E-1,8.610668242E-2,2.312702429E-1
1.347021137E1,-3.656907141E-2,5.782919669E-1,8.467820764E-2
1.367152462E1,5.918993148E-1,-4.008301413E-1,1.239475232E-1
1.387283863E1,-1.157970893E-1,5.048942077E-1,2.247365642E-1
1.407415262E1,5.336987615E-1,5.779013729E-1,1.449314260E-1
1.427546662E1,-1.718724722E-1,-3.229826510E-1,-1.130734563E-2
1.447678063E1,-3.541219980E-2,-2.771948594E-1,1.156760520E-1
1.467809533E1,-2.185931870E-1,3.441606814E-1,-5.791287035E-2
1.487940933E1,6.779638973E-1,-2.284144628E-1,-4.546210170E-4
1.508072333E1,3.157078376E-1,8.913787901E-2,-2.994271427E-1
1.528203633E1,-1.197673488E-1,-2.115434915E-1,-2.130146509E-1
1.548335033E1,-2.831651589E-1,1.746563315E-3,-4.525715679E-2
1.568466425E1,2.931115651E-1,2.632597750E-1,7.237098813E-2
1.588597825E1,5.429636747E-2,4.777356452E-1,3.212974834E-1
1.608729125E1,-2.254619113E-1,2.141501802E-1,-2.994145712E-1
1.628860525E1,-2.556241885E-1,-3.314669609E-2,2.125202689E-1
1.648991825E1,-2.293231201E-1,1.532292098E-1,-3.501423830E-1
1.669123146E1,-4.476069894E-1,2.171468782E-1,-2.222631919E-1
1.689254546E1,1.713701963E-2,-3.313599569E-1,-5.337923169E-1
1.709385846E1,-8.203259837E-2,-5.835597235E-1,4.355741505E-1
1.729517146E1,4.837714701E-1,2.075510126E-1,2.331990932E-1
1.749648446E1,-9.530720316E-2,2.712593508E-1,-2.023243327E-1
1.769779883E1,-2.122258615E-1,-1.542530572E-1,-4.815024215E-1
1.789911183E1,-7.162573857E-1,5.430730176E-1,-4.865501766E-1
1.810042483E1,5.920305848E-3,-3.742393434E-2,6.488596737E-2
1.830173783E1,-6.332653689E-1,3.453429884E-1,1.306991716E0
1.850305183E1,-6.016378525E-1,-2.418940490E-1,-8.489864767E-1
1.870436446E1,6.823437542E-2,8.470405233E-1,-3.592330492E-1
1.890567746E1,-7.557672411E-2,5.382034564E-1,-9.146390140E-2
1.910699146E1,-2.142712176E-3,2.499813330E-1,-2.634065402E-1
1.930830446E1,-1.424374424E-1,3.343759507E-1,-2.546171518E-1
1.950961746E1,1.744614731E-1,3.711099136E-1,1.988257974E-2
1.971092937E1,6.208418629E-1,-6.415950930E-1,1.969225287E-2
1.991224237E1,7.442745388E-2,4.991066337E-2,-2.817942792E-1
2.011355537E1,5.081990540E-2,-9.873725295E-2,-4.893727738E-1
2.031486837E1,-4.048112181E-1,3.523567235E-1,1.864910960E-1
2.051618237E1,-4.125497156E-1,-4.788641578E-1,-8.123981094E-1
2.071749671E1,-1.811322691E-1,3.946853024E-1,-7.279228002E-2
2.091880971E1,-1.751819962E-1,1.437725079E-1,-6.087904590E-1
2.112012371E1,4.239460851E-1,-3.743212044E-2,1.115505490E-1
2.132143771E1,-9.162879288E-2,-2.034012437E-1,-1.573982745E-1
2.152275171E1,-2.655527607E-1,4.597922945E-1,3.684564471E-2
2.172406412E1,1.770589525E-1,-6.563710070E-1,2.329074633E-1
2.192537813E1,2.970677912E-3,-5.220967162E-1,3.079453665E-1
2.212669212E1,-3.374457389E-2,-3.528934979E-1,4.466068232E-1
2.232800612E1,3.718098253E-2,-1.040545939E0,-1.084956712E-1
2.252932013E1,7.850062430E-2,-5.672477460E-1,-1.069976145E-1
2.273063346E1,-1.235809028E-2,5.040896308E-1,-7.606396528E-1
2.293194746E1,2.205862105E-1,-3.258436936E-1,6.024865758E-1
2.313326146E1,-2.820492178E-2,-7.178422004E-1,-6.545572007E-1
2.333457546E1,1.021026179E-1,7.381630290E-1,2.313491803E-1
2.353588946E1,-2.270421213E-1,2.904177529E-1,-6.285873314E-2
2.373720496E1,5.607433033E-1,6.025310147E-1,2.949229960E-1
2.393851896E1,-4.306050405E-1,-7.108752429E-2,8.622187257E-2
2.413983196E1,1.078188559E-1,4.081988025E-1,1.544623876E-1
2.434114596E1,2.602540138E-1,2.451322371E-1,-7.437295783E-1
2.454245996E1,8.519919455E-2,-4.842827725E-1,2.737292147E-1
2.474377346E1,-1.007905027E0,-1.720864803E-1,2.137490612E-1
2.494508746E1,1.368742552E-1,1.315383786E-1,-2.118171412E-1
2.514640046E1,4.162925184E-2,8.169788182E-2,1.805123180E-1
2.534771446E1,-2.628340977E-1,2.132128716E-2,8.440689683E-2
2.554902846E1,-6.283204517E-1,4.360005587E-1,1.351081038E-1
2.575034183E1,3.541851479E-1,2.723633051E-2,3.430795312E-2
2.595165483E1,3.445612156E-1,9.115341425E-2,2.765659913E-3
2.615296883E1,-3.311181745E-1,1.208490837E-1,-8.943316340E-1
2.635428283E1,-5.406934932E-1,3.950495839E-2,1.107018165E-1
