"Time (s)","Distance (cm)"
2.066836667E-1,5.000000000E0
4.066836667E-1,5.000000000E0
6.066836667E-1,5.000000000E0
8.066836667E-1,5.000000000E0
1.006683667E0,5.000000000E0
1.206683667E0,5.000000000E0
1.406683667E0,5.000000000E0
1.606683667E0,5.000000000E0
1.806683667E0,5.000000000E0
2.006683667E0,5.000000000E0
2.206683667E0,5.000000000E0
2.406683667E0,5.000000000E0
2.606683667E0,5.000000000E0
2.806683667E0,5.000000000E0
3.006683667E0,5.000000000E0
3.206683667E0,5.000000000E0
3.406683667E0,5.000000000E0
3.606683667E0,5.000000000E0
3.806683667E0,5.000000000E0
4.006683667E0,5.000000000E0
4.206683667E0,5.000000000E0
4.406683667E0,5.000000000E0
4.606683667E0,5.000000000E0
4.806683667E0,5.000000000E0
5.006683667E0,5.000000000E0
5.206683667E0,5.000000000E0
5.406683667E0,5.000000000E0
5.606683667E0,5.000000000E0
5.806683667E0,5.000000000E0
6.006683667E0,5.000000000E0
6.206683667E0,5.000000000E0
6.406683667E0,5.000000000E0
6.606683667E0,5.000000000E0
6.806683667E0,5.000000000E0
7.006683667E0,5.000000000E0
7.206683667E0,5.000000000E0
7.406683667E0,5.000000000E0
7.606683667E0,5.000000000E0
7.806683667E0,5.000000000E0
8.006683667E0,5.000000000E0
8.206683667E0,5.000000000E0
8.406683667E0,5.000000000E0
8.606683667E0,5.000000000E0
8.806683667E0,5.000000000E0
9.006683667E0,5.000000000E0
9.206683667E0,5.000000000E0
9.406683667E0,5.000000000E0
9.606683667E0,5.000000000E0
9.806683667E0,5.000000000E0
1.000668367E1,5.000000000E0
1.020668367E1,5.000000000E0
1.040668367E1,5.000000000E0
1.060668367E1,5.000000000E0
1.080668367E1,5.000000000E0
1.100668367E1,5.000000000E0
1.120668367E1,5.000000000E0
1.140668367E1,5.000000000E0
1.160668367E1,5.000000000E0
1.180668367E1,5.000000000E0
1.200668367E1,5.000000000E0
1.220668367E1,5.000000000E0
1.240668367E1,5.000000000E0
1.260668367E1,5.000000000E0
1.280668367E1,5.000000000E0
1.300668367E1,5.000000000E0
1.320668367E1,5.000000000E0
1.340668367E1,5.000000000E0
1.360668367E1,5.000000000E0
1.380668367E1,5.000000000E0
1.400668367E1,5.000000000E0
1.420668367E1,5.000000000E0
1.440668367E1,5.000000000E0
1.460668367E1,5.000000000E0
1.480668367E1,5.000000000E0
1.500668367E1,5.000000000E0
1.520668367E1,5.000000000E0
1.540668367E1,5.000000000E0
1.560668367E1,5.000000000E0
1.580668367E1,5.000000000E0
1.600668367E1,5.000000000E0
1.620668367E1,5.000000000E0
1.640668367E1,5.000000000E0
1.660668367E1,5.000000000E0
1.680668367E1,5.000000000E0
1.700668367E1,5.000000000E0
1.720668367E1,5.000000000E0
1.740668367E1,5.000000000E0
1.760668367E1,5.000000000E0
1.780668367E1,0.000000000E0
1.800668367E1,0.000000000E0
1.820668367E1,0.000000000E0
1.840668367E1,0.000000000E0
1.860668367E1,0.000000000E0
1.880668367E1,0.000000000E0
1.900668367E1,0.000000000E0
1.920668367E1,0.000000000E0
1.940668367E1,0.000000000E0
1.960668367E1,0.000000000E0
1.980668367E1,0.000000000E0
2.000668367E1,0.000000000E0
2.020668367E1,0.000000000E0
2.040668367E1,0.000000000E0
2.060668367E1,0.000000000E0
2.080668367E1,0.000000000E0
2.100668367E1,0.000000000E0
2.120668367E1,0.000000000E0
2.140668367E1,0.000000000E0
2.160668367E1,0.000000000E0
2.180668367E1,0.000000000E0
2.200668367E1,0.000000000E0
2.220668367E1,0.000000000E0
2.240668367E1,0.000000000E0
2.260668367E1,0.000000000E0
2.280668367E1,0.000000000E0
2.300668367E1,0.000000000E0
2.320668367E1,0.000000000E0
2.340668367E1,0.000000000E0
2.360668367E1,0.000000000E0
2.380668367E1,0.000000000E0
2.400668367E1,0.000000000E0
2.420668367E1,0.000000000E0
2.440668367E1,0.000000000E0
2.460668367E1,0.000000000E0
2.480668367E1,0.000000000E0
2.500668367E1,0.000000000E0
2.520668367E1,0.000000000E0
2.540668367E1,0.000000000E0
2.560668367E1,0.000000000E0
2.580668367E1,0.000000000E0
2.600668367E1,0.000000000E0
2.620668367E1,0.000000000E0
2.640668367E1,0.000000000E0
2.660668367E1,0.000000000E0
2.680668367E1,0.000000000E0
2.700668367E1,0.000000000E0
2.720668367E1,0.000000000E0
2.740668367E1,0.000000000E0
2.760668367E1,0.000000000E0
2.780668367E1,0.000000000E0
2.800668367E1,0.000000000E0
2.820668367E1,0.000000000E0
2.840668367E1,0.000000000E0
2.860668367E1,0.000000000E0
2.880668367E1,0.000000000E0
2.900668367E1,0.000000000E0
2.920668367E1,0.000000000E0
2.940668367E1,0.000000000E0
2.960668367E1,0.000000000E0
2.980668367E1,0.000000000E0
3.000668367E1,0.000000000E0
3.020668367E1,0.000000000E0
3.040668367E1,0.000000000E0
3.060668367E1,0.000000000E0
3.080668367E1,0.000000000E0
3.100668367E1,0.000000000E0
3.120668367E1,0.000000000E0
3.140668367E1,0.000000000E0
3.160668367E1,0.000000000E0
3.180668367E1,0.000000000E0
3.200668367E1,0.000000000E0
3.220668367E1,0.000000000E0
3.240668367E1,0.000000000E0
3.260668367E1,0.000000000E0
3.280668367E1,0.000000000E0
3.300668367E1,0.000000000E0
3.320668367E1,0.000000000E0
3.340668367E1,0.000000000E0
3.360668367E1,0.000000000E0
3.380668367E1,0.000000000E0
3.400668367E1,0.000000000E0
3.420668367E1,0.000000000E0
3.440668367E1,0.000000000E0
3.460668367E1,0.000000000E0
3.480668367E1,0.000000000E0
3.500668367E1,0.000000000E0
3.520668367E1,0.000000000E0
3.540668367E1,0.000000000E0
3.560668367E1,0.000000000E0
3.580668367E1,0.000000000E0
3.600668367E1,0.000000000E0
3.620668367E1,0.000000000E0
3.640668367E1,0.000000000E0
3.660668367E1,0.000000000E0
3.680668367E1,0.000000000E0
3.700668367E1,0.000000000E0
3.720668367E1,0.000000000E0
3.740668367E1,0.000000000E0
3.760668367E1,0.000000000E0
3.780668367E1,0.000000000E0
3.800668367E1,0.000000000E0
3.820668367E1,0.000000000E0
3.840668367E1,0.000000000E0
3.860668367E1,0.000000000E0
3.880668367E1,0.000000000E0
3.900668367E1,0.000000000E0
