"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.146028750E-1,-5.309200287E0,-5.999912262E1,1.514846802E1
4.158865833E-1,-2.515312195E0,-5.968687057E1,1.537475586E1
6.171695833E-1,8.684806824E-1,-5.867138672E1,1.651522827E1
8.184525833E-1,3.032760620E0,-5.759370804E1,1.689593506E1
1.019735583E0,3.310062408E0,-5.803288651E1,1.241744995E1
1.221018583E0,3.344947815E0,-5.904781342E1,7.015777588E0
1.422301333E0,3.426418304E0,-5.968360138E1,4.406036377E0
1.623585333E0,4.239799500E0,-5.989891434E1,3.262023926E0
1.824868333E0,5.103504181E0,-5.982684326E1,2.063507080E0
2.026152333E0,5.786659241E0,-6.015093613E1,1.758422852E-1
2.227435333E0,5.755882263E0,-6.034120178E1,-8.826599121E-1
2.428719125E0,3.662776947E0,-6.061910248E1,1.068145752E0
2.630002125E0,3.197845459E0,-6.066611481E1,1.808532715E0
2.831286125E0,2.118850708E0,-6.087800980E1,1.968139648E0
3.032569125E0,2.277805328E0,-6.084872818E1,3.246887207E0
3.233853125E0,1.380966187E0,-6.061009598E1,6.243011475E0
3.435136708E0,-7.325134277E-1,-6.051344681E1,7.921783447E0
3.636420708E0,7.475318909E-1,-6.041613388E1,6.936981201E0
3.837703708E0,2.541389465E0,-6.060333252E1,5.106384277E0
4.038987708E0,1.757572174E0,-6.082196045E1,3.089263916E0
4.240271708E0,-2.951160431E0,-6.086853409E1,-6.195068359E-3
4.441557083E0,-6.873565674E0,-6.062890625E1,-2.105621338E0
4.642840083E0,-1.002190399E1,-5.994415283E1,-2.688476562E0
4.844124083E0,-1.063146973E1,-5.964178467E1,-1.637054443E0
5.045408083E0,-1.020289993E1,-5.955076218E1,-4.589843750E-1
5.246692083E0,-9.787273407E0,-5.930247879E1,8.043823242E-1
5.447974583E0,-1.004171753E1,-5.929552460E1,2.635803223E-1
5.649258583E0,-9.529186249E0,-5.920878983E1,1.292083740E0
5.850542583E0,-8.176902771E0,-5.921516037E1,6.889953613E-1
6.051826583E0,-4.260284424E0,-5.888586044E1,3.244323730E-1
6.253111583E0,4.747047424E-1,-5.803895569E1,1.693756104E0
6.454396333E0,6.418704987E0,-5.708173752E1,2.340545654E0
6.655680333E0,1.240615463E1,-5.543416595E1,1.506408691E0
6.856964333E0,1.718764114E1,-5.382945633E1,-8.664245605E-1
7.058248333E0,2.013073349E1,-5.231025696E1,-1.628112793E0
7.259532333E0,2.241917801E1,-5.110173035E1,-3.727844238E0
7.460816625E0,2.289810562E1,-5.047632599E1,-3.660369873E0
7.662100625E0,2.398720932E1,-5.003542328E1,-1.646911621E0
7.863384625E0,2.445671463E1,-4.999745178E1,-1.153564453E-1
8.064668625E0,2.429251480E1,-4.986521530E1,-1.130065918E-1
8.265952625E0,2.474354935E1,-4.944399261E1,-1.885589600E0
8.467237708E0,2.529194260E1,-4.897204590E1,-3.282501221E0
8.668521708E0,2.591657639E1,-4.845511627E1,-3.667755127E0
8.869805708E0,2.525266647E1,-4.876885223E1,-2.135955811E0
9.071090708E0,2.550061417E1,-4.848073959E1,-3.038177490E0
9.272374708E0,2.708814621E1,-4.743314743E1,-2.451293945E0
9.473659833E0,2.772170639E1,-4.704397583E1,-1.926727295E0
9.674943833E0,2.766159439E1,-4.707178116E1,-2.898193359E0
9.876228833E0,2.766936874E1,-4.693207169E1,-5.735595703E0
1.007751283E1,2.590935135E1,-4.685240173E1,-1.103408813E1
1.027879783E1,2.023059464E1,-4.744541931E1,-1.834347534E1
1.048008271E1,1.618997574E1,-4.687044525E1,-2.329418945E1
1.068136671E1,1.388836288E1,-4.632101822E1,-2.622045898E1
1.088265171E1,1.356070328E1,-4.623622894E1,-2.635620117E1
1.108393671E1,1.421969986E1,-4.642649078E1,-2.532962036E1
1.128522171E1,1.359605789E1,-4.684654999E1,-2.516293335E1
1.148650646E1,1.326987839E1,-4.774608231E1,-2.285968018E1
1.168779246E1,1.176223373E1,-4.859991455E1,-2.202212524E1
1.188907746E1,1.177709579E1,-4.932423401E1,-2.072882080E1
1.209036246E1,1.006557083E1,-4.997964096E1,-1.975335693E1
1.229164746E1,8.808994293E0,-5.018518829E1,-1.991519165E1
1.249293171E1,9.250797272E0,-5.023095703E1,-1.893481445E1
1.269421671E1,9.314197540E0,-5.039302063E1,-1.860183716E1
1.289550171E1,8.839725494E0,-5.068506241E1,-1.784097290E1
1.309678671E1,8.396831512E0,-5.094882965E1,-1.683126831E1
1.329807171E1,8.202075958E0,-5.186582565E1,-1.430514526E1
1.349935637E1,8.790431976E0,-5.234855652E1,-1.171484375E1
1.370064138E1,8.660526276E0,-5.222900009E1,-1.026776123E1
1.390192537E1,8.079334259E0,-5.269589996E1,-9.327941895E0
1.410321038E1,7.808109283E0,-5.298423767E1,-6.961547852E0
1.430449537E1,5.118316650E0,-5.355138779E1,-4.879241943E0
1.450578058E1,1.824851990E0,-5.404283142E1,-3.508728027E0
1.470706558E1,-2.264938354E-1,-5.407410431E1,-1.652679443E0
1.490835058E1,-1.229709625E0,-5.406858826E1,4.578857422E-1
1.510963558E1,-1.722324371E0,-5.387297058E1,3.333801270E0
1.531092058E1,-4.072616577E0,-5.308243179E1,6.948608398E0
1.551220463E1,-5.350921631E0,-5.270636368E1,9.408264160E0
1.571348962E1,-4.336570740E0,-5.245434952E1,1.037960815E1
1.591477462E1,-9.036178589E-1,-5.263854218E1,1.124932861E1
1.611605862E1,3.454208374E-1,-5.216303635E1,1.236782837E1
1.631734363E1,-5.205535889E-2,-5.193958282E1,1.334967041E1
1.651862746E1,-7.493438721E-1,-5.191434097E1,1.366046143E1
1.671991246E1,-1.016025543E0,-5.200661469E1,1.271621704E1
1.692119746E1,-1.107387543E0,-5.174868393E1,1.305621338E1
1.712248246E1,-1.353202820E0,-5.222187805E1,1.194128418E1
