"Time (s)","X (hPa)"
-5.167435000E-1,1.017152557E3
5.113985000E-1,1.016894913E3
1.539579500E0,1.016637268E3
2.567726500E0,1.016516113E3
3.596006500E0,1.015519638E3
4.624232500E0,1.015519638E3
4.768748500E0,1.015855789E3
5.720774500E0,1.015855789E3
6.672891500E0,1.015855789E3
7.624914500E0,1.016089325E3
8.576986500E0,1.016089325E3
9.529040500E0,1.016088257E3
1.048111250E1,1.016027145E3
1.143325950E1,1.016027145E3
1.238535350E1,1.016113434E3
1.333750650E1,1.016230087E3
1.428969450E1,1.016391296E3
1.524191150E1,1.016391296E3
1.619398750E1,1.016391296E3
1.714608650E1,1.016350479E3
1.809825850E1,1.016126175E3
1.905047750E1,1.015787354E3
2.000280150E1,1.015778351E3
2.095496050E1,1.015768433E3
2.190721750E1,1.015768433E3
2.285938350E1,1.015850677E3
2.381169150E1,1.015968552E3
2.476394050E1,1.015984268E3
2.571621550E1,1.016023407E3
2.666851350E1,1.016023407E3
2.762075750E1,1.016003723E3
2.857308050E1,1.015890503E3
2.952545050E1,1.015890503E3
3.047773450E1,1.015936127E3
3.143001150E1,1.015946579E3
3.238235950E1,1.016084213E3
3.333447150E1,1.016199875E3
3.428668750E1,1.016199875E3
3.523896850E1,1.016154556E3
3.619114750E1,1.016129303E3
3.714327350E1,1.016068039E3
3.809532950E1,1.016068039E3
3.904747250E1,1.016126251E3
3.999972850E1,1.016126251E3
4.095193050E1,1.016104584E3
4.190415550E1,1.016061935E3
4.285639850E1,1.015938644E3
4.380844450E1,1.015938644E3
4.476054050E1,1.015938644E3
4.571270650E1,1.016280975E3
4.666486050E1,1.016280975E3
4.761695150E1,1.016111755E3
4.856904650E1,1.016018143E3
4.952104250E1,1.016010284E3
5.047309550E1,1.015599747E3
5.142519150E1,1.015599747E3
5.237729150E1,1.015693283E3
5.332947950E1,1.015722885E3
5.428161850E1,1.016062088E3
5.523367250E1,1.016062088E3
5.618548250E1,1.015869293E3
5.713738350E1,1.015869293E3
5.808926450E1,1.015818863E3
5.904132050E1,1.015530930E3
5.999329150E1,1.015530930E3
6.094526350E1,1.015762634E3
6.189725850E1,1.015762634E3
6.284929350E1,1.015762634E3
6.380141950E1,1.015839920E3
6.475336950E1,1.015907593E3
6.570542950E1,1.015926895E3
6.665743150E1,1.015926895E3
6.760951550E1,1.015913467E3
6.856160750E1,1.015743179E3
6.951367050E1,1.015743179E3
7.046578350E1,1.015736542E3
7.141791950E1,1.015804214E3
7.237005250E1,1.015804214E3
7.332213350E1,1.016314774E3
7.427424450E1,1.016314774E3
7.522618650E1,1.015812531E3
7.617808750E1,1.015812531E3
7.712996550E1,1.015804977E3
7.808188050E1,1.015748749E3
7.903394350E1,1.015748749E3
7.998590150E1,1.016085281E3
8.093787650E1,1.016085281E3
8.188973850E1,1.015790634E3
8.284156050E1,1.015612946E3
8.379343950E1,1.015330963E3
8.474531850E1,1.015330963E3
8.569709150E1,1.015415192E3
8.664891150E1,1.015631714E3
8.760086750E1,1.015631714E3
8.855278950E1,1.015631714E3
8.950474850E1,1.015605698E3
9.045683350E1,1.015605698E3
9.140878650E1,1.015509338E3
9.236082250E1,1.015497894E3
9.331286550E1,1.015477753E3
9.426495850E1,1.015455093E3
9.521703650E1,1.015455093E3
9.616919250E1,1.015586624E3
9.712133650E1,1.015629807E3
9.807348150E1,1.015729675E3
9.902543950E1,1.015796204E3
9.997757550E1,1.016160889E3
1.009297125E2,1.016160889E3
1.018817135E2,1.015719376E3
1.028338075E2,1.015707169E3
1.037859475E2,1.015624695E3
1.047381715E2,1.015005188E3
1.056903355E2,1.015005188E3
1.066424825E2,1.015334473E3
1.075945905E2,1.015503693E3
1.085467785E2,1.015602646E3
1.094991445E2,1.015620880E3
1.104518145E2,1.015623245E3
1.114047295E2,1.015781479E3
1.123578845E2,1.015953674E3
1.133111265E2,1.016069031E3
1.142644625E2,1.016069031E3
1.152177955E2,1.015891495E3
1.161708925E2,1.015648499E3
1.171238165E2,1.015321198E3
1.180767145E2,1.015198975E3
1.190294785E2,1.015198975E3
1.199821295E2,1.015232697E3
1.209346835E2,1.015588760E3
1.218871855E2,1.015625992E3
1.228397035E2,1.015738297E3
1.237922225E2,1.015956650E3
1.247446515E2,1.015956650E3
1.256971335E2,1.015467834E3
1.266495345E2,1.015450439E3
1.276019545E2,1.015366516E3
1.285543365E2,1.015365448E3
1.295065935E2,1.015366516E3
1.304587705E2,1.015569382E3
1.314111115E2,1.015719452E3
1.323634585E2,1.015719452E3
1.333157895E2,1.015441666E3
1.342680985E2,1.015259933E3
1.352204155E2,1.015259933E3
1.361727615E2,1.015259933E3
1.371250355E2,1.015455933E3
1.380773345E2,1.015527496E3
1.390296155E2,1.015540009E3
1.399818645E2,1.015540009E3
1.409340965E2,1.015505066E3
1.418864495E2,1.015433960E3
1.428387435E2,1.015505066E3
1.437910395E2,1.015336227E3
1.447430145E2,1.015491104E3
1.456952615E2,1.015425491E3
1.466475205E2,1.015491104E3
1.475997635E2,1.015474396E3
1.485520305E2,1.015540924E3
1.495042085E2,1.015474396E3
1.504564245E2,1.015374680E3
1.514087355E2,1.015369339E3
1.523610655E2,1.015366898E3
1.533134025E2,1.015369339E3
1.542656565E2,1.015446625E3
1.552179775E2,1.015573883E3
