"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.685833326E-3,-1.850302277E0,9.390572205E0,-1.402134247E0
2.017088333E-1,-1.333127747E0,8.701854401E0,-2.141147461E0
4.017318333E-1,-1.410816193E0,9.424701233E0,-2.500550079E0
6.017551250E-1,-2.236349487E-1,1.057431061E1,-1.489552460E0
8.017781250E-1,-2.370769958E0,8.526419220E0,-2.475851440E-1
1.001801125E0,-3.962260437E-1,1.045919998E1,-7.464976501E-1
1.201824125E0,-5.712121582E-1,9.808652802E0,-2.124681702E0
1.401847125E0,-1.634600830E-1,1.091560089E1,-1.972148895E0
1.601870583E0,1.091979218E0,1.179966248E1,1.323547668E0
1.801893583E0,2.546205139E-1,1.031534912E1,1.643432465E0
2.001916583E0,2.939886475E-1,8.270900574E0,1.300046539E0
2.201939583E0,-4.102967834E-1,8.549471283E0,8.189469910E-1
2.401963583E0,-2.443219299E0,9.879455566E0,-2.131567383E-1
2.601986208E0,-1.612147522E0,9.954898682E0,1.272204437E0
2.802009208E0,-3.433410187E0,9.568851471E0,2.649490356E-2
3.002032208E0,-2.857857056E0,9.276060333E0,3.370989990E-1
3.202055208E0,-2.154769135E0,9.258247375E0,7.686515808E-1
3.402079208E0,-2.557581482E0,9.693242798E0,4.073030090E-1
3.602103333E0,-3.143463135E0,1.067924240E1,-1.563947754E0
3.802126333E0,-1.667083282E0,9.962682495E0,4.261637878E-1
4.002149333E0,-3.031645660E0,9.676327972E0,-5.763015747E-1
4.202172333E0,-3.314257965E0,1.030217651E1,-8.623567200E-1
4.402196333E0,-3.123853912E0,9.245074768E0,-1.709594879E0
4.602219083E0,-3.748504944E0,9.288933563E0,-2.098935242E0
4.802242083E0,-3.573967896E0,9.009614410E0,-1.607058105E0
5.002265083E0,-3.215014343E0,9.181007996E0,-2.343825989E0
5.202288083E0,-4.256698151E0,8.595725098E0,-4.465513916E0
5.402311083E0,-4.461921387E0,1.052147049E1,-3.099604340E0
5.602334083E0,-1.604663086E0,8.462352448E0,-2.017953644E0
5.802357083E0,-5.536985779E-1,9.341025238E0,-1.034798126E0
6.002380083E0,-2.519710236E0,1.070513855E1,-2.839145966E0
6.202404083E0,-8.509803772E-1,9.425449677E0,-2.333946533E0
6.402427083E0,-1.610650635E-1,8.739575958E0,-1.736987915E0
6.602450458E0,-4.662803650E-1,1.020218445E1,1.214125214E0
6.802474458E0,1.882934418E0,8.905281372E0,-4.278103638E-1
7.002497458E0,1.786834259E0,9.051976318E0,-1.106199646E-1
7.202520458E0,-3.336561584E-1,1.021116577E1,1.182241516E0
7.402544458E0,-7.932005310E-1,9.135352936E0,7.206015015E-1
7.602568333E0,-3.528612213E0,1.115540222E1,-1.282982025E0
7.802591333E0,7.346722412E-1,9.717791748E0,1.522933044E0
8.002615333E0,-2.404000854E-1,1.079180832E1,-4.493655396E-1
8.202638333E0,-4.182302856E-1,9.965975647E0,-6.234535217E-1
8.402661333E0,-1.192869415E0,9.532477112E0,-7.149133301E-1
