"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.700995833E-2,1.114814056E0,4.374003822E-1,-1.438398678E0
2.483239583E-1,-1.424218011E-1,-2.736496925E-2,1.584376756E0
4.496373333E-1,2.826302849E-1,-3.131172287E-1,5.276609266E-1
6.509503333E-1,-2.069093904E-1,2.153658164E-1,1.156604691E0
8.522643333E-1,2.802763420E-1,-4.759955138E-1,9.539111070E-1
1.053578333E0,1.610065913E-1,-1.669468946E0,4.207329305E-1
1.254892333E0,-9.091027240E-1,1.228681272E0,-1.677210660E0
1.456205583E0,9.588334394E-1,-1.155961205E0,8.033828723E-1
1.657519583E0,1.781822026E-1,7.596234798E-2,-4.725596899E-1
1.858833583E0,1.367887397E-1,4.067691582E-1,-2.160078041E-1
2.060146583E0,5.793421999E-1,7.320485955E-1,5.225603273E-1
2.261460583E0,3.328094231E0,1.865483403E0,-1.443843021E0
2.462773583E0,-5.270846104E-1,-1.277152351E0,-3.415879065E-1
2.664086583E0,5.408440590E-1,7.694836396E-1,1.931914497E0
2.865400583E0,-5.411568850E-1,-9.719183385E-2,4.781461197E-1
3.066714583E0,-3.635658360E-1,-1.832078844E-1,-5.095556080E-1
3.268028583E0,1.524617920E0,1.345298141E-1,-1.280688747E0
3.469343875E0,9.875504310E-1,3.421714586E-1,-6.788418567E-1
3.670657875E0,6.175085114E-1,1.007720840E-1,4.102827501E-1
3.871971875E0,-7.224337265E-2,7.642439497E-1,2.343906096E-1
4.073285875E0,-6.527520190E-1,-1.097493142E-1,-4.186328664E-1
4.274599875E0,-6.131076776E-1,3.177260041E-2,2.087698647E-1
4.475913875E0,-2.214370827E0,5.435203296E-1,-8.788898684E-1
4.677227875E0,-2.183320650E0,-3.576221412E-1,-9.041070092E-1
4.878541875E0,-1.030041709E0,1.044716173E-1,-3.321769591E-1
5.079855875E0,-6.542786539E-1,-2.025919890E-1,1.403062054E-1
5.281169750E0,1.787474822E-1,2.808540469E-1,-1.021590436E-1
5.482484750E0,1.443648309E-2,1.504904909E0,1.811977286E0
5.683798750E0,1.173325316E0,-1.874493962E0,1.263197386E-1
5.885112750E0,-5.204866122E-1,2.646186680E-1,-3.294789076E-1
6.086426750E0,-9.495147318E-3,-2.120674020E-1,7.596573937E-1
6.287741250E0,3.225732728E-1,1.555141847E0,-9.387962008E-1
6.489056250E0,1.985865732E0,1.099888161E0,-6.011728527E-1
6.690370250E0,-3.754035240E-1,1.787492656E0,-8.277879810E-1
6.891684250E0,-4.593946838E0,-1.434493323E0,1.063069852E-1
7.092998250E0,-2.432192766E0,-1.812389515E0,-3.217437722E-1
7.294312208E0,4.211177869E0,-1.945558097E0,3.974186710E0
7.495626208E0,7.178772837E-2,8.861431932E-1,-2.318978246E0
7.696940208E0,1.708780654E0,-3.309974295E-1,2.003088267E0
7.898254208E0,3.242516430E-1,8.620491564E-1,-1.651950396E0
8.099568208E0,-1.997727979E0,-3.785545886E0,-2.703316900E-1
8.300882625E0,1.059591198E0,2.885149519E0,-5.361835358E-1
