"Time (s)","Distance (cm)"
2.061074167E-1,5.000000000E0
4.061074167E-1,5.000000000E0
6.061074167E-1,5.000000000E0
8.061074167E-1,5.000000000E0
1.006107417E0,5.000000000E0
1.206107417E0,5.000000000E0
1.406107417E0,5.000000000E0
1.606107417E0,5.000000000E0
1.806107417E0,5.000000000E0
2.006107417E0,5.000000000E0
2.206107417E0,5.000000000E0
2.406107417E0,5.000000000E0
2.606107417E0,5.000000000E0
2.806107417E0,5.000000000E0
3.006107417E0,5.000000000E0
3.206107417E0,5.000000000E0
3.406107417E0,5.000000000E0
3.606107417E0,5.000000000E0
3.806107417E0,5.000000000E0
4.006107417E0,5.000000000E0
4.206107417E0,5.000000000E0
4.406107417E0,5.000000000E0
4.606107417E0,5.000000000E0
4.806107417E0,5.000000000E0
5.006107417E0,5.000000000E0
5.206107417E0,5.000000000E0
5.406107417E0,5.000000000E0
5.606107417E0,5.000000000E0
5.806107417E0,5.000000000E0
6.006107417E0,5.000000000E0
6.206107417E0,5.000000000E0
6.406107417E0,5.000000000E0
6.606107417E0,5.000000000E0
6.806107417E0,5.000000000E0
7.006107417E0,5.000000000E0
7.206107417E0,5.000000000E0
7.406107417E0,5.000000000E0
7.606107417E0,5.000000000E0
7.806107417E0,5.000000000E0
8.006107417E0,5.000000000E0
8.206107417E0,5.000000000E0
8.406107417E0,5.000000000E0
8.606107417E0,5.000000000E0
8.806107417E0,5.000000000E0
9.006107417E0,5.000000000E0
9.206107417E0,5.000000000E0
9.406107417E0,5.000000000E0
9.606107417E0,5.000000000E0
9.806107417E0,5.000000000E0
1.000610742E1,5.000000000E0
1.020610742E1,5.000000000E0
1.040610742E1,5.000000000E0
1.060610742E1,5.000000000E0
1.080610742E1,5.000000000E0
1.100610742E1,5.000000000E0
1.120610742E1,5.000000000E0
1.140610742E1,5.000000000E0
1.160610742E1,5.000000000E0
1.180610742E1,5.000000000E0
1.200610742E1,5.000000000E0
1.220610742E1,5.000000000E0
1.240610742E1,5.000000000E0
1.260610742E1,5.000000000E0
1.280610742E1,5.000000000E0
1.300610742E1,5.000000000E0
1.320610742E1,5.000000000E0
1.340610742E1,5.000000000E0
1.360610742E1,5.000000000E0
1.380610742E1,5.000000000E0
1.400610742E1,5.000000000E0
1.420610742E1,5.000000000E0
1.440610742E1,5.000000000E0
1.460610742E1,5.000000000E0
1.480610742E1,5.000000000E0
1.500610742E1,5.000000000E0
1.520610742E1,5.000000000E0
1.540610742E1,5.000000000E0
1.560610742E1,5.000000000E0
1.580610742E1,5.000000000E0
1.600610742E1,5.000000000E0
1.620610742E1,5.000000000E0
1.640610742E1,5.000000000E0
1.660610742E1,5.000000000E0
1.680610742E1,5.000000000E0
1.700610742E1,5.000000000E0
1.720610742E1,5.000000000E0
1.740610742E1,5.000000000E0
1.760610742E1,5.000000000E0
1.780610742E1,5.000000000E0
1.800610742E1,5.000000000E0
1.820610742E1,5.000000000E0
1.840610742E1,5.000000000E0
1.860610742E1,5.000000000E0
1.880610742E1,5.000000000E0
1.900610742E1,5.000000000E0
1.920610742E1,5.000000000E0
1.940610742E1,5.000000000E0
1.960610742E1,5.000000000E0
1.980610742E1,0.000000000E0
2.000610742E1,0.000000000E0
2.020610742E1,0.000000000E0
2.040610742E1,0.000000000E0
2.060610742E1,5.000000000E0
2.080610742E1,5.000000000E0
2.100610742E1,5.000000000E0
2.120610742E1,5.000000000E0
2.140610742E1,5.000000000E0
2.160610742E1,5.000000000E0
2.180610742E1,5.000000000E0
2.200610742E1,5.000000000E0
2.220610742E1,5.000000000E0
2.240610742E1,5.000000000E0
2.260610742E1,5.000000000E0
2.280610742E1,5.000000000E0
2.300610742E1,5.000000000E0
2.320610742E1,5.000000000E0
2.340610742E1,5.000000000E0
2.360610742E1,5.000000000E0
2.380610742E1,5.000000000E0
2.400610742E1,5.000000000E0
2.420610742E1,5.000000000E0
2.440610742E1,5.000000000E0
2.460610742E1,5.000000000E0
2.480610742E1,5.000000000E0
2.500610742E1,5.000000000E0
2.520610742E1,5.000000000E0
2.540610742E1,5.000000000E0
2.560610742E1,5.000000000E0
2.580610742E1,5.000000000E0
2.600610742E1,5.000000000E0
2.620610742E1,5.000000000E0
2.640610742E1,5.000000000E0
2.660610742E1,5.000000000E0
2.680610742E1,5.000000000E0
2.700610742E1,5.000000000E0
2.720610742E1,5.000000000E0
2.740610742E1,5.000000000E0
2.760610742E1,5.000000000E0
2.780610742E1,5.000000000E0
2.800610742E1,5.000000000E0
2.820610742E1,5.000000000E0
2.840610742E1,5.000000000E0
2.860610742E1,5.000000000E0
2.880610742E1,5.000000000E0
2.900610742E1,0.000000000E0
2.920610742E1,0.000000000E0
2.940610742E1,0.000000000E0
2.960610742E1,0.000000000E0
2.980610742E1,0.000000000E0
3.000610742E1,0.000000000E0
3.020610742E1,0.000000000E0
3.040610742E1,0.000000000E0
3.060610742E1,0.000000000E0
3.080610742E1,0.000000000E0
3.100610742E1,0.000000000E0
3.120610742E1,0.000000000E0
3.140610742E1,0.000000000E0
3.160610742E1,0.000000000E0
3.180610742E1,0.000000000E0
3.200610742E1,0.000000000E0
3.220610742E1,0.000000000E0
3.240610742E1,0.000000000E0
3.260610742E1,0.000000000E0
3.280610742E1,0.000000000E0
3.300610742E1,0.000000000E0
3.320610742E1,0.000000000E0
3.340610742E1,0.000000000E0
3.360610742E1,0.000000000E0
3.380610742E1,0.000000000E0
3.400610742E1,0.000000000E0
3.420610742E1,0.000000000E0
3.440610742E1,0.000000000E0
3.460610742E1,0.000000000E0
3.480610742E1,0.000000000E0
3.500610742E1,0.000000000E0
3.520610742E1,0.000000000E0
3.540610742E1,0.000000000E0
3.560610742E1,0.000000000E0
3.580610742E1,0.000000000E0
3.600610742E1,0.000000000E0
3.620610742E1,0.000000000E0
3.640610742E1,0.000000000E0
3.660610742E1,0.000000000E0
3.680610742E1,0.000000000E0
3.700610742E1,0.000000000E0
3.720610742E1,0.000000000E0
3.740610742E1,0.000000000E0
3.760610742E1,0.000000000E0
3.780610742E1,0.000000000E0
3.800610742E1,0.000000000E0
3.820610742E1,0.000000000E0
3.840610742E1,0.000000000E0
3.860610742E1,0.000000000E0
3.880610742E1,0.000000000E0
3.900610742E1,0.000000000E0
3.920610742E1,0.000000000E0
3.940610742E1,0.000000000E0
3.960610742E1,0.000000000E0
3.980610742E1,0.000000000E0
4.000610742E1,0.000000000E0
4.020610742E1,0.000000000E0
4.040610742E1,0.000000000E0
4.060610742E1,0.000000000E0
4.080610742E1,0.000000000E0
4.100610742E1,0.000000000E0
4.120610742E1,0.000000000E0
4.140610742E1,0.000000000E0
4.160610742E1,0.000000000E0
4.180610742E1,0.000000000E0
4.200610742E1,0.000000000E0
4.220610742E1,0.000000000E0
4.240610742E1,0.000000000E0
4.260610742E1,0.000000000E0
4.280610742E1,0.000000000E0
4.300610742E1,0.000000000E0
4.320610742E1,0.000000000E0
4.340610742E1,5.000000000E0
4.360610742E1,5.000000000E0
4.380610742E1,5.000000000E0
4.400610742E1,5.000000000E0
4.420610742E1,5.000000000E0
4.440610742E1,5.000000000E0
4.460610742E1,5.000000000E0
4.480610742E1,0.000000000E0
4.500610742E1,0.000000000E0
4.520610742E1,0.000000000E0
4.540610742E1,0.000000000E0
4.560610742E1,0.000000000E0
4.580610742E1,0.000000000E0
4.600610742E1,0.000000000E0
4.620610742E1,0.000000000E0
4.640610742E1,0.000000000E0
4.660610742E1,0.000000000E0
4.680610742E1,0.000000000E0
4.700610742E1,0.000000000E0
4.720610742E1,0.000000000E0
4.740610742E1,0.000000000E0
4.760610742E1,0.000000000E0
4.780610742E1,0.000000000E0
4.800610742E1,0.000000000E0
4.820610742E1,0.000000000E0
4.840610742E1,0.000000000E0
4.860610742E1,0.000000000E0
4.880610742E1,0.000000000E0
4.900610742E1,0.000000000E0
4.920610742E1,0.000000000E0
4.940610742E1,0.000000000E0
4.960610742E1,0.000000000E0
4.980610742E1,0.000000000E0
5.000610742E1,0.000000000E0
5.020610742E1,0.000000000E0
5.040610742E1,0.000000000E0
5.060610742E1,0.000000000E0
5.080610742E1,0.000000000E0
5.100610742E1,0.000000000E0
5.120610742E1,0.000000000E0
5.140610742E1,0.000000000E0
5.160610742E1,0.000000000E0
5.180610742E1,0.000000000E0
5.200610742E1,0.000000000E0
5.220610742E1,0.000000000E0
5.240610742E1,0.000000000E0
5.260610742E1,0.000000000E0
5.280610742E1,0.000000000E0
5.300610742E1,0.000000000E0
5.320610742E1,0.000000000E0
5.340610742E1,0.000000000E0
5.360610742E1,0.000000000E0
5.380610742E1,0.000000000E0
5.400610742E1,0.000000000E0
5.420610742E1,0.000000000E0
5.440610742E1,0.000000000E0
5.460610742E1,0.000000000E0
5.480610742E1,0.000000000E0
5.500610742E1,0.000000000E0
5.520610742E1,0.000000000E0
5.540610742E1,0.000000000E0
5.560610742E1,0.000000000E0
5.580610742E1,0.000000000E0
5.600610742E1,0.000000000E0
5.620610742E1,0.000000000E0
5.640610742E1,0.000000000E0
5.660610742E1,0.000000000E0
5.680610742E1,0.000000000E0
5.700610742E1,0.000000000E0
5.720610742E1,0.000000000E0
5.740610742E1,0.000000000E0
5.760610742E1,0.000000000E0
5.780610742E1,0.000000000E0
5.800610742E1,0.000000000E0
5.820610742E1,0.000000000E0
5.840610742E1,0.000000000E0
5.860610742E1,0.000000000E0
5.880610742E1,0.000000000E0
5.900610742E1,0.000000000E0
5.920610742E1,0.000000000E0
5.940610742E1,0.000000000E0
5.960610742E1,0.000000000E0
5.980610742E1,0.000000000E0
6.000610742E1,0.000000000E0
6.020610742E1,0.000000000E0
6.040610742E1,0.000000000E0
6.060610742E1,0.000000000E0
6.080610742E1,0.000000000E0
6.100610742E1,0.000000000E0
6.120610742E1,0.000000000E0
6.140610742E1,0.000000000E0
6.160610742E1,0.000000000E0
6.180610742E1,0.000000000E0
6.200610742E1,0.000000000E0
6.220610742E1,0.000000000E0
6.240610742E1,0.000000000E0
6.260610742E1,0.000000000E0
6.280610742E1,0.000000000E0
6.300610742E1,0.000000000E0
6.320610742E1,0.000000000E0
6.340610742E1,0.000000000E0
6.360610742E1,0.000000000E0
6.380610742E1,0.000000000E0
6.400610742E1,0.000000000E0
6.420610742E1,5.000000000E0
6.440610742E1,5.000000000E0
6.460610742E1,5.000000000E0
6.480610742E1,5.000000000E0
6.500610742E1,5.000000000E0
6.520610742E1,5.000000000E0
6.540610742E1,5.000000000E0
6.560610742E1,5.000000000E0
6.580610742E1,5.000000000E0
6.600610742E1,0.000000000E0
6.620610742E1,5.000000000E0
6.640610742E1,5.000000000E0
6.660610742E1,5.000000000E0
6.680610742E1,5.000000000E0
6.700610742E1,5.000000000E0
6.720610742E1,5.000000000E0
6.740610742E1,5.000000000E0
6.760610742E1,5.000000000E0
6.780610742E1,5.000000000E0
6.800610742E1,5.000000000E0
6.820610742E1,5.000000000E0
6.840610742E1,0.000000000E0
6.860610742E1,0.000000000E0
6.880610742E1,0.000000000E0
6.900610742E1,0.000000000E0
6.920610742E1,0.000000000E0
6.940610742E1,0.000000000E0
6.960610742E1,0.000000000E0
6.980610742E1,0.000000000E0
7.000610742E1,0.000000000E0
7.020610742E1,0.000000000E0
7.040610742E1,0.000000000E0
7.060610742E1,0.000000000E0
7.080610742E1,0.000000000E0
7.100610742E1,0.000000000E0
7.120610742E1,0.000000000E0
7.140610742E1,5.000000000E0
7.160610742E1,5.000000000E0
7.180610742E1,5.000000000E0
7.200610742E1,5.000000000E0
7.220610742E1,5.000000000E0
7.240610742E1,5.000000000E0
7.260610742E1,5.000000000E0
7.280610742E1,5.000000000E0
7.300610742E1,5.000000000E0
7.320610742E1,5.000000000E0
7.340610742E1,5.000000000E0
7.360610742E1,5.000000000E0
7.380610742E1,5.000000000E0
7.400610742E1,5.000000000E0
7.420610742E1,5.000000000E0
7.440610742E1,5.000000000E0
7.460610742E1,5.000000000E0
7.480610742E1,5.000000000E0
7.500610742E1,5.000000000E0
7.520610742E1,5.000000000E0
7.540610742E1,5.000000000E0
7.560610742E1,5.000000000E0
7.580610742E1,5.000000000E0
7.600610742E1,5.000000000E0
7.620610742E1,5.000000000E0
7.640610742E1,5.000000000E0
7.660610742E1,5.000000000E0
7.680610742E1,5.000000000E0
7.700610742E1,5.000000000E0
7.720610742E1,5.000000000E0
7.740610742E1,5.000000000E0
7.760610742E1,5.000000000E0
7.780610742E1,5.000000000E0
7.800610742E1,5.000000000E0
7.820610742E1,5.000000000E0
7.840610742E1,5.000000000E0
7.860610742E1,5.000000000E0
7.880610742E1,5.000000000E0
7.900610742E1,5.000000000E0
7.920610742E1,5.000000000E0
7.940610742E1,5.000000000E0
7.960610742E1,5.000000000E0
7.980610742E1,5.000000000E0
8.000610742E1,5.000000000E0
8.020610742E1,5.000000000E0
8.040610742E1,5.000000000E0
8.060610742E1,5.000000000E0
8.080610742E1,5.000000000E0
8.100610742E1,5.000000000E0
8.120610742E1,5.000000000E0
8.140610742E1,5.000000000E0
8.160610742E1,5.000000000E0
8.180610742E1,5.000000000E0
8.200610742E1,5.000000000E0
8.220610742E1,5.000000000E0
8.240610742E1,0.000000000E0
8.260610742E1,0.000000000E0
8.280610742E1,0.000000000E0
8.300610742E1,0.000000000E0
8.320610742E1,0.000000000E0
8.340610742E1,5.000000000E0
8.360610742E1,5.000000000E0
8.380610742E1,5.000000000E0
8.400610742E1,5.000000000E0
8.420610742E1,5.000000000E0
8.440610742E1,5.000000000E0
8.460610742E1,5.000000000E0
8.480610742E1,5.000000000E0
8.500610742E1,5.000000000E0
8.520610742E1,5.000000000E0
8.540610742E1,5.000000000E0
8.560610742E1,5.000000000E0
8.580610742E1,5.000000000E0
8.600610742E1,5.000000000E0
8.620610742E1,5.000000000E0
8.640610742E1,0.000000000E0
8.660610742E1,0.000000000E0
8.680610742E1,0.000000000E0
8.700610742E1,0.000000000E0
8.720610742E1,0.000000000E0
8.740610742E1,0.000000000E0
8.760610742E1,0.000000000E0
8.780610742E1,0.000000000E0
8.800610742E1,0.000000000E0
8.820610742E1,0.000000000E0
8.840610742E1,0.000000000E0
8.860610742E1,0.000000000E0
8.880610742E1,0.000000000E0
8.900610742E1,0.000000000E0
8.920610742E1,0.000000000E0
8.940610742E1,0.000000000E0
8.960610742E1,5.000000000E0
8.980610742E1,5.000000000E0
9.000610742E1,5.000000000E0
9.020610742E1,5.000000000E0
9.040610742E1,0.000000000E0
9.060610742E1,0.000000000E0
9.080610742E1,0.000000000E0
9.100610742E1,0.000000000E0
9.120610742E1,0.000000000E0
9.140610742E1,0.000000000E0
9.160610742E1,0.000000000E0
9.180610742E1,0.000000000E0
9.200610742E1,0.000000000E0
9.220610742E1,0.000000000E0
9.240610742E1,0.000000000E0
9.260610742E1,0.000000000E0
9.280610742E1,0.000000000E0
9.300610742E1,0.000000000E0
9.320610742E1,0.000000000E0
9.340610742E1,0.000000000E0
9.360610742E1,0.000000000E0
9.380610742E1,0.000000000E0
9.400610742E1,0.000000000E0
9.420610742E1,0.000000000E0
9.440610742E1,0.000000000E0
9.460610742E1,0.000000000E0
9.480610742E1,0.000000000E0
9.500610742E1,0.000000000E0
9.520610742E1,0.000000000E0
9.540610742E1,0.000000000E0
9.560610742E1,0.000000000E0
9.580610742E1,0.000000000E0
9.600610742E1,0.000000000E0
9.620610742E1,0.000000000E0
9.640610742E1,0.000000000E0
9.660610742E1,0.000000000E0
9.680610742E1,0.000000000E0
9.700610742E1,0.000000000E0
9.720610742E1,0.000000000E0
9.740610742E1,0.000000000E0
9.760610742E1,0.000000000E0
9.780610742E1,0.000000000E0
9.800610742E1,0.000000000E0
9.820610742E1,0.000000000E0
9.840610742E1,0.000000000E0
9.860610742E1,0.000000000E0
9.880610742E1,0.000000000E0
9.900610742E1,0.000000000E0
9.920610742E1,0.000000000E0
9.940610742E1,0.000000000E0
9.960610742E1,0.000000000E0
9.980610742E1,0.000000000E0
1.000061074E2,0.000000000E0
1.002061074E2,0.000000000E0
1.004061074E2,0.000000000E0
1.006061074E2,0.000000000E0
1.008061074E2,0.000000000E0
1.010061074E2,0.000000000E0
1.012061074E2,0.000000000E0
1.014061074E2,0.000000000E0
1.016061074E2,0.000000000E0
1.018061074E2,0.000000000E0
1.020061074E2,0.000000000E0
1.022061074E2,0.000000000E0
1.024061074E2,0.000000000E0
1.026061074E2,0.000000000E0
1.028061074E2,0.000000000E0
1.030061074E2,0.000000000E0
1.032061074E2,0.000000000E0
1.034061074E2,0.000000000E0
1.036061074E2,0.000000000E0
1.038061074E2,0.000000000E0
1.040061074E2,0.000000000E0
1.042061074E2,0.000000000E0
1.044061074E2,0.000000000E0
1.046061074E2,0.000000000E0
1.048061074E2,0.000000000E0
1.050061074E2,0.000000000E0
1.052061074E2,0.000000000E0
1.054061074E2,0.000000000E0
1.056061074E2,0.000000000E0
1.058061074E2,0.000000000E0
1.060061074E2,0.000000000E0
1.062061074E2,0.000000000E0
1.064061074E2,0.000000000E0
1.066061074E2,0.000000000E0
1.068061074E2,0.000000000E0
1.070061074E2,0.000000000E0
1.072061074E2,0.000000000E0
1.074061074E2,0.000000000E0
1.076061074E2,0.000000000E0
1.078061074E2,0.000000000E0
1.080061074E2,0.000000000E0
1.082061074E2,0.000000000E0
1.084061074E2,0.000000000E0
1.086061074E2,0.000000000E0
1.088061074E2,0.000000000E0
1.090061074E2,0.000000000E0
1.092061074E2,0.000000000E0
1.094061074E2,0.000000000E0
1.096061074E2,0.000000000E0
1.098061074E2,0.000000000E0
1.100061074E2,0.000000000E0
1.102061074E2,0.000000000E0
1.104061074E2,0.000000000E0
1.106061074E2,0.000000000E0
1.108061074E2,0.000000000E0
1.110061074E2,0.000000000E0
1.112061074E2,0.000000000E0
1.114061074E2,0.000000000E0
1.116061074E2,0.000000000E0
1.118061074E2,0.000000000E0
1.120061074E2,0.000000000E0
1.122061074E2,0.000000000E0
1.124061074E2,0.000000000E0
1.126061074E2,0.000000000E0
1.128061074E2,0.000000000E0
1.130061074E2,0.000000000E0
1.132061074E2,0.000000000E0
1.134061074E2,0.000000000E0
1.136061074E2,0.000000000E0
1.138061074E2,0.000000000E0
1.140061074E2,0.000000000E0
1.142061074E2,0.000000000E0
1.144061074E2,0.000000000E0
1.146061074E2,0.000000000E0
1.148061074E2,0.000000000E0
1.150061074E2,0.000000000E0
1.152061074E2,0.000000000E0
1.154061074E2,0.000000000E0
1.156061074E2,0.000000000E0
1.158061074E2,0.000000000E0
1.160061074E2,0.000000000E0
1.162061074E2,0.000000000E0
1.164061074E2,0.000000000E0
1.166061074E2,0.000000000E0
1.168061074E2,0.000000000E0
1.170061074E2,0.000000000E0
1.172061074E2,0.000000000E0
