"Time (s)","X (hPa)"
-5.511763750E-1,1.016221848E3
4.766686250E-1,1.016251221E3
1.504569625E0,1.016280594E3
2.532477625E0,1.016420670E3
3.560291625E0,1.016420670E3
4.588154625E0,1.015978241E3
4.733080625E0,1.015978241E3
5.684687625E0,1.016228104E3
6.636318625E0,1.016228104E3
7.587923625E0,1.016070251E3
8.539568625E0,1.016070251E3
9.491226625E0,1.016070251E3
1.044295263E1,1.016027527E3
1.139461363E1,1.015964737E3
1.234630462E1,1.015964737E3
1.329805263E1,1.016064377E3
1.424971262E1,1.016064377E3
1.520137562E1,1.015942307E3
1.615301962E1,1.015926056E3
1.710456062E1,1.015895615E3
1.805620562E1,1.015895615E3
1.900796963E1,1.015920563E3
1.995962162E1,1.015926208E3
2.091134062E1,1.015979843E3
2.186313263E1,1.015979843E3
2.281472962E1,1.015941772E3
2.376627962E1,1.015932465E3
2.471786563E1,1.015931320E3
2.566948063E1,1.015896149E3
2.662116463E1,1.015896149E3
2.757278862E1,1.015936661E3
2.852446062E1,1.015936661E3
2.947612362E1,1.015902863E3
3.042772262E1,1.015846481E3
3.137937463E1,1.015797653E3
3.233101562E1,1.015754166E3
3.328273762E1,1.015719452E3
3.423448962E1,1.015719452E3
3.518619362E1,1.015768356E3
3.613800062E1,1.015821075E3
3.708977163E1,1.015821075E3
3.804154462E1,1.015806351E3
3.899333263E1,1.015805588E3
3.994513863E1,1.015805588E3
4.089698563E1,1.015798187E3
4.184873263E1,1.015789948E3
4.280059362E1,1.015781555E3
4.375237862E1,1.015732346E3
4.470423262E1,1.015699310E3
4.565602762E1,1.015686646E3
4.660783762E1,1.015682831E3
4.755960663E1,1.015682831E3
4.851148763E1,1.015829315E3
4.946325062E1,1.015829315E3
5.041500762E1,1.015762558E3
5.136683562E1,1.015762558E3
5.231865563E1,1.015704880E3
5.327038462E1,1.015653000E3
5.422230663E1,1.015598907E3
5.517430063E1,1.015598907E3
5.612621062E1,1.015586624E3
5.707811862E1,1.015553284E3
5.802993862E1,1.015553284E3
5.898181463E1,1.015607681E3
5.993365462E1,1.015639725E3
6.088546163E1,1.015643158E3
