"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.873860000E-1,-6.501825154E-2,-4.513125420E-1,-3.063320816E-1
3.886561250E-1,-4.596471414E-2,-1.600024462E0,7.005720586E-2
5.899271250E-1,1.662538499E-1,4.592824280E-1,-6.346575618E-1
7.911981250E-1,1.043874696E-1,7.217535973E-1,-2.176944166E-1
9.924681250E-1,-1.203115731E-1,8.922107816E-1,-6.264404953E-2
1.193739125E0,-1.041741073E-1,-1.203083247E-1,7.166225463E-2
1.395010875E0,-3.335423768E-1,3.819086850E-1,3.143643141E-1
1.596281875E0,-5.780128241E-1,1.082005024E0,-1.025362164E-1
1.797552875E0,-4.638459980E-1,8.699650168E-1,-4.222851247E-2
1.998823875E0,-4.641850293E-1,8.274745941E-1,-1.188098267E-1
2.200095875E0,-4.649233222E-1,1.131917596E0,-1.022267863E-1
2.401366875E0,-2.255343646E-1,7.005208731E-1,-1.363459527E-1
2.602637875E0,9.104726464E-2,4.260447323E-1,-6.210930943E-1
2.803908875E0,3.030144274E-1,-5.236030221E-1,5.070623159E-1
3.005179875E0,1.937569082E-1,3.924285471E-1,1.445168853E-1
3.206450875E0,-4.532329440E-1,-1.551672369E-1,3.551612794E-1
3.407722000E0,-4.194357991E-1,-6.018219590E-1,1.627988070E-1
3.608993000E0,3.414337933E-1,9.760712832E-2,3.770773709E-1
3.810265000E0,1.613253206E-1,-2.107256353E-1,1.992403269E-1
4.011537000E0,7.182064056E-1,6.699984074E-1,3.721793294E-1
4.212808000E0,2.564925849E-1,7.187650800E-1,1.908928454E-1
4.414080667E0,-2.429417521E-1,7.933907509E-1,-2.673163414E-1
4.615351667E0,1.089097783E-1,1.796147674E-1,-2.372791767E-1
4.816623667E0,1.911807060E-1,4.866892844E-2,2.602964044E-1
5.017895667E0,1.117039621E-1,-9.784296155E-2,3.568361998E-1
5.219166667E0,2.857085168E-1,-2.702631354E-1,1.698412001E-1
5.420438500E0,5.812718533E-3,-3.089232743E-1,3.716870844E-1
5.621710500E0,-5.433424562E-2,-1.254701734E0,3.289904296E-1
5.822982500E0,-1.679945290E-1,-2.681876533E-2,7.778567821E-2
6.024254500E0,9.215106815E-2,-3.670794964E-1,-2.098565996E-1
6.225526500E0,-2.624448538E-1,-8.181697875E-2,-1.207006127E-1
6.426797375E0,-3.010779917E-1,5.334844347E-3,1.765685380E-1
6.628069375E0,-3.056924343E-1,-2.916858196E-1,2.829512954E-1
6.829341375E0,-8.708996177E-1,-2.251828909E-1,-3.467575908E-1
7.030613375E0,-4.628343880E-1,2.260018140E-1,-1.871157885E-1
7.231885375E0,-3.640750647E-1,-3.539375663E-1,7.235981524E-3
7.433155750E0,-1.943694711E0,5.175513029E-1,5.497704744E-1
7.634427750E0,1.063265562E0,9.437944293E-1,-1.225434169E-1
7.835699750E0,4.057758451E-1,-8.735821843E-1,1.291416287E-1
8.036971750E0,-1.133035064E0,-5.279129744E-1,9.609982371E-3
8.238243750E0,9.924425483E-1,2.236347646E-1,-2.683187723E-1
8.439516000E0,1.835723221E-1,-8.402584195E-1,-1.670873314E-1
8.640788000E0,-3.097295165E-1,-2.668217123E-1,-3.187938631E-1
8.842060000E0,6.771966815E-1,2.447029054E-1,-6.758028269E-1
9.043332000E0,8.643847108E-1,-6.055801511E-1,-1.088577509E-1
9.244604000E0,1.165334940E0,-1.555012226E0,-1.064430401E-1
9.445876917E0,8.097166419E-1,-1.327155232E0,2.712222002E-2
9.647148917E0,1.566815972E-1,-6.547818184E-1,1.041997150E-1
9.848420917E0,5.236849934E-2,2.876520753E-1,-5.008205026E-2
1.004969292E1,-3.296659589E-1,7.599823177E-2,-1.584270746E-1
1.025096492E1,-2.433482744E-2,5.826671720E-1,-1.789870858E-2
1.045223692E1,-2.996199131E-1,8.525492549E-1,1.158967316E-1
1.065350992E1,-5.482452735E-2,5.139591694E-1,1.035146490E-1
1.085478192E1,-3.420688212E-1,9.486290812E-1,3.141410947E-1
1.105605392E1,4.882190842E-3,2.597452104E-1,2.812935710E-1
1.125732692E1,-1.517028958E-1,2.655558884E-1,-4.665168002E-2
1.145859879E1,2.735708952E-1,-2.789260149E-1,8.916534483E-3
1.165987179E1,-3.178267553E-2,-5.413282514E-1,1.244917139E-1
1.186114379E1,-8.376306295E-2,-3.290450573E-1,1.722897440E-1
1.206241679E1,-1.084466502E-1,-8.576840758E-1,8.970312029E-2
1.226368979E1,-2.436574996E-1,1.993499994E-1,1.632135361E-2
1.246496279E1,9.707773477E-2,2.578610480E-1,9.079570323E-2
1.266623579E1,4.165022969E-1,3.539806902E-1,-3.488684446E-2
1.286750879E1,2.953391373E-1,8.409435153E-1,-7.157053053E-2
1.306878179E1,-2.376747131E-1,1.028875828E0,-8.443734050E-2
1.327005479E1,1.390169412E-1,3.997305036E-1,-2.365861833E-1
1.347132763E1,6.595266461E-1,-4.687846899E-1,-6.783573627E-1
1.367260063E1,6.074203253E-1,-2.080012560E0,-2.712481916E-1
1.387387363E1,4.807505906E-1,-2.005923748E0,-8.585116267E-2
1.407514663E1,1.207037568E-1,-6.698635817E-1,-1.960534751E-1
1.427641862E1,2.608493865E-1,-2.804290056E-1,-6.116124615E-2
1.447769179E1,1.702369153E-1,-1.598491818E-1,9.234029800E-2
1.467896479E1,1.655264795E-1,2.948976457E-1,7.062200904E-1
1.488023779E1,-6.299575567E-1,-6.040003300E-1,-1.249136254E-1
1.508151079E1,-2.527523935E-1,-5.754380226E-1,2.670894191E-2
1.528278379E1,-4.625160694E-1,-6.433022022E-1,-5.442298204E-2
1.548405550E1,-5.321617126E-1,3.317270875E-1,-1.040280014E-1
1.568532850E1,-9.504747987E-1,7.156319022E-1,3.574407101E-1
1.588660150E1,-5.105146766E-1,5.247364044E-1,1.737871319E-1
1.608787450E1,2.588743865E-1,8.137945831E-2,1.341083497E-1
1.628914650E1,1.076981798E-2,1.705358028E-1,1.473996043E-1
1.649042013E1,-4.131426215E-1,2.013443783E-2,-9.602126479E-2
1.669169313E1,-5.398654938E-2,-3.787100315E-2,7.854826003E-2
1.689296613E1,2.956146300E-1,7.343637943E-1,2.458823323E-1
1.709423813E1,8.507958651E-1,2.148145884E-1,2.485508025E-1
1.729551113E1,8.290531486E-2,9.347548485E-1,2.080388963E-1
1.749678288E1,8.910597116E-2,5.248237252E-1,3.416849077E-1
1.769805588E1,2.425194532E-1,2.598881256E-3,2.342572361E-1
1.789932888E1,1.524691433E-1,4.506321847E-1,4.150522649E-1
1.810060088E1,7.910307497E-2,2.639174461E-3,2.231393605E-1
1.830187388E1,3.047385514E-1,9.629000723E-2,2.400771379E-1
1.850314713E1,4.508256316E-1,-4.524486065E-1,2.180240154E-1
1.870442013E1,4.465439022E-1,-1.664797902E0,-1.413036138E-1
1.890569213E1,-3.462232649E-1,-5.306071043E-1,-1.518836766E-1
1.910696512E1,-8.375971019E-2,1.135186434E0,-2.641766071E-1
1.930823812E1,-2.479285896E-1,6.281028986E-1,-6.845862418E-2
1.950951113E1,-2.983653545E-1,4.786428064E-2,2.585739456E-2
1.971078413E1,-2.319182307E-1,2.363252938E-1,-8.878928423E-2
1.991205613E1,-8.854161203E-2,4.434486926E-1,-1.577083319E-1
2.011332913E1,-1.254218072E-1,-8.402051032E-2,-2.804654650E-4
2.031460212E1,-8.214601129E-2,1.256787777E0,-2.388064116E-1
2.051587517E1,-4.687350988E-2,9.797892570E-1,1.410101652E-1
2.071714717E1,5.706172436E-2,5.302418470E-1,6.214401498E-2
2.091842017E1,2.219289690E-1,4.292683899E-1,-1.728572845E-1
2.111969317E1,1.655501127E-1,1.030132473E-1,2.074665874E-1
2.132096517E1,4.769809544E-1,-3.901891038E-2,2.130728364E-1
2.152223738E1,-3.079462051E-2,-9.119316936E-2,1.387030780E-1
2.172350938E1,-5.604041815E-1,1.716803908E-1,-1.284592450E-1
2.192478238E1,-2.785637677E-1,-1.073622331E-1,-8.680751175E-2
2.212605538E1,-3.255763054E-1,6.641886830E-1,6.581857055E-2
