"Time (s)","X (µT)","Y (µT)","Z (µT)"
5.594666654E-3,8.328334808E0,-4.689943695E1,-9.052337646E0
2.068816667E-1,6.212581635E0,-4.729713440E1,-1.039822388E1
4.081696667E-1,4.350597382E0,-4.709147263E1,-1.222790527E1
6.094566667E-1,9.738315582E0,-4.630633163E1,-1.353521729E1
8.107435833E-1,1.569198227E1,-4.476568985E1,-1.268258667E1
1.012030583E0,1.889506912E1,-4.404556274E1,-1.082717896E1
1.213317583E0,1.991234970E1,-4.391280365E1,-9.529846191E0
1.414604583E0,1.927011490E1,-4.433354568E1,-9.620910645E0
1.615891583E0,1.751015854E1,-4.519711685E1,-6.048187256E0
1.817179792E0,1.729018784E1,-4.567402267E1,-1.529571533E0
2.018466792E0,1.641453171E1,-4.604176712E1,6.118469238E-1
2.219753792E0,1.646699905E1,-4.602177048E1,2.010589600E0
2.421040792E0,1.666091537E1,-4.609111023E1,2.091918945E0
2.622327792E0,1.764486313E1,-4.590028763E1,2.006896973E0
2.823614417E0,1.931908035E1,-4.532776260E1,8.716735840E-1
3.024901417E0,2.073969650E1,-4.457363510E1,-1.113281250E0
3.226188417E0,2.383277512E1,-4.310166550E1,-5.008270264E0
3.427475417E0,2.641405106E1,-4.099748611E1,-5.742523193E0
3.628763167E0,2.753768539E1,-4.073606110E1,-5.520324707E0
3.830050167E0,2.747031021E1,-4.130629730E1,-4.382141113E0
4.031337167E0,2.657832718E1,-4.236662292E1,-7.897644043E-1
4.232624167E0,2.578701401E1,-4.281001663E1,1.405090332E0
4.433911167E0,2.472513199E1,-4.356706619E1,3.755004883E0
4.635198917E0,2.398619461E1,-4.390465927E1,5.867095947E0
4.836485917E0,2.286690903E1,-4.479436111E1,8.209259033E0
5.037772917E0,2.219287491E1,-4.570693588E1,8.578002930E0
5.239059917E0,2.253638840E1,-4.648153687E1,8.203125000E0
5.440346917E0,2.115616226E1,-4.751142502E1,9.725921631E0
5.641634167E0,2.115978622E1,-4.850441360E1,9.233642578E0
5.842922167E0,2.226721573E1,-4.784164429E1,8.638702393E0
6.044209167E0,2.297307968E1,-4.698466110E1,1.031488037E1
6.245496167E0,2.308579636E1,-4.694498825E1,1.088027954E1
6.446783167E0,2.423138046E1,-4.696861649E1,5.666290283E0
6.648069542E0,2.429806137E1,-4.684874344E1,4.457031250E0
6.849357542E0,2.541820908E1,-4.595770264E1,3.988464355E0
7.050644542E0,2.451522446E1,-4.537220383E1,4.681030273E0
7.251931542E0,2.217255783E1,-4.529708862E1,5.312042236E0
7.453218542E0,2.060033798E1,-4.601280594E1,-1.158142090E-1
7.654506833E0,1.833550644E1,-4.662847519E1,-1.753021240E0
7.855793833E0,1.811650467E1,-4.708214569E1,-1.333068848E0
8.057080833E0,1.786892319E1,-4.713309479E1,-1.885284424E0
8.258368833E0,1.860385513E1,-4.710449600E1,-3.962707520E0
8.459655833E0,1.821696854E1,-4.707292938E1,-4.138671875E0
8.660943667E0,1.513805771E1,-4.824183273E1,-1.577178955E0
8.862230667E0,1.173170853E1,-4.932952118E1,-1.929473877E0
9.063517667E0,9.410213470E0,-4.938673401E1,-6.750823975E0
9.264805667E0,7.098522186E0,-4.919956970E1,-1.048666382E1
9.466092667E0,4.641494751E0,-4.938831329E1,-9.876556396E0
9.667381208E0,3.917003632E0,-4.891041565E1,-1.039245605E1
9.868668208E0,5.711345673E0,-4.740712738E1,-1.463281250E1
1.006995521E1,7.976284027E0,-4.729044724E1,-1.583673096E1
1.027124321E1,6.761150360E0,-4.633515549E1,-1.930471802E1
1.047253021E1,6.696582794E0,-4.603864670E1,-2.026641846E1
1.067381783E1,6.185150146E0,-4.516563797E1,-2.228814697E1
1.087510483E1,5.530345917E0,-4.503973770E1,-2.139572144E1
1.107639183E1,3.966537476E0,-4.559357834E1,-2.004190063E1
1.127767983E1,-9.175376892E-1,-4.531879807E1,-2.191232300E1
1.147896683E1,-2.551177979E0,-4.605788040E1,-1.864520264E1
1.168025446E1,-1.286724091E0,-4.676037979E1,-1.734707642E1
1.188154246E1,6.625671387E-1,-4.748733902E1,-1.463421631E1
1.208283046E1,1.253726959E0,-4.888574982E1,-1.060073853E1
1.228411846E1,-1.876823425E0,-4.989606857E1,-4.791168213E0
1.248540646E1,-4.646434784E0,-5.024916077E1,-7.475585938E-1
1.268669392E1,-4.697170258E0,-5.065116501E1,2.297485352E0
1.288798092E1,-4.535396576E0,-5.106652832E1,6.452667236E0
1.308926892E1,-3.951320648E0,-5.104983521E1,7.680603027E0
1.329055692E1,-2.704036713E0,-5.103620529E1,6.703918457E0
1.349184492E1,-1.561203003E-1,-5.043792725E1,4.631835938E0
1.369313329E1,-5.986595154E-1,-5.046908951E1,3.101898193E0
1.389442129E1,-1.641235352E0,-5.025611115E1,9.625244141E-2
1.409570929E1,-4.147182465E0,-4.979996872E1,-6.813995361E0
1.429699729E1,-4.568847656E0,-4.833425522E1,-1.259371948E1
1.449828529E1,-4.521102905E0,-4.764770126E1,-1.147250366E1
1.469957404E1,-3.215381622E0,-4.809900665E1,-6.881866455E0
1.490086204E1,-1.221370697E0,-4.802010727E1,-2.624511719E0
1.510215004E1,1.469295502E0,-4.746643448E1,9.854125977E-1
1.530343904E1,5.825965881E0,-4.684260941E1,5.437011719E0
1.550472704E1,8.764385223E0,-4.578389740E1,6.411926270E0
1.570601604E1,1.112014389E1,-4.460861969E1,8.487152100E0
1.590730504E1,1.303993607E1,-4.361177826E1,1.115274048E1
1.610859304E1,1.314371872E1,-4.224695969E1,1.447778320E1
1.630988104E1,1.452446365E1,-4.122055054E1,1.622131348E1
1.651116904E1,1.413859177E1,-4.142746735E1,1.632965088E1
1.671245758E1,1.409441757E1,-4.065637207E1,1.795098877E1
1.691374558E1,1.395918655E1,-3.874558258E1,2.201889038E1
1.711503358E1,1.271866226E1,-3.657288361E1,2.629721069E1
1.731632158E1,1.303763199E1,-3.389834595E1,2.982073975E1
1.751760958E1,1.301511765E1,-3.270865631E1,3.133721924E1
1.771889729E1,1.434652328E1,-3.245790863E1,3.121847534E1
1.792018529E1,1.521386337E1,-3.278681183E1,3.041293335E1
1.812147329E1,1.609557724E1,-3.349165344E1,2.935925293E1
1.832276129E1,1.479212570E1,-3.329382324E1,3.005636597E1
1.852405029E1,1.362350845E1,-3.379159546E1,3.030133057E1
1.872533896E1,1.317174911E1,-3.471267700E1,2.910052490E1
1.892662696E1,1.343017960E1,-3.561120987E1,2.775109863E1
1.912791596E1,1.437472916E1,-3.597053528E1,2.675802612E1
1.932920396E1,1.348675156E1,-3.555268860E1,2.737231445E1
1.953049196E1,9.602413177E0,-3.468209839E1,2.961935425E1
1.973177954E1,6.943187714E0,-3.306450653E1,3.084036255E1
1.993306754E1,5.982769012E0,-3.208230972E1,3.128308105E1
2.013435554E1,7.297290802E0,-3.188749123E1,3.008114624E1
2.033564354E1,6.579677582E0,-3.247651672E1,2.919702148E1
2.053693254E1,4.581272125E0,-3.288570404E1,2.841137695E1
2.073822054E1,5.819602966E0,-3.344319916E1,2.706237793E1
2.093950854E1,6.224426270E0,-3.396442795E1,2.634838867E1
2.114079754E1,6.188983917E0,-3.412133026E1,2.593981934E1
2.134208554E1,6.290405273E0,-3.483927917E1,2.528933716E1
2.154337454E1,5.692302704E0,-3.645233917E1,2.300552368E1
2.174466267E1,8.121402740E0,-3.807537842E1,1.991903687E1
2.194595167E1,9.075717926E0,-3.946309662E1,1.699060059E1
2.214724067E1,1.101199722E1,-3.998489761E1,1.461911011E1
2.234852967E1,1.109021378E1,-4.027963257E1,1.339801025E1
2.254981767E1,1.156013107E1,-4.045111847E1,1.371557617E1
2.275110704E1,1.253814316E1,-4.036278534E1,1.232611084E1
2.295239604E1,1.177209091E1,-4.108037567E1,1.133108521E1
2.315368504E1,7.084537506E0,-4.221555328E1,1.107498169E1
2.335497404E1,8.004047394E0,-4.212525940E1,1.023614502E1
2.355626304E1,8.009616852E0,-4.186692810E1,1.154672241E1
2.375755267E1,7.481788635E0,-4.140644836E1,1.318621826E1
2.395884167E1,8.012317657E0,-4.091622162E1,1.429193115E1
2.416013067E1,7.658668518E0,-4.033126831E1,1.565023804E1
2.436141967E1,8.723560333E0,-3.946791077E1,1.542156982E1
