"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.778068333E-1,5.690802634E-2,-2.647806358E-1,1.994087648E-1
3.790878333E-1,-5.563672471E-1,8.317886460E-1,-9.513639137E-2
5.803691250E-1,1.137985403E0,2.081211162E-1,1.349380667E0
7.816501250E-1,-2.680509835E-1,-8.823892808E-1,8.394777346E-1
9.829311250E-1,7.358252390E-1,-5.720331073E-3,4.446541455E-1
1.184212125E0,2.316639067E-1,2.149167502E-1,-7.727782533E-2
1.385493125E0,6.416596317E-1,4.024656075E-1,-7.036821444E-1
1.586774583E0,4.311213131E-1,1.354144979E0,1.088386688E0
1.788055583E0,-2.349814707E-1,8.020380127E-1,2.477569060E-1
1.989336583E0,-3.622961131E-1,-1.175428340E0,-1.604411656E0
2.190617583E0,1.663813519E-1,-9.191378617E-1,-1.258562883E0
2.391899583E0,-1.091851894E0,-1.891200042E-1,-1.549098019E0
2.593180208E0,4.110718319E-1,-1.390169674E-1,1.623035038E-1
2.794461208E0,-9.626236045E-1,6.733027893E-1,-3.019928279E-1
2.995742208E0,2.858800212E-1,-2.394212615E-1,4.309986312E-2
3.197023208E0,5.679976514E-1,1.074332321E-1,4.411361317E-1
3.398305208E0,6.591545740E-1,5.536734349E-1,5.425853598E-1
3.599587333E0,-6.662560174E-1,1.402216108E0,-1.900232821E0
3.800868333E0,3.784130859E-1,5.091205752E-1,1.668023515E-1
4.002149333E0,-2.232069325E-1,2.784104955E-1,-9.838817418E-1
4.203430333E0,-2.837033951E-1,9.214966285E-1,-8.344362652E-1
4.404712333E0,-1.209443933E-1,-2.638789952E-2,-1.127784058E0
4.605993083E0,-4.870134223E-1,5.628997564E-2,-9.104604475E-1
4.807274083E0,-1.336515623E-1,-6.830074131E-2,-1.506885946E-1
5.008555083E0,3.637260497E-3,2.335389626E-1,6.847557306E-2
5.209836083E0,-2.097157542E0,-4.332552910E-1,-1.324092337E0
5.411117083E0,-3.316714380E0,1.201488211E0,1.970453203E-1
5.612398083E0,-9.165033256E-1,-7.424478686E-1,1.363112561E0
5.813679083E0,1.074233795E0,-7.748262405E-2,2.147829659E0
6.014961083E0,-1.802695562E0,1.224070743E0,-4.087212512E-1
6.216242083E0,-1.986582747E-1,-3.990069795E-1,-1.190792484E0
6.417523458E0,-2.303232864E-1,-1.243281770E0,-2.218743521E0
6.618805458E0,-5.264923605E-1,4.340084124E-1,1.006179514E0
6.820086458E0,1.568058347E0,-1.540551290E0,-1.423033365E0
7.021367458E0,4.642568629E-1,-4.708464557E-1,-3.582898933E-1
7.222649458E0,-1.537624758E-1,-3.886059523E-2,7.847080350E-1
7.423931333E0,-6.182106158E-1,-8.014959759E-1,1.667291443E0
7.625212333E0,-2.081130762E0,1.988152140E0,4.618646208E-1
7.826493333E0,1.314383766E0,-1.300759900E-1,6.603973266E-1
8.027775333E0,3.475307241E-1,4.360718948E-1,-1.121488945E0
8.229056333E0,-2.671736088E-1,2.824602771E-1,1.822167814E-1
8.430336958E0,3.701196876E-1,-5.622600710E-1,-2.736824369E-1
8.631617958E0,1.165174517E0,-1.640657961E0,5.751391482E-1
8.832898958E0,1.367222276E0,-6.888774329E-1,1.308411566E0
9.034180958E0,-4.385133997E-1,-1.689213824E-1,1.592430711E-2
9.235462958E0,1.715756090E0,9.986523932E-1,-3.863756780E-1
9.436745250E0,2.153137761E-1,-6.149189258E-1,2.746752942E-1
9.638027250E0,-5.501814777E-1,2.978402084E-1,-1.268258151E-1
9.839308250E0,-1.889922425E-1,-1.372476000E-1,2.084093839E-2
1.004059025E1,-1.421344981E0,-4.469383603E-1,1.273743717E0
1.024187225E1,7.482781273E-1,7.007712543E-1,1.685309638E0
1.044315308E1,-1.097516238E0,3.871616900E-2,8.760675636E-1
1.064443508E1,4.698220235E-1,8.514247656E-2,-6.639875901E-1
1.084571708E1,5.705891374E-1,-2.920713454E-1,3.203587130E-2
1.104699908E1,1.024683613E-1,1.512130898E-1,9.831356370E-1
1.124828008E1,-5.126984864E-2,-6.501331973E-1,8.775969028E-2
1.144956196E1,-9.428521219E-1,4.835372525E-1,-7.646988630E-3
1.165084396E1,-2.792484015E-1,4.407151687E-1,-3.137208076E-1
1.185212596E1,1.536053319E0,1.408459765E-1,-8.002163127E-2
1.205340796E1,7.807789984E-1,7.149858356E-2,-5.523186350E-1
1.225468996E1,-3.667717474E0,4.734289370E0,2.562731125E0
1.245597138E1,1.717251223E-1,1.043796406E0,-3.848502856E-1
1.265725338E1,1.191423545E0,2.565430784E-1,-1.232411796E0
1.285853537E1,3.461981729E0,-2.254938955E0,-1.737245777E0
1.305981738E1,2.666726486E-1,-8.058872348E-1,-7.245528305E-1
1.326109937E1,-4.431654444E-1,-6.209152454E-1,-7.482331038E-1
1.346238183E1,-1.129299364E0,-1.501798868E-1,1.345186167E0
1.366366383E1,4.316803434E-1,3.359090906E-1,1.222850136E0
1.386494583E1,-6.701640040E-1,3.836825967E-2,-5.005889028E-2
1.406622783E1,1.344004737E0,1.604259628E-1,7.209602281E-1
1.426750983E1,-8.053153771E-1,-3.109765631E-1,-2.473813686E-1
1.446879283E1,-2.726542041E-1,-6.592723954E-1,3.694247460E-1
1.467007483E1,2.714569867E-2,1.812636852E-4,7.439529419E-2
1.487135683E1,-7.841203898E-2,2.568097115E-1,6.424511254E-2
1.507263883E1,-3.779406309E-1,-4.193424261E-1,6.590443540E-1
1.527392083E1,-2.322954060E-1,1.101615429E-2,5.861862928E-1
1.547520137E1,3.974864110E-2,8.574427199E-1,-2.721197686E0
1.567648338E1,1.848707960E-1,9.127971411E-2,-3.215319568E-1
1.587776538E1,-5.862881805E-1,-5.733422989E-1,1.108455794E0
1.607904737E1,3.553687413E0,-8.362950951E-1,5.341668311E-1
1.628032938E1,-1.369264416E0,2.202412248E-2,8.023075694E-1
1.648161158E1,-1.274724880E0,-3.526455760E-1,-1.125370327E0
1.668289358E1,1.376525489E0,-7.709974837E-1,1.657178684E0
1.688417558E1,-3.947611700E-1,8.170782208E-1,-3.072703055E-1
1.708545758E1,-4.338827703E-1,-2.691356421E-1,-8.680130240E-1
1.728674058E1,1.782171397E-1,-7.073996580E-1,3.132251099E-2
1.748802321E1,-6.078684993E-1,1.019108292E0,-9.487209722E-2
1.768930521E1,5.556686510E-1,1.428591728E-2,-4.316904299E-1
1.789058721E1,9.609757130E-1,-1.236235875E-1,9.437179483E-2
1.809186921E1,7.075515394E-1,-4.445930421E-2,-6.319014327E-1
1.829315221E1,8.887346792E-1,2.866018599E-1,8.127851951E-1
1.849443408E1,2.940909737E-1,5.392413372E-1,-1.289167210E0
1.869571608E1,-2.721336557E-1,-9.268561864E-1,-3.462349226E0
1.889699808E1,-2.678985759E0,-1.585253254E0,3.306177990E-1
1.909828108E1,-2.009191006E-1,-6.616463649E-1,-8.680215025E-1
1.929956308E1,-4.274969530E-1,6.302889168E-1,6.191195655E-1
1.950084525E1,3.681085378E-1,-6.839809746E-1,4.774286664E-1
1.970212825E1,8.902763707E-1,1.522053623E0,9.273727879E-1
1.990341125E1,1.556207210E-1,6.275477421E-1,-8.395151567E-1
2.010469325E1,-8.375903995E-1,5.792035478E-1,1.116110677E-1
2.030597625E1,5.495718689E-1,2.780584931E-2,-5.722044307E-1
2.050725850E1,6.103934001E-1,3.193743342E-1,4.877612811E-1
2.070854150E1,-1.322469734E0,-1.557265556E-1,2.576166272E-1
2.090982350E1,4.060394257E-2,1.510960870E0,1.154250895E0
2.111110650E1,2.747368361E-1,6.458150285E-1,-1.219381860E0
2.131238950E1,-2.419991527E-1,-3.579992867E-1,-4.171842188E-1
2.151367321E1,4.202613160E-1,-3.820453763E-2,9.243863225E-2
2.171495621E1,5.068620881E-1,-1.116519982E-1,5.158169527E-1
2.191623921E1,1.463987848E-1,-2.375092220E-1,-7.102729797E-2
2.211752321E1,-2.883047153E-1,5.041440099E-1,-3.920897233E-1
2.231880621E1,-2.831625277E-1,2.302282691E-2,-5.499236155E-1
2.252008808E1,-1.581975889E-1,1.275050277E0,-8.480801582E-3
2.272137208E1,2.043601871E-4,4.835635650E-1,7.693520772E-1
2.292265508E1,3.568719435E-1,-5.712215137E-1,3.983123302E-1
2.312393808E1,-3.356918666E-1,1.311144555E-1,5.207846010E-1
2.332522208E1,6.258640364E-2,-3.036564338E-1,-1.245285757E0
2.352650608E1,1.462412608E0,1.167905313E-1,-1.730301039E0
2.372779008E1,-1.470975563E0,5.926480508E-1,2.072370172E-1
2.392907308E1,-1.351266979E0,1.961058481E0,7.140362477E-1
2.413035708E1,-6.438500717E-1,1.437636786E0,-7.247518551E-1
2.433164108E1,3.796003631E-1,5.673494875E-1,-2.341989963E0
2.453292358E1,2.829596878E0,-1.557340985E0,-1.352306614E0
2.473420758E1,2.596420150E0,-7.283169025E-1,1.457575207E0
2.493549058E1,2.770333301E-1,1.088152215E0,1.342460195E0
2.513677458E1,4.691693281E-1,-1.675950000E0,4.171529362E-1
2.533805758E1,5.584586500E-1,-1.069564501E0,5.123958930E-1
2.553934146E1,2.241222849E0,4.876151007E-1,-4.497549641E-1
2.574062446E1,-2.293759936E0,-3.433116657E-1,-1.003083852E0
2.594190846E1,-3.880209383E-1,1.401285231E-1,4.169532537E-2
2.614319246E1,-3.100946568E-1,2.053425193E-2,4.304647073E-3
2.634447546E1,2.872750206E-1,-1.521135610E-1,-3.381982756E-1
2.654575946E1,4.883812322E-1,-1.816566181E-1,3.312494445E-1
2.674704346E1,3.997299877E-1,2.745267749E-1,1.083842232E0
2.694832646E1,5.906427482E-1,-7.644708216E-2,6.209585148E-1
2.714961046E1,-2.788534221E-1,1.102351593E0,1.263796141E0
2.735089446E1,5.230359252E-1,-2.961468548E-1,7.977816783E-1
2.755217750E1,-4.764441414E-1,-1.373394012E-1,-1.097681715E0
2.775346150E1,-1.799343207E-1,-7.751548541E-1,-7.148121732E-1
2.795474550E1,-2.351419768E-1,-2.754652530E-1,1.177064976E-1
2.815602950E1,-6.821107426E-1,7.553520888E-1,2.270187617E0
2.835731350E1,-1.421259027E0,1.819463477E0,4.103561327E-1
2.855859825E1,4.201521192E-1,3.301174235E-1,4.827502173E-1
2.875988225E1,1.556967348E-2,-4.473260307E-1,-4.993785657E-1
2.896116625E1,-6.429756206E-1,-7.505743289E-1,-7.617050886E-1
2.916245025E1,1.881938783E-1,1.667859793E-2,-1.759719404E0
2.936373425E1,6.193071149E-1,7.825942665E-1,-1.145985563E0
2.956501746E1,-1.107001811E0,-2.271081948E-1,9.515250045E-1
2.976630246E1,-7.185178462E-1,4.988394159E-1,9.108289683E-1
2.996758746E1,-1.032765049E0,-3.043066442E-2,1.030822312E0
3.016887246E1,-3.193165930E-1,1.670882803E-1,8.483608246E-2
3.037015746E1,-1.202652099E0,3.296104699E-1,8.269439355E-1
3.057144225E1,-3.865141109E-1,2.702279019E-1,-6.730835187E-1
3.077272725E1,7.899559110E-1,3.398711640E-1,-1.523383865E0
3.097401325E1,8.339155707E-1,6.733671087E-1,-2.119422716E0
3.117529825E1,1.516856764E0,-2.409877306E-1,-8.912369952E-1
3.137658325E1,2.027342810E0,-2.033812462E0,1.617778391E0
3.157786946E1,-3.690065970E-1,-1.246280222E0,1.409851987E0
3.177915446E1,1.877948205E0,-2.217562383E-1,3.188685501E-1
3.198044046E1,3.135865409E-1,1.676800185E-1,2.967219284E-1
3.218172546E1,-1.514421545E0,8.946006060E-2,6.622673392E-1
3.238301146E1,-1.174003959E-2,-7.998406291E-2,-6.803340662E-1
3.258429650E1,3.980170459E-1,-1.711773552E0,-2.492311937E0
3.278558250E1,9.497749329E-1,2.877158715E0,2.421795101E0
3.298686750E1,-2.709398297E0,-3.656214246E0,-3.769334188E0
3.318815250E1,-1.078147629E0,6.825957692E-1,4.997357941E-1
3.338943850E1,9.786864907E-2,4.413846749E-1,1.788522935E0
3.359072383E1,6.629102406E-1,1.394876683E-1,-4.612061512E-1
3.379200883E1,-1.818936496E-1,-5.212307435E-1,-1.288465544E0
3.399329383E1,-1.054487017E0,2.456228185E-1,-3.715076704E-1
3.419457883E1,-2.477368793E-1,3.747024429E-1,1.834061050E-1
3.439586383E1,-1.241229397E-1,3.178780317E-2,-1.449976165E0
3.459714912E1,-5.700102630E-1,1.339754981E-1,6.082960770E-1
3.479843412E1,-4.186828601E-1,1.229420945E0,-1.928999367E0
3.499971913E1,-4.485499261E-1,-4.764597827E-1,-3.347677141E-1
3.520100413E1,1.551957380E-1,-2.163235903E-1,7.103899240E-1
3.540228913E1,7.400224435E-1,-6.244054484E-1,1.936991926E0
3.560357437E1,2.053916359E-1,-3.491559577E-1,1.885674423E0
3.580485937E1,-2.134480904E0,1.040771057E0,-1.260147186E0
3.600614438E1,-5.018827455E-1,-6.058019471E-1,5.127204135E-1
3.620742837E1,4.934054522E-1,4.010470730E-1,-2.428630789E-1
3.640871337E1,-5.525553010E-1,-1.212847012E-1,4.639634058E-2
3.660999833E1,7.297525401E-1,-1.956256163E-1,-1.685120042E-1
3.681128333E1,2.021382743E0,-7.992114687E-1,5.572162628E-2
3.701256933E1,9.160089435E-1,-3.584080070E-1,-7.342384509E-1
3.721385433E1,8.330206543E-2,-2.725586021E-1,-3.874657452E-1
3.741513933E1,-1.078843155E0,-1.112615211E0,2.252844483E-1
3.761642500E1,-1.411661408E0,-7.365737557E-2,2.401463163E-1
3.781771000E1,1.138892525E0,1.439221382E0,-3.389815101E-1
3.801899500E1,-2.258363085E0,-3.160887837E-1,-3.917008835E-1
3.822028000E1,-1.338350187E-1,2.093578023E-1,-1.123425543E-1
3.842156500E1,-1.047887557E0,-6.510693365E-1,6.447748089E-1
3.862285021E1,4.075322199E-1,1.009570314E0,-1.014607946E-2
3.882413621E1,-2.239565456E-1,-1.502232732E0,-3.705246073E-1
3.902542121E1,1.443729292E0,4.245125341E-1,9.580966902E-1
3.922670621E1,7.398876652E-1,6.272384244E-1,1.774394600E-1
3.942799121E1,-2.533999076E-1,8.022064126E-1,3.472439182E-1
3.962927538E1,-2.259410906E-1,-2.867509639E-1,-1.276815552E-1
3.983056137E1,-6.128442606E-1,-2.476944870E-1,-8.745671681E-1
4.003184638E1,-1.905562265E0,2.063860134E0,-1.699009665E0
4.023313138E1,8.421464038E-1,-2.825421381E-1,-8.262758911E-1
4.043441737E1,3.626973052E-1,-7.323660994E-1,-2.145051062E-3
4.063570333E1,-8.404147509E-1,1.261312829E0,8.451799393E-1
4.083698933E1,-7.066053137E-1,-1.297637486E-1,-2.874713409E-1
4.103827433E1,-9.797876675E-1,-4.692191756E-1,-9.727588758E-1
4.123956033E1,5.952417295E-1,-1.351762823E0,-1.100839650E0
4.144084533E1,1.084003031E0,-7.470636606E-1,-1.066610488E0
4.164213021E1,7.515030129E-1,1.708661664E-1,1.548132351E0
4.184341521E1,2.313553638E0,-1.687541521E-1,-2.030189381E0
4.204470121E1,-1.610758808E-1,-3.416422856E-1,-1.127510408E0
4.224598721E1,-4.069334650E-1,9.855657399E-2,-7.075692272E-1
4.244727396E1,-5.524741709E-3,6.185535550E-2,8.616237715E-2
4.264855996E1,2.841954383E-1,5.894706738E-1,3.198391879E-1
4.284984496E1,2.119013045E-1,1.220764142E-1,1.996263544E-1
4.305113096E1,6.437793204E-1,1.728056293E0,-1.259144096E0
4.325241696E1,7.974622741E-1,-5.319866967E-1,-1.312419248E-1
4.345370258E1,-8.748668379E-1,-8.841726816E-1,-6.759591794E-1
4.365498758E1,1.342533285E0,-5.669939768E-1,2.582495883E-2
4.385627358E1,1.003790634E0,-3.841509587E-1,-6.803422523E-1
4.405755858E1,-1.535093791E0,2.504479408E-2,-5.789819384E-1
4.425884458E1,-1.179957594E0,-2.015161014E-1,1.648830614E0
4.446013012E1,-2.257794151E-1,-3.417966521E-1,1.722882092E-2
4.466141512E1,-4.471272254E-1,-1.334024709E-1,6.042769933E-1
4.486270112E1,-1.014139621E-1,2.581066239E-1,2.704887608E-1
4.506398612E1,1.185241284E0,1.927078557E-1,2.142083600E-2
4.526527213E1,8.412549958E-2,1.020827959E0,4.080723564E-1
4.546655708E1,-7.802520912E-1,-9.938524139E-1,-1.082081197E0
4.566784208E1,-9.237867636E-1,1.680595028E0,2.432723109E-1
4.586912808E1,-6.521121144E-1,1.011088251E0,7.376072511E-2
4.607041308E1,-9.424001321E-2,-3.709719193E-1,-7.742669544E-1
4.627169808E1,-7.056984106E-1,-5.013771075E-1,-5.153934681E-1
4.647298363E1,-1.214609948E-1,1.212659901E-1,1.275225109E-1
4.667426862E1,-5.768602762E-1,-1.626286089E-2,-8.581359074E-1
4.687555463E1,-4.008155233E-1,5.300746572E-1,1.156785078E0
4.707684062E1,7.413813365E-1,1.977972722E-1,7.502492237E-1
4.727812563E1,-7.822913808E-1,-1.888907349E0,-1.399486043E0
4.747941150E1,1.856286317E-1,1.305801369E0,8.889557040E-1
4.768069750E1,2.254281436E-1,1.777634835E0,-6.336019492E-1
4.788198250E1,9.851681292E-2,-3.820132166E-1,-5.244608916E-2
4.808326850E1,1.191973037E0,4.002693933E-1,-1.034466004E-1
4.828455350E1,-1.244621659E0,2.013137877E-1,-4.729122770E-1
4.848583958E1,1.650631118E0,8.774191475E-1,1.576947284E0
4.868712458E1,1.609004059E0,2.187126456E0,6.713889956E-2
