"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.308763333E-1,-7.439956069E-2,-5.247856975E-1,-6.174328178E-2
3.321713333E-1,-8.397173285E-1,-2.724598628E-3,-5.646591783E-1
5.334663333E-1,-8.673437238E-1,-3.567291200E-1,-5.438409448E-1
7.347614167E-1,-2.901265621E-1,-5.034276247E-1,-4.098605514E-1
9.360564167E-1,1.371066570E-1,-5.364187956E-1,-6.470680237E-2
1.137351417E0,8.213678747E-2,-1.081924811E-1,1.918261349E-1
1.338646417E0,8.898670226E-2,-6.700478196E-1,2.527223527E-1
1.539941417E0,3.786581382E-2,-8.112663627E-1,-4.421804100E-2
1.741235958E0,-2.195362896E-1,-1.241050065E-1,-2.182676494E-1
1.942530958E0,4.422764182E-1,5.943072960E-2,1.003661752E-1
2.143825958E0,2.261201441E-1,-1.801160872E-1,6.225634366E-2
2.345120958E0,-1.784772612E-2,1.003804952E-1,1.104213819E-1
2.546415958E0,-6.905667484E-2,1.236873418E-1,5.671043694E-2
2.747711458E0,6.257111579E-2,8.926352113E-2,-1.661975086E-1
2.949006458E0,-1.152341887E-1,-2.084748633E-2,-2.032098360E-3
3.150301458E0,-1.309579760E-1,2.662547827E-1,1.637349129E-1
3.351597458E0,-3.116064668E-1,-3.574953675E-1,-1.558841467E-1
3.552892458E0,-8.636629581E-1,-3.491549194E-1,2.885119021E-1
3.754189417E0,-7.333854437E-1,-8.667542785E-2,-5.138136446E-2
3.955484417E0,-2.851966918E-1,4.249513447E-1,-2.921369970E-1
4.156779417E0,-1.125862747E-1,1.659625173E-1,-3.037897348E-1
4.358075417E0,1.590027362E-1,-5.073096752E-1,-4.450485110E-1
4.559370417E0,3.934625089E-1,-4.680061713E-2,8.380353451E-2
4.760664417E0,6.450138241E-2,2.329588830E-1,1.223284304E-1
4.961960417E0,3.220529258E-1,1.127117574E-1,4.520937055E-2
5.163255417E0,9.988588095E-1,7.450366020E-1,2.901579440E-1
5.364550417E0,1.065714434E-1,-2.683571279E-1,1.943067908E-1
5.565846417E0,-3.315006495E-1,-5.050979853E-1,-3.850641847E-1
5.767141042E0,4.738849699E-1,2.882858217E-1,-1.211036891E-1
5.968437042E0,1.309386939E-1,-3.281134069E-1,-6.577753276E-2
6.169733042E0,-7.568190247E-2,-2.437218875E-1,1.504338682E-1
6.371029042E0,2.188315690E-1,3.222677484E-2,-1.212780476E-1
6.572324042E0,6.702806056E-2,-6.024656892E-1,-2.368249595E-1
6.773621083E0,-1.074528247E-1,-6.052472070E-2,7.280341536E-2
6.974917083E0,5.887290463E-4,2.373568267E-1,3.340060636E-2
7.176212083E0,5.252391845E-2,-1.037901759E0,2.081601918E-1
7.377508083E0,-8.959020674E-2,-4.003413618E-1,2.391919792E-1
7.578804083E0,-2.399287187E-3,6.630068421E-1,-7.332541794E-2
7.780099042E0,-1.538826376E-1,-1.724482477E-1,4.265988767E-1
7.981395042E0,-4.431229830E-1,-3.859085441E-1,-2.497393936E-1
8.182691042E0,-9.523085505E-2,5.742536783E-1,2.088368498E-2
8.383987042E0,7.432192564E-2,1.077133268E-1,1.062527299E-3
8.585283042E0,-1.727145165E-3,5.778086185E-1,-8.671772480E-2
8.786580083E0,-2.999243736E-1,1.330283403E0,-1.892238557E-1
8.987876083E0,-5.397099853E-1,1.487444043E0,2.741427347E-2
9.189172083E0,-9.120722860E-2,6.760951877E-1,-1.674983501E-1
9.390468083E0,4.081623256E-1,4.464296103E-1,-4.342299998E-1
9.591764083E0,6.606208682E-1,-9.693115950E-2,1.345502734E-1
9.793059708E0,5.420749784E-1,-8.209352940E-2,1.268754303E-1
9.994355708E0,2.167375684E-1,-4.463900924E-1,6.349686533E-2
1.019565171E1,-1.060733050E-1,-1.683810800E-1,-3.012178093E-2
1.039694771E1,1.080025285E-1,-1.784981787E-2,1.755957492E-2
1.059824371E1,2.810657322E-1,1.135535613E-1,1.680727862E-2
1.079953958E1,3.535526693E-1,-1.203021631E-1,1.118543744E-2
1.100083558E1,2.029744536E-1,-1.942514032E-1,1.024381667E-1
1.120213158E1,1.017232910E-1,-8.603351563E-2,6.882108748E-2
1.140342758E1,-3.154460192E-1,-1.925107092E-1,-8.339739591E-2
1.160472358E1,-2.520515919E-1,-1.559679210E-1,-3.844659403E-2
1.180601967E1,-1.682729274E-2,3.219071031E-2,5.260224640E-2
1.200731567E1,-5.510097370E-2,1.314058900E-1,3.840103373E-2
1.220861167E1,-2.036176156E-3,-2.903475612E-2,1.293425635E-2
1.240990867E1,-1.014072374E-1,-6.412616372E-2,-3.088406473E-2
1.261120467E1,-1.783610880E-1,1.229834482E-1,1.331205014E-2
1.281250104E1,-5.395999178E-2,1.485582292E-1,1.008598953E-1
1.301379704E1,-2.582931425E-3,1.673940420E-1,1.522566974E-1
1.321509304E1,7.319337875E-2,-4.375991225E-2,-1.500375755E-2
1.341638904E1,3.115190268E-1,1.878715456E-1,2.626668289E-2
1.361768504E1,6.506548822E-2,2.424629033E-1,1.278058141E-1
1.381898042E1,6.754636019E-2,4.370184615E-2,3.583290055E-2
1.402027642E1,5.991115049E-2,-3.618959337E-2,3.617771715E-2
1.422157242E1,-9.209623560E-3,-1.387930289E-2,4.346640036E-2
1.442286842E1,-2.989141084E-2,1.498293970E-2,2.885466628E-2
1.462416542E1,-9.331362695E-2,1.778645217E-1,-8.415535092E-3
1.482546167E1,-8.598891646E-2,1.710712314E-1,-7.531039417E-3
1.502675867E1,-4.072669148E-2,4.564106464E-2,-2.944312990E-2
1.522805467E1,-1.415630281E-1,-1.729805209E-2,1.495982409E-1
1.542935067E1,4.226077348E-2,-1.538164355E-2,6.328632124E-3
1.563064767E1,7.027029991E-2,-4.295553863E-1,1.637354307E-2
1.583194417E1,-5.208386183E-1,-2.822979987E-1,3.688667715E-1
1.603324017E1,-5.478641391E-2,1.254106164E-1,6.703431010E-1
1.623453717E1,2.274159193E-1,5.256756544E-1,-3.112674691E-3
1.643583317E1,-2.711469233E-1,6.761397719E-1,-8.327078819E-2
1.663713017E1,-1.040697396E-1,-1.242552757E0,-3.496351838E-1
1.683842579E1,-6.638312340E-2,-3.468942344E-1,-4.061749876E-1
1.703972179E1,-3.255079687E-1,-2.347298115E-1,-6.094741821E-2
1.724101879E1,2.952493429E-1,-1.165668666E-1,-8.215790242E-2
1.744231579E1,8.251537569E-3,-1.439293325E-1,1.489174217E-1
1.764361279E1,2.008550614E-1,6.800228357E-1,1.860058606E-1
1.784491129E1,-4.980788529E-1,5.457700789E-2,1.082803532E-1
1.804620829E1,-2.000811249E-1,2.201364934E-2,-1.174077615E-1
1.824750529E1,-2.756136656E-1,1.901234686E-1,-5.632054433E-2
1.844880229E1,-5.617978573E-1,-2.418930829E-1,1.005581468E-1
1.865009929E1,-1.505931318E-1,1.121109650E-1,7.855718583E-2
1.885139542E1,-4.044272900E-1,2.625144832E-2,2.869474702E-2
1.905269242E1,1.383161694E-1,3.111103773E-1,-8.262801915E-3
1.925398942E1,1.387243718E-1,3.295985982E-2,-7.941297442E-2
1.945528642E1,-9.627316594E-1,7.880032659E-1,-3.757291287E-2
1.965658342E1,3.559536934E-1,6.618493795E-2,-8.894800395E-2
1.985788046E1,-2.290448099E-1,-7.920553684E-1,2.608987093E-1
2.005917746E1,-1.232627258E-1,1.422089338E-1,2.163790353E-2
2.026047446E1,3.997891545E-1,-6.593199372E-1,-2.973324060E-1
2.046177146E1,-1.734018028E-1,4.870571494E-1,-7.922522724E-2
2.066306846E1,-3.300963044E-1,-3.003658354E-2,-1.328932047E-1
2.086436592E1,4.073981047E-1,5.635126829E-1,-3.710084036E-2
2.106566392E1,8.948924541E-1,-6.773624420E-1,1.959504932E-1
2.126696192E1,7.296108603E-1,8.678003550E-1,2.514085546E-2
2.146825992E1,7.346981764E-1,7.950782776E-1,1.562562138E-1
2.166955792E1,5.246594548E-1,9.574488550E-2,-6.408528984E-2
2.187085667E1,2.061342746E-1,1.478205621E-1,-7.054158300E-2
2.207215567E1,2.128251195E-1,-5.527848601E-1,-3.235250711E-1
2.227345367E1,-3.306130767E-1,-3.106604815E-1,2.434026599E-1
2.247475267E1,-1.620255858E-1,2.233541161E-1,2.945755720E-1
2.267605067E1,4.077828676E-2,3.072839696E-3,-2.308595367E-2
2.287734954E1,-8.117339760E-2,2.789855562E-2,-8.445525914E-2
2.307864754E1,2.684862539E-2,-5.314009637E-2,-8.151212707E-3
2.327994654E1,-1.610604525E-1,1.186828837E-1,-7.325296849E-2
2.348124454E1,-1.071170941E-1,2.908620238E-1,-1.919776797E-1
2.368254354E1,-3.987855911E-1,7.182595730E-1,-4.182119966E-1
2.388384154E1,-1.586247683E-1,3.709528446E-1,-2.526674569E-1
2.408514054E1,3.492728174E-1,6.939201057E-2,-4.113964438E-1
2.428643854E1,2.960237861E-1,6.083205715E-2,-8.124067634E-2
2.448773754E1,-2.406366765E-1,2.158940881E-1,3.437943757E-1
2.468903554E1,-1.441082209E-1,-2.455518097E-1,1.929953694E-1
2.489033492E1,2.333359420E-2,-1.000981480E-1,1.667356789E-1
2.509163392E1,5.328050256E-2,1.336742043E-1,7.263430953E-2
2.529293292E1,6.981961895E-3,4.886435866E-1,3.703932762E-1
2.549423192E1,7.655681968E-1,1.296871006E-1,1.077277288E-1
2.569553192E1,1.782741100E-1,2.970554531E-1,1.000747085E-2
2.589683129E1,2.761592567E-1,-3.210848272E-1,1.795511693E-2
2.609813029E1,-1.164432894E-2,-1.522259951E0,-1.446010768E-1
2.629942929E1,-3.825924173E-2,6.801016629E-2,1.737863421E-1
2.650072829E1,-2.430939302E-2,4.795173407E-1,-7.243733108E-2
2.670202729E1,-6.026782840E-2,4.920389354E-1,9.897020459E-2
2.690332529E1,2.273343503E-1,-9.319080114E-1,1.315059960E-1
2.710462429E1,-2.031554282E-1,-1.901798695E-1,-2.437411845E-1
2.730592329E1,-6.038913131E-2,5.704762936E-1,-4.809844308E-3
2.750722229E1,-6.440242529E-1,3.859944940E-1,-8.286679164E-3
2.770852129E1,-5.517511368E-1,1.392578334E-1,9.467078373E-3
2.790982204E1,-2.682615519E-1,2.711263299E-1,-2.595528029E-2
2.811112104E1,1.810190529E-1,3.829801977E-1,-1.294827461E-1
2.831242004E1,1.639774591E-1,8.941736817E-2,-1.368845552E-1
2.851372004E1,5.494892597E-1,-1.480534375E-1,-2.891476154E-1
2.871501904E1,3.666917086E-1,-1.428299956E-2,-1.350061297E-1
2.891631742E1,3.103144467E-1,2.080665082E-1,4.633506760E-2
2.911761742E1,6.235920787E-1,1.480121724E-2,-5.375949200E-3
