"Time (s)","Distance (cm)"
2.106593333E-1,0.000000000E0
4.106593333E-1,0.000000000E0
6.106593333E-1,0.000000000E0
8.106593333E-1,0.000000000E0
1.010659333E0,0.000000000E0
1.210659333E0,0.000000000E0
1.410659333E0,0.000000000E0
1.610659333E0,0.000000000E0
1.810659333E0,0.000000000E0
2.010659333E0,0.000000000E0
2.210659333E0,0.000000000E0
2.410659333E0,0.000000000E0
2.610659333E0,0.000000000E0
2.810659333E0,0.000000000E0
3.010659333E0,0.000000000E0
3.210659333E0,0.000000000E0
3.410659333E0,0.000000000E0
3.610659333E0,0.000000000E0
3.810659333E0,0.000000000E0
4.010659333E0,0.000000000E0
4.210659333E0,0.000000000E0
4.410659333E0,0.000000000E0
4.610659333E0,0.000000000E0
4.810659333E0,0.000000000E0
5.010659333E0,0.000000000E0
5.210659333E0,0.000000000E0
5.410659333E0,0.000000000E0
5.610659333E0,0.000000000E0
5.810659333E0,0.000000000E0
6.010659333E0,0.000000000E0
6.210659333E0,0.000000000E0
6.410659333E0,0.000000000E0
6.610659333E0,0.000000000E0
6.810659333E0,0.000000000E0
7.010659333E0,0.000000000E0
7.210659333E0,0.000000000E0
7.410659333E0,0.000000000E0
7.610659333E0,0.000000000E0
7.810659333E0,0.000000000E0
8.010659333E0,0.000000000E0
8.210659333E0,0.000000000E0
8.410659333E0,0.000000000E0
8.610659333E0,0.000000000E0
8.810659333E0,0.000000000E0
9.010659333E0,0.000000000E0
9.210659333E0,0.000000000E0
9.410659333E0,0.000000000E0
9.610659333E0,0.000000000E0
9.810659333E0,0.000000000E0
1.001065933E1,0.000000000E0
1.021065933E1,0.000000000E0
1.041065933E1,0.000000000E0
1.061065933E1,0.000000000E0
1.081065933E1,0.000000000E0
1.101065933E1,0.000000000E0
1.121065933E1,0.000000000E0
1.141065933E1,0.000000000E0
1.161065933E1,0.000000000E0
1.181065933E1,0.000000000E0
1.201065933E1,0.000000000E0
1.221065933E1,0.000000000E0
1.241065933E1,0.000000000E0
1.261065933E1,0.000000000E0
1.281065933E1,0.000000000E0
1.301065933E1,0.000000000E0
1.321065933E1,0.000000000E0
1.341065933E1,0.000000000E0
1.361065933E1,0.000000000E0
1.381065933E1,0.000000000E0
1.401065933E1,0.000000000E0
1.421065933E1,0.000000000E0
1.441065933E1,0.000000000E0
1.461065933E1,0.000000000E0
1.481065933E1,0.000000000E0
1.501065933E1,0.000000000E0
1.521065933E1,0.000000000E0
1.541065933E1,0.000000000E0
1.561065933E1,0.000000000E0
1.581065933E1,0.000000000E0
1.601065933E1,0.000000000E0
1.621065933E1,0.000000000E0
1.641065933E1,0.000000000E0
1.661065933E1,0.000000000E0
1.681065933E1,0.000000000E0
1.701065933E1,0.000000000E0
1.721065933E1,0.000000000E0
1.741065933E1,0.000000000E0
1.761065933E1,0.000000000E0
1.781065933E1,0.000000000E0
1.801065933E1,0.000000000E0
1.821065933E1,0.000000000E0
1.841065933E1,0.000000000E0
1.861065933E1,0.000000000E0
1.881065933E1,0.000000000E0
1.901065933E1,0.000000000E0
1.921065933E1,0.000000000E0
1.941065933E1,0.000000000E0
1.961065933E1,0.000000000E0
1.981065933E1,0.000000000E0
2.001065933E1,0.000000000E0
2.021065933E1,0.000000000E0
2.041065933E1,0.000000000E0
2.061065933E1,0.000000000E0
2.081065933E1,0.000000000E0
2.101065933E1,0.000000000E0
2.121065933E1,0.000000000E0
2.141065933E1,0.000000000E0
2.161065933E1,0.000000000E0
2.181065933E1,0.000000000E0
2.201065933E1,0.000000000E0
2.221065933E1,0.000000000E0
2.241065933E1,0.000000000E0
2.261065933E1,0.000000000E0
2.281065933E1,0.000000000E0
2.301065933E1,0.000000000E0
2.321065933E1,0.000000000E0
2.341065933E1,0.000000000E0
2.361065933E1,0.000000000E0
2.381065933E1,0.000000000E0
2.401065933E1,0.000000000E0
2.421065933E1,0.000000000E0
2.441065933E1,0.000000000E0
2.461065933E1,0.000000000E0
2.481065933E1,0.000000000E0
2.501065933E1,0.000000000E0
2.521065933E1,0.000000000E0
2.541065933E1,0.000000000E0
2.561065933E1,0.000000000E0
2.581065933E1,0.000000000E0
2.601065933E1,0.000000000E0
2.621065933E1,0.000000000E0
2.641065933E1,0.000000000E0
2.661065933E1,0.000000000E0
2.681065933E1,0.000000000E0
2.701065933E1,0.000000000E0
2.721065933E1,0.000000000E0
2.741065933E1,0.000000000E0
2.761065933E1,0.000000000E0
2.781065933E1,0.000000000E0
2.801065933E1,0.000000000E0
2.821065933E1,0.000000000E0
2.841065933E1,0.000000000E0
2.861065933E1,0.000000000E0
2.881065933E1,0.000000000E0
2.901065933E1,0.000000000E0
2.921065933E1,0.000000000E0
2.941065933E1,0.000000000E0
2.961065933E1,0.000000000E0
2.981065933E1,0.000000000E0
3.001065933E1,0.000000000E0
3.021065933E1,0.000000000E0
3.041065933E1,0.000000000E0
3.061065933E1,0.000000000E0
3.081065933E1,0.000000000E0
3.101065933E1,0.000000000E0
3.121065933E1,0.000000000E0
3.141065933E1,0.000000000E0
3.161065933E1,0.000000000E0
3.181065933E1,0.000000000E0
3.201065933E1,0.000000000E0
3.221065933E1,0.000000000E0
3.241065933E1,0.000000000E0
3.261065933E1,0.000000000E0
3.281065933E1,0.000000000E0
3.301065933E1,0.000000000E0
3.321065933E1,0.000000000E0
3.341065933E1,0.000000000E0
3.361065933E1,0.000000000E0
3.381065933E1,0.000000000E0
3.401065933E1,0.000000000E0
3.421065933E1,0.000000000E0
3.441065933E1,0.000000000E0
3.461065933E1,0.000000000E0
3.481065933E1,0.000000000E0
3.501065933E1,0.000000000E0
3.521065933E1,0.000000000E0
3.541065933E1,0.000000000E0
3.561065933E1,0.000000000E0
3.581065933E1,0.000000000E0
3.601065933E1,0.000000000E0
3.621065933E1,0.000000000E0
3.641065933E1,0.000000000E0
3.661065933E1,0.000000000E0
3.681065933E1,0.000000000E0
3.701065933E1,0.000000000E0
3.721065933E1,0.000000000E0
3.741065933E1,0.000000000E0
3.761065933E1,0.000000000E0
3.781065933E1,0.000000000E0
3.801065933E1,0.000000000E0
3.821065933E1,0.000000000E0
3.841065933E1,0.000000000E0
3.861065933E1,0.000000000E0
3.881065933E1,0.000000000E0
3.901065933E1,0.000000000E0
3.921065933E1,0.000000000E0
3.941065933E1,0.000000000E0
3.961065933E1,0.000000000E0
3.981065933E1,0.000000000E0
4.001065933E1,0.000000000E0
4.021065933E1,0.000000000E0
4.041065933E1,0.000000000E0
4.061065933E1,0.000000000E0
4.081065933E1,0.000000000E0
4.101065933E1,0.000000000E0
4.121065933E1,0.000000000E0
4.141065933E1,0.000000000E0
4.161065933E1,0.000000000E0
4.181065933E1,0.000000000E0
4.201065933E1,0.000000000E0
4.221065933E1,0.000000000E0
4.241065933E1,0.000000000E0
4.261065933E1,0.000000000E0
4.281065933E1,0.000000000E0
4.301065933E1,0.000000000E0
4.321065933E1,0.000000000E0
4.341065933E1,0.000000000E0
4.361065933E1,0.000000000E0
4.381065933E1,0.000000000E0
4.401065933E1,0.000000000E0
4.421065933E1,0.000000000E0
4.441065933E1,0.000000000E0
4.461065933E1,0.000000000E0
4.481065933E1,0.000000000E0
4.501065933E1,0.000000000E0
4.521065933E1,0.000000000E0
4.541065933E1,0.000000000E0
4.561065933E1,0.000000000E0
4.581065933E1,0.000000000E0
4.601065933E1,0.000000000E0
4.621065933E1,0.000000000E0
4.641065933E1,0.000000000E0
4.661065933E1,0.000000000E0
4.681065933E1,0.000000000E0
4.701065933E1,0.000000000E0
4.721065933E1,0.000000000E0
4.741065933E1,0.000000000E0
4.761065933E1,0.000000000E0
4.781065933E1,0.000000000E0
4.801065933E1,0.000000000E0
4.821065933E1,0.000000000E0
4.841065933E1,0.000000000E0
4.861065933E1,0.000000000E0
4.881065933E1,0.000000000E0
4.901065933E1,0.000000000E0
4.921065933E1,0.000000000E0
4.941065933E1,0.000000000E0
4.961065933E1,0.000000000E0
4.981065933E1,0.000000000E0
5.001065933E1,0.000000000E0
5.021065933E1,0.000000000E0
5.041065933E1,0.000000000E0
5.061065933E1,0.000000000E0
5.081065933E1,0.000000000E0
5.101065933E1,0.000000000E0
5.121065933E1,0.000000000E0
5.141065933E1,0.000000000E0
5.161065933E1,0.000000000E0
5.181065933E1,0.000000000E0
5.201065933E1,0.000000000E0
5.221065933E1,0.000000000E0
5.241065933E1,0.000000000E0
5.261065933E1,0.000000000E0
5.281065933E1,0.000000000E0
5.301065933E1,0.000000000E0
5.321065933E1,0.000000000E0
5.341065933E1,0.000000000E0
5.361065933E1,0.000000000E0
5.381065933E1,5.000000000E0
5.401065933E1,0.000000000E0
5.421065933E1,0.000000000E0
5.441065933E1,0.000000000E0
5.461065933E1,0.000000000E0
5.481065933E1,0.000000000E0
5.501065933E1,0.000000000E0
5.521065933E1,0.000000000E0
5.541065933E1,0.000000000E0
5.561065933E1,0.000000000E0
5.581065933E1,0.000000000E0
5.601065933E1,0.000000000E0
5.621065933E1,0.000000000E0
5.641065933E1,0.000000000E0
5.661065933E1,0.000000000E0
5.681065933E1,0.000000000E0
5.701065933E1,0.000000000E0
