"Time (s)","X (hPa)"
-5.248817083E-1,1.014420242E3
5.123192917E-1,1.014440689E3
1.549749292E0,1.014432602E3
2.587243292E0,1.014461136E3
3.624521292E0,1.014504166E3
4.661843292E0,1.014504166E3
4.793528292E0,1.014745789E3
5.754141292E0,1.014745789E3
6.714736292E0,1.014745789E3
7.675285292E0,1.014665756E3
8.635905292E0,1.014417496E3
9.596484292E0,1.014410172E3
1.055710229E1,1.014286957E3
1.151770429E1,1.014286957E3
1.247830729E1,1.014461746E3
1.343888329E1,1.014599152E3
1.439953929E1,1.014599152E3
1.536014229E1,1.014516373E3
1.632075529E1,1.014483185E3
1.728121229E1,1.014317017E3
1.824171329E1,1.014022598E3
1.920221529E1,1.014022598E3
2.016271229E1,1.014051514E3
2.112321829E1,1.014051514E3
2.208373129E1,1.014051514E3
2.304427429E1,1.014074707E3
2.400474929E1,1.014241257E3
2.496516429E1,1.014277039E3
2.592564129E1,1.014287415E3
2.688607029E1,1.014344940E3
2.784644929E1,1.014539642E3
2.880705829E1,1.014578781E3
2.976756029E1,1.014578781E3
3.072802629E1,1.014578781E3
3.168842629E1,1.014609909E3
3.264887929E1,1.014623718E3
3.360928229E1,1.014609909E3
3.456974729E1,1.014457245E3
3.553018029E1,1.014175339E3
3.649062529E1,1.013911438E3
3.745104629E1,1.013710861E3
3.841155429E1,1.013626938E3
3.937210429E1,1.013626938E3
