"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.398000000E-2,-7.180567932E-1,1.052611084E1,-7.186555481E-1
2.427350000E-1,-1.072669373E0,1.007509872E1,-1.164877625E0
4.414891250E-1,-2.215243378E0,9.855205994E0,-7.996371460E-1
6.402441250E-1,-1.533111877E0,1.017853363E1,-8.244854736E-1
8.389991250E-1,-2.837200012E0,6.977739716E0,3.420387268E-1
1.037754125E0,-4.253554688E0,1.001327728E1,2.959346008E-1
1.236509125E0,-4.050576782E0,8.579708405E0,-7.518864441E-1
1.435264875E0,-4.593348083E0,1.152648056E1,-1.301543427E0
1.634020875E0,-2.706072693E0,9.094936981E0,-9.857002258E-1
1.832775875E0,-2.950664062E0,9.830956421E0,4.513114929E-1
2.031530875E0,-3.284918976E0,8.902137909E0,1.642085266E-1
2.230285875E0,-3.008892975E0,9.546098785E0,3.053649902E-2
2.429040875E0,-4.757556610E0,8.274343414E0,1.031954041E0
2.627796875E0,-4.756957855E0,8.570128326E0,-4.540058899E-1
2.826551875E0,-6.332132263E0,8.703201599E0,3.071612549E-1
3.025306875E0,-4.931943970E0,9.679022369E0,-2.339634705E-1
3.224062875E0,-4.372257843E0,9.758357391E0,1.573228455E0
3.422817000E0,-2.280357971E0,8.843908997E0,1.365310822E0
3.621573000E0,-1.578467560E0,8.959917755E0,-3.936813354E-1
3.820329000E0,-1.617835693E0,8.833730164E0,1.237177277E0
4.019084000E0,4.643344116E-1,1.092428284E1,-7.041357422E-1
4.217840000E0,-4.532574463E-1,1.149354904E1,-6.743476868E-1
4.416596667E0,-1.486259308E0,9.407187653E0,-1.088386688E0
4.615351667E0,-2.522853699E0,8.522078247E0,-1.423390045E0
4.814107667E0,-2.900817719E0,8.294401703E0,-1.497485962E0
5.012863667E0,-2.018402710E0,8.228688354E0,-1.618284760E0
5.211619667E0,-6.629713440E-1,9.130263519E0,-1.522334290E0
5.410375500E0,5.569917297E-1,9.799372101E0,-2.240540771E0
5.609131500E0,2.106120300E-1,1.011536499E1,-2.273023224E0
5.807886500E0,1.234931946E0,8.671317902E0,-9.434880066E-1
6.006642500E0,8.063731384E-1,9.387877808E0,-1.164578247E0
6.205398500E0,4.117936707E-1,9.290280762E0,-2.013013916E0
6.404154375E0,-1.202000427E-1,1.025726990E1,-3.831731873E0
6.602910375E0,-9.879455566E-2,9.315578156E0,1.847009125E0
6.801666375E0,-1.917512512E-1,9.787097626E0,-2.980302429E-1
7.000422375E0,1.591640167E0,1.023391846E1,1.538201294E0
7.199178375E0,-1.675016785E-1,9.640851746E0,1.449286194E0
7.397933750E0,9.512718201E-1,1.243628860E1,2.307601318E0
7.599205750E0,-3.137475586E-1,4.169429626E0,9.086105347E-1
7.829409750E0,-3.535048828E0,9.970166931E0,6.437662811E0
8.028165750E0,5.935157776E-1,9.761800232E0,2.150128784E0
8.226921750E0,-2.179168396E0,7.134314117E0,2.408341827E0
8.425678000E0,-6.670129395E-1,1.312620392E1,6.944508820E0
8.625692000E0,2.846929779E0,3.356170807E0,5.450166321E-1
8.826964000E0,1.743873596E-1,1.159653488E1,4.167184296E0
9.037042000E0,-1.521286469E0,1.178394516E1,1.680106201E0
9.235798000E0,-5.074447632E-2,8.433312836E0,2.074685669E-1
9.434554917E0,-9.463320923E-1,9.480235748E0,-2.039658508E0
9.633310917E0,-3.529660034E-1,9.108558655E0,-1.866768036E0
9.832066917E0,-4.149371338E-1,9.842033386E0,-2.014361115E0
1.003082392E1,-1.673370209E0,9.359287262E0,-2.890040131E0
1.022957992E1,-1.353485413E0,9.075178070E0,-3.315605164E-1
1.042833592E1,-1.073567505E0,1.006237518E1,-1.640438690E0
1.062709292E1,-1.881587219E-1,1.024709106E1,-1.743125153E0
1.082584892E1,-7.155120850E-2,1.020442978E1,-1.371597748E0
1.102460492E1,-5.143304443E-1,8.545279999E0,-3.664379883E-1
1.122336192E1,3.284170532E-1,1.025053391E1,-5.893244934E-1
1.142211779E1,1.230441284E-1,9.341623993E0,-5.201683044E-1
1.162087479E1,8.137078857E-1,1.028930328E1,-1.197210388E0
1.181963179E1,8.556207275E-1,9.812544708E0,-1.520388336E0
1.201838879E1,4.076023865E-1,1.018631744E1,-5.101391602E-1
1.221714579E1,1.769021301E0,9.407187653E0,-7.848179626E-1
1.241590279E1,1.460213470E0,9.625433807E0,3.779640198E-1
1.261465979E1,1.370699615E0,1.002046234E1,-3.321592712E-1
1.281341679E1,6.818321228E-1,1.018257523E1,-1.472937012E0
1.301217379E1,2.171983337E0,9.601483612E0,-2.011367340E0
1.321093079E1,8.467890930E-1,9.906848602E0,-5.936654663E-1
1.340968763E1,5.245092773E-1,8.874894562E0,-8.216413879E-1
1.360844463E1,-1.920805664E0,8.111332397E0,-4.788093109E0
1.380720163E1,-3.544928284E0,9.885592804E0,-4.165986786E0
1.400595862E1,-1.256786499E0,1.028077103E1,-1.476080475E0
1.420471563E1,-4.792583771E0,7.695497131E0,-2.317780151E0
1.440347279E1,-3.927832031E0,8.616980896E0,-2.355501709E0
1.460222979E1,-4.724176025E0,8.172704773E0,-1.586550751E0
1.480098679E1,-6.219865723E0,1.501138367E1,-3.695664825E0
1.499974379E1,-1.667382660E0,7.133415985E0,-1.991159363E0
1.519850079E1,-2.845432892E0,6.903643799E0,1.005908203E0
1.539725750E1,-3.410208435E0,1.210622498E1,1.076561279E0
1.559601350E1,-4.628824310E0,9.663155365E0,3.416645050E0
1.579477050E1,-3.834725647E0,8.218659210E0,2.746788025E0
1.599352750E1,-5.379213867E0,6.658154297E0,3.794609070E0
1.619228450E1,-4.856051788E0,6.925797729E0,3.688030701E0
1.639104213E1,-3.219505005E0,7.772736511E0,3.408711548E0
1.658979913E1,-4.675527191E0,8.606502686E0,3.301534424E0
1.678855513E1,-3.832630005E0,1.033226395E1,2.978057098E0
1.698731212E1,-5.313949585E0,8.483159180E0,2.096240845E0
1.718606913E1,-3.523373108E0,9.497000885E0,6.170169067E-1
1.738482588E1,-3.438349915E0,9.206455078E0,-7.604187012E-2
1.758358188E1,-4.116140442E0,9.862391052E0,-8.765771484E-1
1.778233888E1,-2.927013245E0,8.562045135E0,-2.058219910E0
1.798109588E1,-2.833308105E0,9.443562012E0,-5.284011841E-2
1.817985188E1,-9.725276184E-1,9.191037140E0,-1.569186859E0
1.837860913E1,-2.032922516E0,9.283694458E0,-1.114731903E0
1.857736612E1,-1.633702698E0,9.150172119E0,-1.163081360E0
1.877612313E1,-2.223925323E0,1.024200165E1,-4.945415955E0
1.897488013E1,-5.077441406E-1,9.017996979E0,-1.693727875E0
1.917363713E1,-1.516197052E0,8.990603943E0,-2.824626160E0
1.937239413E1,-2.699037323E0,9.202413483E0,-2.858455811E0
1.957115113E1,-2.900518341E0,1.008408005E1,-2.435136108E0
1.976990813E1,-2.377206573E0,9.371561737E0,-1.569486237E0
1.996866413E1,-2.334395599E0,9.125623169E0,-1.580862579E0
2.016742113E1,-2.057321777E0,9.005872192E0,-1.889371033E0
2.036617817E1,-2.123035126E0,9.859696655E0,-1.866169281E0
2.056493517E1,-2.601140900E0,1.034483780E1,-2.024390259E0
2.076369217E1,-2.055675201E0,9.050479431E0,-2.655926971E0
2.096244817E1,-1.793869629E0,8.867260437E0,-3.253783722E0
2.116120517E1,-1.139280853E0,9.223818970E0,-3.090922394E0
2.135996138E1,-2.161954193E0,9.186247101E0,-5.481750641E0
2.155871738E1,6.481521606E-1,8.977581024E0,-3.890110474E0
2.175747438E1,-3.646417236E-1,8.916058960E0,-3.186124420E0
2.195623138E1,-6.436614990E-1,1.046144531E1,-2.662064209E0
2.215498838E1,-9.535171509E-1,9.690548401E0,-2.516716461E0
2.235374542E1,-2.186203766E0,7.481142883E0,-1.490600281E0
2.255250242E1,1.035546570E0,9.546996918E0,-1.330133972E0
2.275125942E1,-9.774673462E-1,1.042926224E1,-2.673290863E0
2.295001642E1,-1.262025604E0,9.914482727E0,-2.614163818E0
2.314877342E1,-7.162605286E-1,8.845405884E0,-2.270179138E0
2.334752988E1,-2.003284149E0,8.202492828E0,-1.683399353E0
2.354628688E1,-4.784051514E-1,9.607770538E0,-1.777553558E0
2.374504488E1,-1.230441284E0,9.358688507E0,-9.716294861E-1
2.394254388E1,-1.904788971E0,9.300609283E0,-2.122436371E0
2.432118888E1,-1.220262451E0,9.808652802E0,-4.271367645E0
2.451994725E1,-4.993615723E-1,9.630223846E0,-1.845362549E0
2.471870425E1,-1.075812836E0,1.014605118E1,-2.622696075E0
2.491746125E1,-1.318009186E0,1.111468689E1,-2.993475037E0
2.511621825E1,-1.890718231E0,1.025517426E1,1.451531525E0
2.531371825E1,-2.454296265E0,9.000333710E0,-5.201683044E-1
2.569236338E1,-1.283730469E0,8.301437073E0,2.115101624E0
2.589112038E1,-1.784439240E0,9.088650055E0,5.703140259E-1
2.608987838E1,3.002306671E0,9.834698639E0,3.059637451E-1
2.628863638E1,7.292834473E-1,1.071516769E1,-4.439767456E-1
2.648739404E1,1.530267792E0,9.160500641E0,7.026388550E-1
2.668615204E1,-4.324507141E-1,1.006566833E1,-4.266128540E-2
2.688491004E1,1.972897339E-1,9.535620575E0,-5.010081482E-1
2.708366804E1,1.414708099E0,9.426647186E0,-1.643582153E-1
2.728242504E1,2.272274780E-1,1.034977753E1,-1.120420074E0
2.748118254E1,1.817969513E0,1.059885956E1,-1.673519897E-1
2.767994054E1,-1.142124939E0,8.133037262E0,2.680924988E-1
2.787869754E1,2.439776459E0,9.080716553E0,-4.700225830E-1
2.807745554E1,8.970845032E-1,1.045590683E1,-1.755998383E0
2.827621254E1,1.106199646E-1,8.004604340E0,1.351389771E0
2.847497000E1,4.559518433E-1,1.016566040E1,-1.346300354E0
2.867372800E1,7.604187012E-1,1.078417419E1,-3.257226562E-1
2.887248500E1,1.133442993E0,9.552535400E0,4.790039062E-1
2.907124300E1,3.594026184E-1,9.086255035E0,1.150357819E0
2.927000100E1,1.158441010E0,9.422605591E0,1.646575928E0
2.946875692E1,6.840774536E-1,1.018691620E1,3.285068665E0
2.966751492E1,-2.029779053E-1,7.807763672E0,1.276994476E0
2.986627292E1,-4.343966675E-1,7.737260284E0,1.171763306E0
3.006502992E1,2.662962341E-1,9.351503448E0,4.030668182E0
3.026378792E1,1.213975525E0,9.573192444E0,1.414558411E0
3.046254662E1,-1.392105103E-1,9.252259827E0,2.628983002E0
3.066130462E1,-1.352437592E0,9.742340698E0,1.383123779E0
3.086006263E1,2.105970612E0,1.071471863E1,1.307231598E0
3.105882063E1,4.444258118E-1,1.064316742E1,-2.210902405E-1
3.125757863E1,-1.112935638E0,9.513616333E0,-1.465901642E0
3.145633563E1,-4.764591980E-1,1.003602997E1,-2.272574158E0
3.165509362E1,2.082020416E0,1.055829391E1,-3.197201385E0
3.185385163E1,1.695973206E-1,8.772058411E0,-1.577120361E0
3.205260963E1,2.629731445E0,8.847651215E0,-2.720891876E0
3.225136763E1,2.314636688E0,8.192164307E0,-4.162394257E0
3.245012504E1,2.882705383E0,8.692873077E0,-3.629652100E0
3.264888304E1,4.249812469E0,8.039332123E0,-4.585264893E0
3.284764104E1,2.621648254E0,7.441475372E0,-4.883594513E0
3.304639804E1,5.263504486E0,9.555229797E0,-3.650458832E0
3.324515604E1,3.473826141E0,9.247918854E0,-2.531385956E0
3.344391400E1,4.515360260E0,8.469836884E0,-4.666246490E0
3.364267100E1,3.814667358E0,9.592801666E0,-5.015021210E0
3.384142900E1,3.220702515E0,8.954528961E0,-4.696782990E0
3.404018700E1,2.102976837E0,6.567293243E0,-3.630550232E0
3.423894400E1,1.028361511E0,9.167835388E0,-3.837120667E0
3.443770200E1,3.233276367E-2,9.013356628E0,-4.136049042E0
3.463645900E1,-1.042581940E0,9.367969208E0,-3.338357849E0
3.483521700E1,-8.518785095E-1,9.486822052E0,-3.780538330E0
3.503397500E1,1.413061523E-1,9.286538544E0,-2.837499390E0
3.523273200E1,-4.516108704E-1,9.194779358E0,-3.144061890E0
3.543148892E1,-8.381071472E-1,9.047335968E0,-2.747237091E0
3.563024692E1,-8.614585876E-1,9.148226166E0,-3.525468750E0
3.582900492E1,-6.267466736E-1,9.661808167E0,-2.395169220E0
3.602776292E1,-1.190474396E0,8.973689117E0,-2.773432617E0
3.622652192E1,-5.704637146E-1,9.267079010E0,-3.507057037E0
3.642528037E1,-6.502478027E-1,9.502090302E0,-3.234773254E0
3.662403838E1,-4.176315308E-1,8.803343353E0,-2.402204590E0
3.682279638E1,-4.317022705E-1,9.261839905E0,-3.685186615E0
3.702155438E1,3.876937866E-2,9.339678040E0,-3.571273499E0
3.722031238E1,-2.378553772E-1,9.732760620E0,-1.419647827E0
3.741907113E1,-3.294648743E-1,8.183482361E0,-2.111060028E0
3.761782913E1,2.036365356E0,9.110354919E0,-3.668122101E0
3.781658713E1,4.707710266E-1,9.438472595E0,-2.111359406E0
3.801534513E1,-6.319857788E-1,9.315428467E0,-2.537672882E0
3.821410212E1,-1.130299530E0,9.836195526E0,-3.627257080E0
3.841285938E1,-8.143066406E-2,8.747808838E0,-1.602118378E0
3.861161738E1,-2.275867310E0,1.048913773E1,-3.887416077E0
3.881037538E1,-1.169068909E-1,1.038660095E1,-2.173779602E0
3.900913338E1,-3.796105957E-1,9.550439758E0,-2.066003723E0
3.920789138E1,-2.119741974E0,9.465566254E0,-2.375110931E0
3.940664875E1,-8.607101440E-1,9.272916870E0,-2.407743073E0
3.960540675E1,-1.116977234E0,9.773625641E0,-1.396895142E0
3.980416475E1,-1.624571686E0,1.006057892E1,-3.325933685E0
4.000292275E1,-1.904639282E0,9.721683655E0,-3.552113342E0
4.020168075E1,-1.117875366E0,9.301507416E0,-1.202000427E0
4.040043863E1,-5.375321960E-1,9.082363129E0,-2.404449921E0
