"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.873860000E-1,3.521940231E1,-5.417980576E1,-1.795291138E1
3.886561250E-1,3.329503250E1,-5.249043655E1,-2.507806396E1
5.899271250E-1,2.986060715E1,-5.240953445E1,-2.817987061E1
7.911981250E-1,3.550899124E1,-4.996417618E1,-2.292968750E1
9.924681250E-1,4.018742752E1,-4.742062759E1,-1.790466309E1
1.193739125E0,4.214661789E1,-4.728925705E1,-1.392483521E1
1.395010875E0,4.056545639E1,-4.861933136E1,-1.424063110E1
1.596281875E0,4.131895828E1,-4.840299988E1,-1.340087891E1
1.797552875E0,4.366142654E1,-4.670023346E1,-1.156094360E1
1.998823875E0,4.553173447E1,-4.550050354E1,-9.575225830E0
2.200095875E0,4.744800186E1,-4.472996521E1,-6.522918701E0
2.401366875E0,4.818130112E1,-4.382783508E1,-4.559020996E-1
2.602637875E0,5.161147690E1,-4.007569122E1,1.114746094E0
2.803908875E0,5.342427444E1,-3.792317200E1,8.525085449E-1
3.005179875E0,4.977801132E1,-4.181241989E1,1.647857666E0
3.206450875E0,4.757710648E1,-4.368839645E1,2.644805908E0
3.407722000E0,4.396580124E1,-4.667990112E1,-6.032836914E0
3.608993000E0,4.063590622E1,-4.812775803E1,-8.797485352E0
3.810265000E0,3.741423416E1,-5.101179123E1,-5.660552979E0
4.011537000E0,3.486274338E1,-5.323719025E1,-4.032287598E-1
4.212808000E0,3.098025131E1,-5.416540527E1,1.015420532E1
4.414080667E0,2.991308212E1,-5.268124008E1,1.510028076E1
4.615351667E0,3.185230637E1,-5.000043869E1,1.645321655E1
4.816623667E0,3.034366226E1,-4.895483017E1,1.865725708E1
5.017895667E0,2.556203079E1,-4.952575302E1,2.126858521E1
5.219166667E0,2.254081345E1,-4.952348328E1,2.243389893E1
5.420438500E0,2.092661667E1,-4.958739471E1,2.310321045E1
5.621710500E0,2.044766617E1,-5.063312149E1,2.003414917E1
5.822982500E0,2.148139572E1,-5.067442322E1,1.711972046E1
6.024254500E0,2.342896652E1,-5.030229187E1,1.528939819E1
6.225526500E0,2.492168808E1,-5.002719116E1,1.365444946E1
6.426797375E0,2.420883560E1,-5.112707520E1,1.033767700E1
6.628069375E0,2.180569077E1,-5.257038879E1,8.372589111E0
6.829341375E0,2.196184158E1,-5.329913712E1,5.572509766E-2
7.030613375E0,2.490930557E1,-5.163618088E1,-7.018432617E0
7.231885375E0,2.567340469E1,-5.047640991E1,-1.148715210E1
7.433155750E0,2.580732346E1,-4.767410278E1,-1.924398804E1
7.634427750E0,2.308852768E1,-4.706081009E1,-2.299542236E1
7.835699750E0,2.507260513E1,-4.984587860E1,-1.414862061E1
8.036971750E0,2.031554031E1,-4.927873611E1,-2.144235229E1
8.238243750E0,2.029362869E1,-4.643939590E1,-2.669131470E1
8.439516000E0,2.275324631E1,-4.845183945E1,-2.209594727E1
8.640788000E0,1.863479233E1,-4.470121384E1,-3.139245605E1
8.842060000E0,2.585206223E1,-4.446080780E1,-2.676434326E1
9.043332000E0,2.930051041E1,-4.569000244E1,-1.986914062E1
9.244604000E0,2.788972092E1,-4.725475311E1,-1.408605957E1
9.445876917E0,2.587173080E1,-4.893490982E1,-1.029632568E1
9.647148917E0,2.526794052E1,-4.934579086E1,-8.974945068E0
9.848420917E0,2.530580521E1,-4.940285873E1,-9.349639893E0
1.004969292E1,2.656284714E1,-4.878231430E1,-8.504516602E0
1.025096492E1,2.968978500E1,-4.717715836E1,-9.482543945E0
1.045223692E1,2.969433212E1,-4.749040222E1,-5.053131104E0
1.065350992E1,2.854661179E1,-4.832123566E1,-3.316284180E0
1.085478192E1,2.754584122E1,-4.857753754E1,-2.398284912E0
1.105605392E1,2.444740677E1,-4.904039383E1,-1.441986084E0
1.125732692E1,2.362581253E1,-4.928121567E1,-9.562072754E-1
1.145859879E1,2.330170822E1,-4.917053223E1,-2.125244141E-1
1.165987179E1,2.225043106E1,-4.943212128E1,-9.717407227E-1
1.186114379E1,2.115901566E1,-4.989358139E1,-3.034729004E0
1.206241679E1,1.973344803E1,-4.997587967E1,-7.094909668E0
1.226368979E1,1.871167374E1,-4.995017624E1,-1.038778687E1
1.246496279E1,1.803056717E1,-5.009886932E1,-1.056271362E1
1.266623579E1,1.620522690E1,-5.055382919E1,-8.307647705E0
1.286750879E1,1.687153244E1,-4.981531143E1,-3.275482178E0
1.306878179E1,1.605534744E1,-4.961046600E1,-1.780303955E0
1.327005479E1,1.724940872E1,-4.930814362E1,-1.794860840E0
1.347132763E1,2.259482956E1,-4.673302078E1,5.965576172E-1
1.367260063E1,2.812017441E1,-4.339564514E1,2.081176758E0
1.387387363E1,3.052423477E1,-4.108808136E1,-6.590332031E0
1.407514663E1,3.142687607E1,-3.876133728E1,-1.120355225E1
1.427641862E1,3.226650620E1,-3.698783112E1,-1.158132935E1
1.447769179E1,3.302965164E1,-3.626667023E1,-1.064410400E1
1.467896479E1,3.194784164E1,-3.695056915E1,-1.067977905E1
1.488023779E1,2.849895096E1,-3.501645660E1,-1.729943848E1
1.508151079E1,2.208935928E1,-3.140106773E1,-2.755041504E1
1.528278379E1,1.604642868E1,-2.917394829E1,-3.343685913E1
1.548405550E1,1.407954025E1,-2.628890228E1,-3.756869507E1
1.568532850E1,1.531981277E1,-2.433743858E1,-4.035128784E1
1.588660150E1,1.809386063E1,-2.132844162E1,-4.323733521E1
1.608787450E1,1.897554398E1,-2.267807579E1,-4.366329956E1
1.628914650E1,1.971511459E1,-2.533766937E1,-4.212216187E1
1.649042013E1,2.138033676E1,-2.452278519E1,-4.201632690E1
1.669169313E1,2.260612106E1,-2.222365189E1,-4.291110229E1
1.689296613E1,2.536503983E1,-2.344995689E1,-4.078775024E1
1.709423813E1,2.664414597E1,-2.854622841E1,-3.659390259E1
1.729551113E1,2.843968582E1,-3.353436279E1,-3.022686768E1
1.749678288E1,3.098298264E1,-3.547755432E1,-2.482925415E1
1.769805588E1,3.039577866E1,-3.800135803E1,-2.248782349E1
1.789932888E1,2.958642197E1,-4.026840973E1,-1.910815430E1
1.810060088E1,2.702869034E1,-4.227973938E1,-1.707629395E1
1.830187388E1,2.595988083E1,-4.342390442E1,-1.498196411E1
1.850314713E1,2.393446732E1,-4.502519608E1,-1.174572754E1
1.870442013E1,2.103211594E1,-4.597333145E1,-1.027029419E1
1.890569213E1,2.090887070E1,-4.450683212E1,-1.608636475E1
1.910696512E1,2.327607346E1,-4.331530762E1,-1.578738403E1
1.930823812E1,2.788711166E1,-4.194993591E1,-9.539978027E0
1.950951113E1,2.714716721E1,-4.206848907E1,-1.176010132E1
1.971078413E1,2.672060776E1,-4.156365204E1,-1.558593750E1
1.991205613E1,2.903812790E1,-4.055104065E1,-1.496597290E1
2.011332913E1,2.989319992E1,-4.013514709E1,-1.488885498E1
2.031460212E1,3.158555984E1,-3.973111725E1,-1.102990723E1
2.051587517E1,3.293854141E1,-4.016078949E1,-3.732482910E0
2.071714717E1,3.152765274E1,-4.122881699E1,8.744201660E-1
2.091842017E1,3.163578415E1,-4.055451202E1,5.390594482E0
2.111969317E1,3.192589951E1,-3.960686493E1,8.317504883E0
2.132096517E1,2.890954971E1,-4.092898560E1,1.110601807E1
2.152223738E1,2.953256607E1,-4.053115845E1,1.134530640E1
2.172350938E1,2.987739182E1,-4.154249573E1,7.879180908E0
2.192478238E1,3.079070663E1,-4.247628784E1,4.057128906E0
2.212605538E1,2.867045975E1,-4.449015045E1,2.455688477E0
2.232732838E1,2.869617081E1,-4.527301025E1,3.601684570E-1
2.252860042E1,2.913507462E1,-4.487005234E1,7.839965820E-1
2.272987342E1,3.035937881E1,-4.324920273E1,3.852569580E0
2.293114642E1,3.218499374E1,-4.226570129E1,1.314575195E0
2.313241942E1,3.271686935E1,-4.186128998E1,-1.893188477E0
2.333369187E1,3.120998001E1,-4.306295013E1,-2.415435791E0
2.353496588E1,3.175360489E1,-4.271569061E1,-2.652465820E0
2.373623888E1,3.226869583E1,-4.222085571E1,-4.185882568E0
2.393751188E1,3.021433640E1,-4.310980225E1,-6.014099121E-1
2.413878588E1,2.942197800E1,-4.311284637E1,2.586242676E0
