,entry_num,Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2),Time (s).1,X (rad/s),Y (rad/s),Z (rad/s),name_climber,grading,num_attempt,fall_top,climbers_rating
0,15,1970-01-01 00:00:00.202257208,0.6168066993,0.5450961542,-0.1191700557,0.2022572083,-0.7387354374,-0.6936653256,-0.05344378203,sien,4c,1,0,easy
1,15,1970-01-01 00:00:00.403552208,0.4270851628,-0.449998793,0.07546431139,0.4035522083,-0.3143390417,-0.3780762851,0.0156122297,sien,4c,1,0,easy
2,15,1970-01-01 00:00:00.604846208,0.570240351,0.1528988421,-0.2131057213,0.6048462083,-0.2738115788,-0.4425618351,-0.1302269846,sien,4c,1,0,easy
3,15,1970-01-01 00:00:00.806141208,0.2956328114,-0.4536860472,0.2447985072,0.8061412083,-0.2607466578,-0.1141347885,-0.01919419691,sien,4c,1,0,easy
4,15,1970-01-01 00:00:01.007435208,0.2062724458,-0.9278110367,-0.5126159676,1.007435208,-0.1602111012,-0.2261729091,-0.2115768194,sien,4c,1,0,easy
5,15,1970-01-01 00:00:01.208730958,-0.06550928056,-0.3403769481,-0.2079258192,1.208730958,-0.4097321928,-0.4780113697,-0.1013508439,sien,4c,1,0,easy
6,15,1970-01-01 00:00:01.410025958,0.1623066832,0.569139905,-0.5797151792,1.410025958,-0.2097868472,-0.6619212031,0.1680690646,sien,4c,1,0,easy
7,15,1970-01-01 00:00:01.611319958,0.7199898827,0.08833797991,0.2176696193,1.611319958,-0.4369833171,-0.8453888297,0.03752743825,sien,4c,1,0,easy
8,15,1970-01-01 00:00:01.812614958,0.9273908412,-0.5421012104,-0.3506266055,1.812614958,-0.1980745792,0.02955299616,-0.1558618695,sien,4c,1,0,easy
9,15,1970-01-01 00:00:02.013909958,0.0008686769754,0.03503885508,0.04938682593,2.013909958,0.2313423157,-0.02654983848,0.1373209953,sien,4c,1,0,easy
10,15,1970-01-01 00:00:02.215204958,0.4109669475,-0.6470265716,-0.1717982125,2.215204958,0.4012960196,-0.1724524796,-0.1941957176,sien,4c,1,0,easy
11,15,1970-01-01 00:00:02.416498958,0.5917703837,0.3602066106,-0.7125895735,2.416498958,0.4460715055,0.07158333063,-0.2748508453,sien,4c,1,0,easy
12,15,1970-01-01 00:00:02.617793958,-0.9681863531,-0.7523553908,-0.6925173247,2.617793958,0.5498116612,-0.304769069,-0.255438298,sien,4c,1,0,easy
13,15,1970-01-01 00:00:02.819087958,0.1344118465,0.007421286106,0.264711931,2.819087958,0.4544974864,-0.5590156913,-0.3580120802,sien,4c,1,0,easy
14,15,1970-01-01 00:00:03.020382958,0.7157877812,0.4888219661,0.4006202263,3.020382958,0.2163668275,-0.4849259257,-0.1900164485,sien,4c,1,0,easy
15,15,1970-01-01 00:00:03.221675750,-0.2223520696,0.6102990407,-0.285757522,3.22167575,0.0243758671,-0.7210020423,-0.4141335487,sien,4c,1,0,easy
16,15,1970-01-01 00:00:03.422969750,2.398983651,0.1667754543,0.1782807282,3.42296975,-0.340260148,-0.4535519779,-0.2167219371,sien,4c,1,0,easy
17,15,1970-01-01 00:00:03.624264750,1.68621888,-0.1906566525,-0.1846221797,3.62426475,-0.4891063273,0.6478601694,0.2181472331,sien,4c,1,0,easy
18,15,1970-01-01 00:00:03.825558750,0.8521811029,-0.1856005651,-0.3505954691,3.82555875,-0.6479440928,0.8734341264,-0.1157436892,sien,4c,1,0,easy
